t,value
1556558040,0
1556558043,0
1556558046,0
1556558049,0
1556558052,0
1556558055,0
1556558058,0
1556558061,0
1556558064,0
1556558067,0
1556558070,0
1556558073,0
1556558076,0
1556558079,0
1556558082,0
1556558085,0
1556558088,0
1556558091,0
1556558094,0
1556558097,0
1556558100,0
1556558103,0
1556558106,0
1556558109,0
1556558112,0
1556558115,0
1556558118,0
1556558121,0
1556558124,0
1556558127,0
1556558130,0
1556558133,0
1556558136,0
1556558139,0
1556558142,0
1556558145,0
1556558148,0
1556558151,0
1556558154,0
1556558157,0
1556558160,0
1556558163,0
1556558166,0
1556558169,0
1556558172,4
1556558175,5
1556558178,5
1556558181,5
1556558184,5
1556558187,5
1556558190,5
1556558193,5
1556558196,5
1556558199,5
1556558202,5
1556558205,5
1556558208,5
1556558211,5
1556558214,5
1556558217,5
1556558220,5
1556558223,5
1556558226,5
1556558229,5
1556558232,5
1556558235,5
1556558238,5
1556558241,5
1556558244,5
1556558247,5
1556558250,5
1556558253,5
1556558256,5
1556558259,5
1556558262,5
1556558265,5
1556558268,5
1556558271,5
1556558274,5
1556558277,5
1556558280,5
1556558283,5
1556558286,5
1556558289,5
1556558292,5
1556558295,5
1556558298,5
1556558301,5
1556558304,5
1556558307,5
1556558310,5
1556558313,5
1556558316,5
1556558319,5
1556558322,5
1556558325,5
1556558328,5
1556558331,5
1556558334,5
1556558337,5
1556558340,5
1556558343,5
1556558346,5
1556558349,5
1556558352,5
1556558355,5
1556558358,5
1556558361,5
1556558364,5
1556558367,5
1556558370,5
1556558373,5
1556558376,5
1556558379,5
1556558382,5
1556558385,5
1556558388,5
1556558391,5
1556558394,5
1556558397,5
1556558400,5
1556558403,5
1556558406,5
1556558409,5
1556558412,5
1556558415,5
1556558418,5
1556558421,5
1556558424,5
1556558427,5
1556558430,5
1556558433,5
1556558436,5
1556558439,5
1556558442,5
1556558445,5
1556558448,5
1556558451,5
1556558454,5
1556558457,5
1556558460,5
1556558463,5
1556558466,5
1556558469,5
1556558472,5
1556558475,5
1556558478,5
1556558481,5
1556558484,5
1556558487,5
1556558490,5
1556558493,5
1556558496,5
1556558499,5
1556558502,5
1556558505,5
1556558508,5
1556558511,5
1556558514,5
1556558517,5
1556558520,5
1556558523,5
1556558526,5
1556558529,5
1556558532,5
1556558535,5
1556558538,5
1556558541,5
1556558544,5
1556558547,5
1556558550,5
1556558553,5
1556558556,5
1556558559,5
1556558562,5
1556558565,5
1556558568,5
1556558571,5
1556558574,5
1556558577,5
1556558580,5
1556558583,5
1556558586,5
1556558589,5
1556558592,5
1556558595,5
1556558598,5
1556558601,5
1556558604,5
1556558607,5
1556558610,5
1556558613,5
1556558616,5
1556558619,5
1556558622,5
1556558625,5
1556558628,5
1556558631,5
1556558634,5
1556558637,5
1556558640,5
1556558643,5
1556558646,5
1556558649,5
1556558652,5
1556558655,5
1556558658,5
1556558661,5
1556558664,5
1556558667,5
1556558670,5
1556558673,5
1556558676,5
1556558679,5
1556558682,5
1556558685,5
1556558688,5
1556558691,5
1556558694,5
1556558697,5
1556558700,5
1556558703,5
1556558706,5
1556558709,5
1556558712,5
1556558715,5
1556558718,5
1556558721,5
1556558724,5
1556558727,5
1556558730,5
1556558733,5
1556558736,5
1556558739,5
1556558742,5
1556558745,5
1556558748,5
1556558751,5
1556558754,5
1556558757,5
1556558760,5
1556558763,5
1556558766,5
1556558769,5
1556558772,5
1556558775,5
1556558778,5
1556558781,5
1556558784,5
1556558787,5
1556558790,5
1556558793,5
1556558796,5
1556558799,5
1556558802,5
1556558805,5
1556558808,5
1556558811,5
1556558814,5
1556558817,5
1556558820,5
1556558823,5
1556558826,5
1556558829,5
1556558832,5
1556558835,5
1556558838,5
1556558841,5
1556558844,5
1556558847,5
1556558850,5
1556558853,5
1556558856,5
1556558859,5
1556558862,5
1556558865,5
1556558868,5
1556558871,5
1556558874,5
1556558877,5
1556558880,5
1556558883,5
1556558886,5
1556558889,5
1556558892,5
1556558895,5
1556558898,5
1556558901,5
1556558904,5
1556558907,5
1556558910,5
1556558913,5
1556558916,5
1556558919,5
1556558922,5
1556558925,5
1556558928,5
1556558931,5
1556558934,5
1556558937,5
1556558940,5
1556558943,5
1556558946,5
1556558949,5
1556558952,5
1556558955,5
1556558958,5
1556558961,5
1556558964,5
1556558967,5
1556558970,5
1556558973,5
1556558976,5
1556558979,5
1556558982,5
t,value
1556559153,0
1556559156,4
1556559159,5
1556559162,5
1556559165,5
1556559168,5
1556559171,5
1556559174,5
1556559177,5
1556559180,5
1556559183,5
1556559186,5
1556559189,5
1556559192,5
1556559195,5
1556559198,5
1556559201,5
1556559204,5
1556559207,5
1556559210,5
1556559213,5
1556559216,5
1556559219,5
1556559222,5
1556559225,5
1556559228,5
1556559231,5
1556559234,5
1556559237,5
1556559240,5
1556559243,5
1556559246,5
1556559249,5
1556559252,5
1556559255,5
1556559258,5
1556559261,5
1556559264,5
1556559267,5
1556559270,5
1556559273,5
1556559276,5
1556559279,5
1556559282,5
1556559285,5
1556559288,5
1556559291,5
1556559294,5
1556559297,5
1556559300,5
1556559303,5
1556559306,5
1556559309,5
1556559312,5
1556559315,5
1556559318,5
1556559321,5
1556559324,5
1556559327,5
1556559330,5
1556559333,5
1556559336,5
1556559339,5
1556559342,5
1556559345,5
1556559348,5
1556559351,5
1556559354,5
1556559357,5
1556559360,5
1556559363,5
1556559366,5
1556559369,5
1556559372,5
1556559375,5
1556559378,5
1556559381,5
1556559384,5
1556559387,5
1556559390,5
1556559393,5
1556559396,5
1556559399,5
1556559402,5
1556559405,5
1556559408,5
1556559411,5
1556559414,5
1556559417,5
1556559420,5
1556559423,5
1556559426,5
1556559429,5
1556559432,5
1556559435,5
1556559438,5
1556559441,5
1556559444,5
1556559447,5
1556559450,5
1556559453,5
1556559456,5
1556559459,5
1556559462,5
1556559465,5
1556559468,5
1556559471,5
1556559474,5
1556559477,5
1556559480,5
1556559483,5
1556559486,5
1556559489,5
1556559492,5
1556559495,5
1556559498,5
1556559501,5
1556559504,5
1556559507,5
1556559510,5
1556559513,5
1556559516,5
1556559519,5
1556559522,5
1556559525,5
1556559528,5
1556559531,5
1556559534,5
1556559537,5
1556559540,5
1556559543,5
1556559546,5
1556559549,5
1556559552,5
1556559555,5
1556559558,5
1556559561,5
1556559564,5
1556559567,5
1556559570,5
1556559573,5
1556559576,5
1556559579,5
1556559582,5
1556559585,5
1556559588,5
1556559591,5
1556559594,5
1556559597,5
1556559600,5
1556559603,5
1556559606,5
1556559609,5
1556559612,5
1556559615,5
1556559618,5
1556559621,5
1556559624,5
1556559627,5
1556559630,5
1556559633,5
1556559636,5
1556559639,5
1556559642,5
1556559645,5
1556559648,5
1556559651,5
1556559654,5
1556559657,5
1556559660,5
1556559663,5
1556559666,5
1556559669,5
1556559672,5
1556559675,5
1556559678,5
1556559681,5
1556559684,5
1556559687,5
1556559690,5
1556559693,5
1556559696,5
1556559699,5
1556559702,5
1556559705,5
1556559708,5
1556559711,5
1556559714,5
1556559717,5
1556559720,5
1556559723,5
1556559726,5
1556559729,5
1556559732,5
1556559735,5
1556559738,5
1556559741,5
1556559744,5
1556559747,5
1556559750,5
1556559753,5
1556559756,5
1556559759,5
1556559762,5
1556559765,5
1556559768,5
1556559771,5
1556559774,5
1556559777,5
1556559780,5
1556559783,5
1556559786,5
1556559789,5
1556559792,5
1556559795,5
1556559798,5
1556559801,5
1556559804,5
1556559807,5
1556559810,5
1556559813,5
1556559816,5
1556559819,5
1556559822,5
1556559825,5
1556559828,5
1556559831,5
1556559834,5
1556559837,5
1556559840,5
1556559843,5
1556559846,5
1556559849,5
1556559852,5
1556559855,5
1556559858,5
1556559861,5
1556559864,5
1556559867,5
1556559870,5
1556559873,5
1556559876,5
1556559879,5
1556559882,5
1556559885,5
1556559888,5
1556559891,5
1556559894,5
1556559897,5
1556559900,5
1556559903,5
1556559906,5
1556559909,5
1556559912,5
1556559915,5
1556559918,5
1556559921,5
1556559924,5
1556559927,5
1556559930,5
1556559933,5
1556559936,5
1556559939,5
1556559942,5
1556559945,5
1556559948,5
1556559951,5
1556559954,5
1556559957,5
1556559960,5
1556559963,5
1556559966,5
1556559969,5
1556559972,5
1556559975,5
1556559978,5
1556559981,5
1556559984,5
1556559987,5
1556559990,5
1556559993,5
1556559996,5
1556559999,5
1556560002,5
1556560005,5
1556560008,5
1556560011,5
1556560014,5
1556560017,5
1556560020,5
1556560023,5
1556560026,5
1556560029,5
1556560032,5
1556560035,5
1556560038,5
1556560041,5
1556560044,5
1556560047,5
1556560050,5
1556560053,5
1556560056,5
1556560059,5
1556560062,5
1556560065,5
1556560068,5
1556560071,5
1556560074,5
1556560077,5
1556560080,5
1556560083,5
1556560086,5
1556560089,5
1556560092,5
1556560095,5
