t,value
1556558040,0
1556558043,0
1556558046,0
1556558049,0
1556558052,0
1556558055,0
1556558058,0
1556558061,0
1556558064,0
1556558067,0
1556558070,0
1556558073,0
1556558076,0
1556558079,0
1556558082,0
1556558085,0
1556558088,0
1556558091,0
1556558094,0
1556558097,0
1556558100,0
1556558103,0
1556558106,0
1556558109,0
1556558112,0
1556558115,0
1556558118,0
1556558121,0
1556558124,0
1556558127,0
1556558130,0
1556558133,0
1556558136,0
1556558139,0
1556558142,0
1556558145,0
1556558148,0
1556558151,0
1556558154,0
1556558157,0
1556558160,0
1556558163,0
1556558166,0
1556558169,0
1556558172,0
1556558175,0
1556558178,0
1556558181,0
1556558184,0
1556558187,0
1556558190,0
1556558193,0
1556558196,0
1556558199,0
1556558202,0
1556558205,0
1556558208,0
1556558211,0
1556558214,0
1556558217,0
1556558220,0
1556558223,0
1556558226,0
1556558229,0
1556558232,0
1556558235,0
1556558238,0
1556558241,0
1556558244,0
1556558247,0
1556558250,0
1556558253,0
1556558256,0
1556558259,0
1556558262,0
1556558265,0
1556558268,0
1556558271,0
1556558274,0
1556558277,0
1556558280,0
1556558283,0
1556558286,0
1556558289,0
1556558292,0
1556558295,0
1556558298,0
1556558301,0
1556558304,0
1556558307,0
1556558310,0
1556558313,0
1556558316,0
1556558319,0
1556558322,0
1556558325,0
1556558328,0
1556558331,0
1556558334,0
1556558337,0
1556558340,0
1556558343,0
1556558346,0
1556558349,0
1556558352,0
1556558355,0
1556558358,0
1556558361,0
1556558364,0
1556558367,0
1556558370,0
1556558373,0
1556558376,0
1556558379,0
1556558382,0
1556558385,0
1556558388,0
1556558391,0
1556558394,0
1556558397,0
1556558400,0
1556558403,0
1556558406,0
1556558409,0
1556558412,0
1556558415,0
1556558418,0
1556558421,0
1556558424,0
1556558427,0
1556558430,0
1556558433,0
1556558436,0
1556558439,0
1556558442,0
1556558445,0
1556558448,0
1556558451,0
1556558454,0
1556558457,0
1556558460,0
1556558463,0
1556558466,0
1556558469,0
1556558472,0
1556558475,0
1556558478,0
1556558481,0
1556558484,0
1556558487,0
1556558490,0
1556558493,0
1556558496,0
1556558499,0
1556558502,0
1556558505,0
1556558508,0
1556558511,0
1556558514,0
1556558517,0
1556558520,0
1556558523,0
1556558526,0
1556558529,0
1556558532,0
1556558535,0
1556558538,0
1556558541,0
1556558544,0
1556558547,0
1556558550,0
1556558553,0
1556558556,0
1556558559,0
1556558562,0
1556558565,0
1556558568,0
1556558571,0
1556558574,0
1556558577,0
1556558580,0
1556558583,0
1556558586,0
1556558589,0
1556558592,0
1556558595,0
1556558598,0
1556558601,0
1556558604,0
1556558607,0
1556558610,0
1556558613,0
1556558616,0
1556558619,0
1556558622,0
1556558625,0
1556558628,0
1556558631,0
1556558634,0
1556558637,0
1556558640,0
1556558643,0
1556558646,0
1556558649,0
1556558652,0
1556558655,0
1556558658,0
1556558661,0
1556558664,0
1556558667,0
1556558670,0
1556558673,0
1556558676,0
1556558679,0
1556558682,0
1556558685,0
1556558688,0
1556558691,0
1556558694,0
1556558697,0
1556558700,0
1556558703,0
1556558706,0
1556558709,0
1556558712,0
1556558715,0
1556558718,0
1556558721,0
1556558724,0
1556558727,0
1556558730,0
1556558733,0
1556558736,0
1556558739,0
1556558742,0
1556558745,0
1556558748,0
1556558751,0
1556558754,0
1556558757,0
1556558760,0
1556558763,0
1556558766,0
1556558769,0
1556558772,0
1556558775,0
1556558778,0
1556558781,0
1556558784,0
1556558787,0
1556558790,0
1556558793,0
1556558796,0
1556558799,0
1556558802,0
1556558805,0
1556558808,0
1556558811,0
1556558814,0
1556558817,0
1556558820,0
1556558823,0
1556558826,0
1556558829,0
1556558832,0
1556558835,0
1556558838,0
1556558841,0
1556558844,0
1556558847,0
1556558850,0
1556558853,0
1556558856,0
1556558859,0
1556558862,0
1556558865,0
1556558868,0
1556558871,0
1556558874,0
1556558877,0
1556558880,0
1556558883,0
1556558886,0
1556558889,0
1556558892,0
1556558895,0
1556558898,0
1556558901,0
1556558904,0
1556558907,0
1556558910,0
1556558913,0
1556558916,0
1556558919,0
1556558922,0
1556558925,0
1556558928,0
1556558931,0
1556558934,0
1556558937,0
1556558940,0
1556558943,0
1556558946,0
1556558949,0
1556558952,0
1556558955,0
1556558958,0
1556558961,0
1556558964,0
1556558967,0
1556558970,0
1556558973,0
1556558976,0
1556558979,0
1556558982,0
t,value
1556559153,1
1556559156,1
1556559159,1
1556559162,1
1556559165,1
1556559168,1
1556559171,1
1556559174,1
1556559177,1
1556559180,1
1556559183,1
1556559186,1
1556559189,1
1556559192,1
1556559195,1
1556559198,1
1556559201,1
1556559204,1
1556559207,1
1556559210,1
1556559213,1
1556559216,1
1556559219,1
1556559222,1
1556559225,1
1556559228,1
1556559231,1
1556559234,1
1556559237,1
1556559240,1
1556559243,1
1556559246,1
1556559249,1
1556559252,1
1556559255,1
1556559258,1
1556559261,1
1556559264,1
1556559267,1
1556559270,1
1556559273,1
1556559276,1
1556559279,1
1556559282,1
1556559285,1
1556559288,1
1556559291,1
1556559294,1
1556559297,1
1556559300,1
1556559303,1
1556559306,1
1556559309,1
1556559312,1
1556559315,1
1556559318,1
1556559321,1
1556559324,1
1556559327,1
1556559330,1
1556559333,1
1556559336,1
1556559339,1
1556559342,1
1556559345,1
1556559348,1
1556559351,1
1556559354,1
1556559357,1
1556559360,1
1556559363,1
1556559366,1
1556559369,1
1556559372,1
1556559375,1
1556559378,1
1556559381,1
1556559384,1
1556559387,1
1556559390,1
1556559393,1
1556559396,1
1556559399,1
1556559402,1
1556559405,1
1556559408,1
1556559411,1
1556559414,1
1556559417,1
1556559420,1
1556559423,1
1556559426,1
1556559429,1
1556559432,1
1556559435,1
1556559438,1
1556559441,1
1556559444,1
1556559447,1
1556559450,1
1556559453,1
1556559456,1
1556559459,1
1556559462,1
1556559465,1
1556559468,1
1556559471,1
1556559474,1
1556559477,1
1556559480,1
1556559483,1
1556559486,1
1556559489,1
1556559492,1
1556559495,1
1556559498,1
1556559501,1
1556559504,1
1556559507,1
1556559510,1
1556559513,1
1556559516,1
1556559519,1
1556559522,1
1556559525,1
1556559528,1
1556559531,1
1556559534,1
1556559537,1
1556559540,1
1556559543,1
1556559546,1
1556559549,1
1556559552,1
1556559555,1
1556559558,1
1556559561,1
1556559564,1
1556559567,1
1556559570,1
1556559573,1
1556559576,1
1556559579,1
1556559582,1
1556559585,1
1556559588,1
1556559591,1
1556559594,1
1556559597,1
1556559600,1
1556559603,1
1556559606,1
1556559609,1
1556559612,1
1556559615,1
1556559618,1
1556559621,1
1556559624,1
1556559627,1
1556559630,1
1556559633,1
1556559636,1
1556559639,1
1556559642,1
1556559645,1
1556559648,1
1556559651,1
1556559654,1
1556559657,1
1556559660,1
1556559663,1
1556559666,1
1556559669,1
1556559672,1
1556559675,1
1556559678,1
1556559681,1
1556559684,1
1556559687,1
1556559690,1
1556559693,1
1556559696,1
1556559699,1
1556559702,1
1556559705,1
1556559708,1
1556559711,1
1556559714,1
1556559717,1
1556559720,1
1556559723,1
1556559726,1
1556559729,1
1556559732,1
1556559735,1
1556559738,1
1556559741,1
1556559744,1
1556559747,1
1556559750,1
1556559753,1
1556559756,1
1556559759,1
1556559762,1
1556559765,1
1556559768,1
1556559771,1
1556559774,1
1556559777,1
1556559780,1
1556559783,1
1556559786,1
1556559789,1
1556559792,1
1556559795,1
1556559798,1
1556559801,1
1556559804,1
1556559807,1
1556559810,1
1556559813,1
1556559816,1
1556559819,1
1556559822,1
1556559825,1
1556559828,1
1556559831,1
1556559834,1
1556559837,1
1556559840,1
1556559843,1
1556559846,1
1556559849,1
1556559852,1
1556559855,1
1556559858,1
1556559861,1
1556559864,1
1556559867,1
1556559870,1
1556559873,1
1556559876,1
1556559879,1
1556559882,1
1556559885,1
1556559888,1
1556559891,1
1556559894,1
1556559897,1
1556559900,1
1556559903,1
1556559906,1
1556559909,1
1556559912,1
1556559915,1
1556559918,1
1556559921,1
1556559924,1
1556559927,1
1556559930,1
1556559933,1
1556559936,1
1556559939,1
1556559942,1
1556559945,1
1556559948,1
1556559951,1
1556559954,1
1556559957,1
1556559960,1
1556559963,1
1556559966,1
1556559969,1
1556559972,1
1556559975,1
1556559978,1
1556559981,1
1556559984,1
1556559987,1
1556559990,1
1556559993,1
1556559996,1
1556559999,1
1556560002,1
1556560005,1
1556560008,1
1556560011,1
1556560014,1
1556560017,1
1556560020,1
1556560023,1
1556560026,1
1556560029,1
1556560032,1
1556560035,1
1556560038,1
1556560041,1
1556560044,1
1556560047,1
1556560050,1
1556560053,1
1556560056,1
1556560059,1
1556560062,1
1556560065,1
1556560068,1
1556560071,1
1556560074,1
1556560077,1
1556560080,1
1556560083,1
1556560086,1
1556560089,1
1556560092,1
1556560095,1
