t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,1,0.326579,0.000000,0.000000,0.000000,events/second
1556558043,1,0.166562,0.000000,0.000000,0.000000,events/second
1556558046,1,0.111099,0.000000,0.000000,0.000000,events/second
1556558049,1,0.083315,0.000000,0.000000,0.000000,events/second
1556558052,1,0.066643,0.000000,0.000000,0.000000,events/second
1556558055,1,0.055541,0.000000,0.000000,0.000000,events/second
1556558058,1,0.047614,0.000000,0.000000,0.000000,events/second
1556558061,1,0.041658,0.000000,0.000000,0.000000,events/second
1556558064,1,0.037035,0.000000,0.000000,0.000000,events/second
1556558067,1,0.033331,0.000000,0.000000,0.000000,events/second
1556558070,1,0.030303,0.000000,0.000000,0.000000,events/second
1556558073,1,0.027777,0.000000,0.000000,0.000000,events/second
1556558076,1,0.025640,0.000000,0.000000,0.000000,events/second
1556558079,1,0.023808,0.000000,0.000000,0.000000,events/second
1556558082,1,0.022221,0.000000,0.000000,0.000000,events/second
1556558085,1,0.020833,0.000000,0.000000,0.000000,events/second
1556558088,1,0.019607,0.000000,0.000000,0.000000,events/second
1556558091,1,0.018518,0.000000,0.000000,0.000000,events/second
1556558094,1,0.017543,0.000000,0.000000,0.000000,events/second
1556558097,1,0.016666,0.000000,0.000000,0.000000,events/second
1556558100,1,0.015871,0.000000,0.000000,0.000000,events/second
1556558103,1,0.015151,0.000000,0.000000,0.000000,events/second
1556558106,1,0.014492,0.000000,0.000000,0.000000,events/second
1556558109,1,0.013888,0.000000,0.000000,0.000000,events/second
1556558112,1,0.013333,0.000000,0.000000,0.000000,events/second
1556558115,1,0.012821,0.000000,0.000000,0.000000,events/second
1556558118,1,0.012345,0.000000,0.000000,0.000000,events/second
1556558121,1,0.011904,0.000000,0.000000,0.000000,events/second
1556558124,1,0.011494,0.000000,0.000000,0.000000,events/second
1556558127,1,0.011111,0.000000,0.000000,0.000000,events/second
1556558130,1,0.010753,0.000000,0.000000,0.000000,events/second
1556558133,1,0.010417,0.000000,0.000000,0.000000,events/second
1556558136,1,0.010101,0.000000,0.000000,0.000000,events/second
1556558139,1,0.009804,0.000000,0.000000,0.000000,events/second
1556558142,1,0.009524,0.000000,0.000000,0.000000,events/second
1556558145,1,0.009259,0.000000,0.000000,0.000000,events/second
1556558148,1,0.009009,0.000000,0.000000,0.000000,events/second
1556558151,1,0.008772,0.000000,0.000000,0.000000,events/second
1556558154,1,0.008547,0.000000,0.000000,0.000000,events/second
1556558157,1,0.008333,0.000000,0.000000,0.000000,events/second
1556558160,1,0.008130,0.000000,0.000000,0.000000,events/second
1556558163,1,0.007936,0.000000,0.000000,0.000000,events/second
1556558166,1,0.007752,0.000000,0.000000,0.000000,events/second
1556558169,1,0.007576,0.000000,0.000000,0.000000,events/second
1556558172,1,0.007407,0.000000,0.000000,0.000000,events/second
1556558175,1,0.007246,0.000000,0.000000,0.000000,events/second
1556558178,1,0.007092,0.000000,0.000000,0.000000,events/second
