t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,22,7.182972,0.000000,0.000000,0.000000,events/second
1556558043,22,3.664397,0.000000,0.000000,0.000000,events/second
1556558046,22,2.444109,0.000000,0.000000,0.000000,events/second
1556558049,22,1.832947,0.000000,0.000000,0.000000,events/second
1556558052,22,1.466149,0.000000,0.000000,0.000000,events/second
1556558055,22,1.221902,0.000000,0.000000,0.000000,events/second
1556558058,22,1.047509,0.000000,0.000000,0.000000,events/second
1556558061,22,0.916468,0.000000,0.000000,0.000000,events/second
1556558064,22,0.814777,0.000000,0.000000,0.000000,events/second
1556558067,22,0.733275,0.000000,0.000000,0.000000,events/second
1556558070,22,0.666659,0.000000,0.000000,0.000000,events/second
1556558073,22,0.611087,0.000000,0.000000,0.000000,events/second
1556558076,22,0.564077,0.000000,0.000000,0.000000,events/second
1556558079,22,0.523783,0.000000,0.000000,0.000000,events/second
1556558082,22,0.488866,0.000000,0.000000,0.000000,events/second
1556558085,22,0.458324,0.000000,0.000000,0.000000,events/second
1556558088,22,0.431348,0.000000,0.000000,0.000000,events/second
1556558091,22,0.407392,0.000000,0.000000,0.000000,events/second
1556558094,22,0.385947,0.000000,0.000000,0.000000,events/second
1556558097,22,0.366660,0.000000,0.000000,0.000000,events/second
1556558100,22,0.349172,0.000000,0.000000,0.000000,events/second
1556558103,22,0.333320,0.000000,0.000000,0.000000,events/second
1556558106,22,0.318831,0.000000,0.000000,0.000000,events/second
1556558109,22,0.305545,0.000000,0.000000,0.000000,events/second
1556558112,22,0.293331,0.000000,0.000000,0.000000,events/second
1556558115,22,0.282053,0.000000,0.000000,0.000000,events/second
1556558118,22,0.271600,0.000000,0.000000,0.000000,events/second
1556558121,22,0.261896,0.000000,0.000000,0.000000,events/second
1556558124,22,0.252868,0.000000,0.000000,0.000000,events/second
1556558127,22,0.244443,0.000000,0.000000,0.000000,events/second
1556558130,22,0.236557,0.000000,0.000000,0.000000,events/second
1556558133,22,0.229169,0.000000,0.000000,0.000000,events/second
1556558136,22,0.222223,0.000000,0.000000,0.000000,events/second
1556558139,22,0.215680,0.000000,0.000000,0.000000,events/second
1556558142,22,0.209523,0.000000,0.000000,0.000000,events/second
1556558145,22,0.203698,0.000000,0.000000,0.000000,events/second
1556558148,22,0.198200,0.000000,0.000000,0.000000,events/second
1556558151,22,0.192980,0.000000,0.000000,0.000000,events/second
1556558154,22,0.188027,0.000000,0.000000,0.000000,events/second
1556558157,22,0.183324,0.000000,0.000000,0.000000,events/second
1556558160,22,0.178859,0.000000,0.000000,0.000000,events/second
1556558163,22,0.174602,0.000000,0.000000,0.000000,events/second
1556558166,22,0.170542,0.000000,0.000000,0.000000,events/second
1556558169,22,0.166662,0.000000,0.000000,0.000000,events/second
1556558172,22,0.162949,0.000000,0.000000,0.000000,events/second
1556558175,22,0.159413,0.000000,0.000000,0.000000,events/second
