t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,20,6.504656,0.000000,0.000000,0.000000,events/second
1556558043,20,3.329657,0.000000,0.000000,0.000000,events/second
1556558046,20,2.221127,0.000000,0.000000,0.000000,events/second
1556558049,20,1.665892,0.000000,0.000000,0.000000,events/second
1556558052,20,1.332555,0.000000,0.000000,0.000000,events/second
1556558055,20,1.110604,0.000000,0.000000,0.000000,events/second
1556558058,20,0.952154,0.000000,0.000000,0.000000,events/second
1556558061,20,0.833005,0.000000,0.000000,0.000000,events/second
1556558064,20,0.740619,0.000000,0.000000,0.000000,events/second
1556558067,20,0.666545,0.000000,0.000000,0.000000,events/second
1556558070,20,0.606000,0.000000,0.000000,0.000000,events/second
1556558073,20,0.555486,0.000000,0.000000,0.000000,events/second
1556558076,20,0.512758,0.000000,0.000000,0.000000,events/second
1556558079,20,0.476132,0.000000,0.000000,0.000000,events/second
1556558082,20,0.444391,0.000000,0.000000,0.000000,events/second
1556558085,20,0.416636,0.000000,0.000000,0.000000,events/second
1556558088,20,0.392112,0.000000,0.000000,0.000000,events/second
1556558091,20,0.370338,0.000000,0.000000,0.000000,events/second
1556558094,20,0.350843,0.000000,0.000000,0.000000,events/second
1556558097,20,0.333313,0.000000,0.000000,0.000000,events/second
1556558100,20,0.317410,0.000000,0.000000,0.000000,events/second
1556558103,20,0.303000,0.000000,0.000000,0.000000,events/second
1556558106,20,0.289834,0.000000,0.000000,0.000000,events/second
1556558109,20,0.277757,0.000000,0.000000,0.000000,events/second
1556558112,20,0.266653,0.000000,0.000000,0.000000,events/second
1556558115,20,0.256404,0.000000,0.000000,0.000000,events/second
1556558118,20,0.246898,0.000000,0.000000,0.000000,events/second
1556558121,20,0.238079,0.000000,0.000000,0.000000,events/second
1556558124,20,0.229872,0.000000,0.000000,0.000000,events/second
1556558127,20,0.222214,0.000000,0.000000,0.000000,events/second
1556558130,20,0.215046,0.000000,0.000000,0.000000,events/second
1556558133,20,0.208330,0.000000,0.000000,0.000000,events/second
1556558136,20,0.202015,0.000000,0.000000,0.000000,events/second
1556558139,20,0.196067,0.000000,0.000000,0.000000,events/second
1556558142,20,0.190471,0.000000,0.000000,0.000000,events/second
1556558145,20,0.185176,0.000000,0.000000,0.000000,events/second
1556558148,20,0.180178,0.000000,0.000000,0.000000,events/second
1556558151,20,0.175432,0.000000,0.000000,0.000000,events/second
1556558154,20,0.170930,0.000000,0.000000,0.000000,events/second
1556558157,20,0.166655,0.000000,0.000000,0.000000,events/second
1556558160,20,0.162596,0.000000,0.000000,0.000000,events/second
1556558163,20,0.158726,0.000000,0.000000,0.000000,events/second
1556558166,20,0.155035,0.000000,0.000000,0.000000,events/second
1556558169,20,0.151508,0.000000,0.000000,0.000000,events/second
1556558172,20,0.148133,0.000000,0.000000,0.000000,events/second
1556558175,20,0.144918,0.000000,0.000000,0.000000,events/second
1556558178,20,0.141829,0.000000,0.000000,0.000000,events/second
1556558181,20,0.138883,0.000000,0.000000,0.000000,events/second
1556558184,20,0.136052,0.000000,0.000000,0.000000,events/second
1556558187,20,0.133329,0.000000,0.000000,0.000000,events/second
1556558190,20,0.130713,0.000000,0.000000,0.000000,events/second
1556558193,20,0.128206,0.000000,0.000000,0.000000,events/second
1556558196,20,0.125787,0.000000,0.000000,0.000000,events/second
1556558199,20,0.123454,0.000000,0.000000,0.000000,events/second
1556558202,20,0.121210,0.000000,0.000000,0.000000,events/second
1556558205,20,0.119047,0.000000,0.000000,0.000000,events/second
1556558208,20,0.116958,0.000000,0.000000,0.000000,events/second
1556558211,20,0.114942,0.000000,0.000000,0.000000,events/second
1556558214,20,0.112993,0.000000,0.000000,0.000000,events/second
1556558217,20,0.111110,0.000000,0.000000,0.000000,events/second
1556558220,20,0.109288,0.000000,0.000000,0.000000,events/second
1556558223,20,0.107524,0.000000,0.000000,0.000000,events/second
1556558226,20,0.105820,0.000000,0.000000,0.000000,events/second
1556558229,20,0.104166,0.000000,0.000000,0.000000,events/second
1556558232,20,0.102562,0.000000,0.000000,0.000000,events/second
1556558235,20,0.101010,0.000000,0.000000,0.000000,events/second
1556558238,20,0.099501,0.000000,0.000000,0.000000,events/second
1556558241,20,0.098038,0.000000,0.000000,0.000000,events/second
1556558244,20,0.096615,0.000000,0.000000,0.000000,events/second
1556558247,20,0.095238,0.000000,0.000000,0.000000,events/second
1556558250,20,0.093897,0.000000,0.000000,0.000000,events/second
1556558253,20,0.092593,0.000000,0.000000,0.000000,events/second
1556558256,20,0.091322,0.000000,0.000000,0.000000,events/second
1556558259,20,0.090090,0.000000,0.000000,0.000000,events/second
1556558262,20,0.088889,0.000000,0.000000,0.000000,events/second
1556558265,20,0.087719,0.000000,0.000000,0.000000,events/second
1556558268,20,0.086580,0.000000,0.000000,0.000000,events/second
1556558271,20,0.085469,0.000000,0.000000,0.000000,events/second
1556558274,20,0.084387,0.000000,0.000000,0.000000,events/second
1556558277,20,0.083332,0.000000,0.000000,0.000000,events/second
1556558280,20,0.082304,0.000000,0.000000,0.000000,events/second
1556558283,20,0.081301,0.000000,0.000000,0.000000,events/second
1556558286,20,0.080321,0.000000,0.000000,0.000000,events/second
1556558289,20,0.079365,0.000000,0.000000,0.000000,events/second
1556558292,20,0.078430,0.000000,0.000000,0.000000,events/second
1556558295,20,0.077519,0.000000,0.000000,0.000000,events/second
1556558298,20,0.076628,0.000000,0.000000,0.000000,events/second
1556558301,20,0.075757,0.000000,0.000000,0.000000,events/second
1556558304,20,0.074905,0.000000,0.000000,0.000000,events/second
1556558307,20,0.074074,0.000000,0.000000,0.000000,events/second
1556558310,20,0.073259,0.000000,0.000000,0.000000,events/second
1556558313,20,0.072463,0.000000,0.000000,0.000000,events/second
1556558316,20,0.071684,0.000000,0.000000,0.000000,events/second
1556558319,20,0.070921,0.000000,0.000000,0.000000,events/second
1556558322,20,0.070174,0.000000,0.000000,0.000000,events/second
1556558325,20,0.069444,0.000000,0.000000,0.000000,events/second
1556558328,20,0.068727,0.000000,0.000000,0.000000,events/second
1556558331,20,0.068027,0.000000,0.000000,0.000000,events/second
1556558334,20,0.067340,0.000000,0.000000,0.000000,events/second
1556558337,20,0.066666,0.000000,0.000000,0.000000,events/second
1556558340,20,0.066006,0.000000,0.000000,0.000000,events/second
1556558343,20,0.065359,0.000000,0.000000,0.000000,events/second
1556558346,20,0.064723,0.000000,0.000000,0.000000,events/second
1556558349,20,0.064103,0.000000,0.000000,0.000000,events/second
1556558352,20,0.063492,0.000000,0.000000,0.000000,events/second
1556558355,20,0.062893,0.000000,0.000000,0.000000,events/second
1556558358,20,0.062305,0.000000,0.000000,0.000000,events/second
1556558361,20,0.061728,0.000000,0.000000,0.000000,events/second
1556558364,20,0.061160,0.000000,0.000000,0.000000,events/second
1556558367,20,0.060606,0.000000,0.000000,0.000000,events/second
1556558370,20,0.060059,0.000000,0.000000,0.000000,events/second
1556558373,20,0.059523,0.000000,0.000000,0.000000,events/second
1556558376,20,0.058997,0.000000,0.000000,0.000000,events/second
1556558379,20,0.058479,0.000000,0.000000,0.000000,events/second
1556558382,20,0.057970,0.000000,0.000000,0.000000,events/second
1556558385,20,0.057471,0.000000,0.000000,0.000000,events/second
1556558388,20,0.056980,0.000000,0.000000,0.000000,events/second
1556558391,20,0.056497,0.000000,0.000000,0.000000,events/second
1556558394,20,0.056022,0.000000,0.000000,0.000000,events/second
1556558397,20,0.055556,0.000000,0.000000,0.000000,events/second
1556558400,20,0.055096,0.000000,0.000000,0.000000,events/second
1556558403,20,0.054644,0.000000,0.000000,0.000000,events/second
1556558406,20,0.054200,0.000000,0.000000,0.000000,events/second
1556558409,20,0.053763,0.000000,0.000000,0.000000,events/second
1556558412,20,0.053333,0.000000,0.000000,0.000000,events/second
1556558415,20,0.052910,0.000000,0.000000,0.000000,events/second
1556558418,20,0.052493,0.000000,0.000000,0.000000,events/second
1556558421,20,0.052083,0.000000,0.000000,0.000000,events/second
1556558424,20,0.051679,0.000000,0.000000,0.000000,events/second
1556558427,20,0.051282,0.000000,0.000000,0.000000,events/second
1556558430,20,0.050890,0.000000,0.000000,0.000000,events/second
1556558433,20,0.050504,0.000000,0.000000,0.000000,events/second
1556558436,20,0.050125,0.000000,0.000000,0.000000,events/second
1556558439,20,0.049751,0.000000,0.000000,0.000000,events/second
1556558442,20,0.049382,0.000000,0.000000,0.000000,events/second
1556558445,20,0.049019,0.000000,0.000000,0.000000,events/second
1556558448,20,0.048661,0.000000,0.000000,0.000000,events/second
1556558451,20,0.048309,0.000000,0.000000,0.000000,events/second
1556558454,20,0.047961,0.000000,0.000000,0.000000,events/second
1556558457,20,0.047619,0.000000,0.000000,0.000000,events/second
1556558460,20,0.047281,0.000000,0.000000,0.000000,events/second
1556558463,20,0.046948,0.000000,0.000000,0.000000,events/second
1556558466,20,0.046620,0.000000,0.000000,0.000000,events/second
1556558469,20,0.046296,0.000000,0.000000,0.000000,events/second
1556558472,20,0.045977,0.000000,0.000000,0.000000,events/second
1556558475,20,0.045662,0.000000,0.000000,0.000000,events/second
1556558478,20,0.045351,0.000000,0.000000,0.000000,events/second
1556558481,20,0.045045,0.000000,0.000000,0.000000,events/second
1556558484,20,0.044742,0.000000,0.000000,0.000000,events/second
1556558487,20,0.044444,0.000000,0.000000,0.000000,events/second
1556558490,20,0.044150,0.000000,0.000000,0.000000,events/second
1556558493,20,0.043859,0.000000,0.000000,0.000000,events/second
1556558496,20,0.043573,0.000000,0.000000,0.000000,events/second
1556558499,20,0.043290,0.000000,0.000000,0.000000,events/second
1556558502,20,0.043010,0.000000,0.000000,0.000000,events/second
1556558505,20,0.042735,0.000000,0.000000,0.000000,events/second
1556558508,20,0.042463,0.000000,0.000000,0.000000,events/second
1556558511,20,0.042194,0.000000,0.000000,0.000000,events/second
1556558514,20,0.041929,0.000000,0.000000,0.000000,events/second
1556558517,20,0.041667,0.000000,0.000000,0.000000,events/second
1556558520,20,0.041407,0.000000,0.000000,0.000000,events/second
1556558523,20,0.041152,0.000000,0.000000,0.000000,events/second
1556558526,20,0.040900,0.000000,0.000000,0.000000,events/second
1556558529,20,0.040650,0.000000,0.000000,0.000000,events/second
1556558532,20,0.040404,0.000000,0.000000,0.000000,events/second
1556558535,20,0.040160,0.000000,0.000000,0.000000,events/second
1556558538,20,0.039919,0.000000,0.000000,0.000000,events/second
