t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,103,33.487789,0.000000,0.000000,0.000000,events/second
1556558043,125,20.809362,0.000000,0.000000,0.000000,events/second
1556558046,125,13.881575,0.000000,0.000000,0.000000,events/second
1556558049,125,10.411540,0.000000,0.000000,0.000000,events/second
1556558052,125,8.328283,0.000000,0.000000,0.000000,events/second
1556558055,125,6.941143,0.000000,0.000000,0.000000,events/second
1556558058,125,5.950889,0.000000,0.000000,0.000000,events/second
1556558061,125,5.206178,0.000000,0.000000,0.000000,events/second
1556558064,125,4.628820,0.000000,0.000000,0.000000,events/second
1556558067,125,4.165863,0.000000,0.000000,0.000000,events/second
1556558070,125,3.787464,0.000000,0.000000,0.000000,events/second
1556558073,125,3.471760,0.000000,0.000000,0.000000,events/second
1556558076,125,3.204715,0.000000,0.000000,0.000000,events/second
1556558079,125,2.975804,0.000000,0.000000,0.000000,events/second
1556558082,125,2.777422,0.000000,0.000000,0.000000,events/second
1556558085,125,2.603961,0.000000,0.000000,0.000000,events/second
1556558088,125,2.450687,0.000000,0.000000,0.000000,events/second
1556558091,125,2.314604,0.000000,0.000000,0.000000,events/second
1556558094,125,2.192758,0.000000,0.000000,0.000000,events/second
1556558097,125,2.083196,0.000000,0.000000,0.000000,events/second
1556558100,125,1.983800,0.000000,0.000000,0.000000,events/second
1556558103,147,2.227039,0.000000,0.000000,0.000000,events/second
1556558106,147,2.130273,0.000000,0.000000,0.000000,events/second
1556558109,147,2.041511,0.000000,0.000000,0.000000,events/second
1556558112,147,1.959894,0.000000,0.000000,0.000000,events/second
1556558115,147,1.884560,0.000000,0.000000,0.000000,events/second
1556558118,147,1.814695,0.000000,0.000000,0.000000,events/second
1556558121,147,1.749873,0.000000,0.000000,0.000000,events/second
1556558124,147,1.689556,0.000000,0.000000,0.000000,events/second
1556558127,147,1.633266,0.000000,0.000000,0.000000,events/second
1556558130,147,1.580583,0.000000,0.000000,0.000000,events/second
1556558133,147,1.531218,0.000000,0.000000,0.000000,events/second
1556558136,147,1.484807,0.000000,0.000000,0.000000,events/second
1556558139,147,1.441088,0.000000,0.000000,0.000000,events/second
1556558142,147,1.399957,0.000000,0.000000,0.000000,events/second
1556558145,147,1.361041,0.000000,0.000000,0.000000,events/second
1556558148,147,1.324302,0.000000,0.000000,0.000000,events/second
1556558151,147,1.289425,0.000000,0.000000,0.000000,events/second
1556558154,147,1.256331,0.000000,0.000000,0.000000,events/second
1556558157,147,1.224911,0.000000,0.000000,0.000000,events/second
1556558160,147,1.195080,0.000000,0.000000,0.000000,events/second
1556558163,169,1.341228,0.000000,0.000000,0.000000,events/second
1556558166,169,1.310043,0.000000,0.000000,0.000000,events/second
1556558169,169,1.280238,0.000000,0.000000,0.000000,events/second
1556558172,169,1.251720,0.000000,0.000000,0.000000,events/second
1556558175,169,1.224553,0.000000,0.000000,0.000000,events/second
1556558178,169,1.198451,0.000000,0.000000,0.000000,events/second
1556558181,169,1.173563,0.000000,0.000000,0.000000,events/second
1556558184,169,1.149642,0.000000,0.000000,0.000000,events/second
1556558187,169,1.126627,0.000000,0.000000,0.000000,events/second
1556558190,169,1.104522,0.000000,0.000000,0.000000,events/second
1556558193,169,1.083335,0.000000,0.000000,0.000000,events/second
1556558196,169,1.062897,0.000000,0.000000,0.000000,events/second
1556558199,169,1.043187,0.000000,0.000000,0.000000,events/second
1556558202,169,1.024222,0.000000,0.000000,0.000000,events/second
1556558205,169,1.005950,0.000000,0.000000,0.000000,events/second
1556558208,169,0.988293,0.000000,0.000000,0.000000,events/second
1556558211,169,0.971260,0.000000,0.000000,0.000000,events/second
1556558214,169,0.954793,0.000000,0.000000,0.000000,events/second
1556558217,169,0.938881,0.000000,0.000000,0.000000,events/second
1556558220,169,0.923483,0.000000,0.000000,0.000000,events/second
1556558223,191,1.026856,0.000000,0.000000,0.000000,events/second
1556558226,191,1.010581,0.000000,0.000000,0.000000,events/second
1556558229,191,0.994787,0.000000,0.000000,0.000000,events/second
1556558232,191,0.979463,0.000000,0.000000,0.000000,events/second
1556558235,191,0.964641,0.000000,0.000000,0.000000,events/second
1556558238,191,0.950236,0.000000,0.000000,0.000000,events/second
1556558241,191,0.936264,0.000000,0.000000,0.000000,events/second
1556558244,191,0.922673,0.000000,0.000000,0.000000,events/second
1556558247,191,0.909518,0.000000,0.000000,0.000000,events/second
1556558250,191,0.896714,0.000000,0.000000,0.000000,events/second
1556558253,191,0.884259,0.000000,0.000000,0.000000,events/second
1556558256,191,0.872127,0.000000,0.000000,0.000000,events/second
1556558259,191,0.860360,0.000000,0.000000,0.000000,events/second
1556558262,191,0.848886,0.000000,0.000000,0.000000,events/second
1556558265,191,0.837712,0.000000,0.000000,0.000000,events/second
