t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,170,55.231135,0.000000,0.000000,0.000000,events/second
1556558043,193,32.126459,0.000000,0.000000,0.000000,events/second
1556558046,193,21.431726,0.000000,0.000000,0.000000,events/second
1556558049,193,16.074538,0.000000,0.000000,0.000000,events/second
1556558052,193,12.858322,0.000000,0.000000,0.000000,events/second
1556558055,193,10.716724,0.000000,0.000000,0.000000,events/second
1556558058,193,9.187932,0.000000,0.000000,0.000000,events/second
1556558061,193,8.037997,0.000000,0.000000,0.000000,events/second
1556558064,193,7.146756,0.000000,0.000000,0.000000,events/second
1556558067,193,6.431961,0.000000,0.000000,0.000000,events/second
1556558070,193,5.847741,0.000000,0.000000,0.000000,events/second
1556558073,193,5.360308,0.000000,0.000000,0.000000,events/second
1556558076,193,4.948006,0.000000,0.000000,0.000000,events/second
1556558079,193,4.594573,0.000000,0.000000,0.000000,events/second
1556558082,193,4.288282,0.000000,0.000000,0.000000,events/second
1556558085,193,4.020476,0.000000,0.000000,0.000000,events/second
1556558088,193,3.783819,0.000000,0.000000,0.000000,events/second
1556558091,193,3.573716,0.000000,0.000000,0.000000,events/second
1556558094,193,3.385588,0.000000,0.000000,0.000000,events/second
1556558097,193,3.216428,0.000000,0.000000,0.000000,events/second
1556558100,193,3.062955,0.000000,0.000000,0.000000,events/second
1556558103,216,3.272346,0.000000,0.000000,0.000000,events/second
1556558106,216,3.130175,0.000000,0.000000,0.000000,events/second
1556558109,216,2.999750,0.000000,0.000000,0.000000,events/second
1556558112,216,2.879821,0.000000,0.000000,0.000000,events/second
1556558115,216,2.769133,0.000000,0.000000,0.000000,events/second
1556558118,216,2.666465,0.000000,0.000000,0.000000,events/second
1556558121,216,2.571225,0.000000,0.000000,0.000000,events/second
1556558124,216,2.482596,0.000000,0.000000,0.000000,events/second
1556558127,216,2.399886,0.000000,0.000000,0.000000,events/second
1556558130,216,2.322477,0.000000,0.000000,0.000000,events/second
1556558133,216,2.249940,0.000000,0.000000,0.000000,events/second
1556558136,216,2.181745,0.000000,0.000000,0.000000,events/second
1556558139,216,2.117506,0.000000,0.000000,0.000000,events/second
1556558142,216,2.057071,0.000000,0.000000,0.000000,events/second
1556558145,216,1.999889,0.000000,0.000000,0.000000,events/second
1556558148,216,1.945905,0.000000,0.000000,0.000000,events/second
1556558151,216,1.894657,0.000000,0.000000,0.000000,events/second
1556558154,216,1.846030,0.000000,0.000000,0.000000,events/second
1556558157,216,1.799861,0.000000,0.000000,0.000000,events/second
1556558160,216,1.756030,0.000000,0.000000,0.000000,events/second
1556558163,239,1.896758,0.000000,0.000000,0.000000,events/second
1556558166,239,1.852657,0.000000,0.000000,0.000000,events/second
