t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,166,53.917496,0.000000,0.000000,0.000000,events/second
1556558043,188,31.294347,0.000000,0.000000,0.000000,events/second
1556558046,188,20.876504,0.000000,0.000000,0.000000,events/second
1556558049,188,15.658078,0.000000,0.000000,0.000000,events/second
1556558052,188,12.525202,0.000000,0.000000,0.000000,events/second
1556558055,188,10.439078,0.000000,0.000000,0.000000,events/second
1556558058,188,8.949912,0.000000,0.000000,0.000000,events/second
1556558061,188,7.829712,0.000000,0.000000,0.000000,events/second
1556558064,188,6.961619,0.000000,0.000000,0.000000,events/second
1556558067,188,6.265331,0.000000,0.000000,0.000000,events/second
1556558070,188,5.696247,0.000000,0.000000,0.000000,events/second
1556558073,188,5.221443,0.000000,0.000000,0.000000,events/second
1556558076,188,4.819821,0.000000,0.000000,0.000000,events/second
1556558079,188,4.475545,0.000000,0.000000,0.000000,events/second
1556558082,188,4.177185,0.000000,0.000000,0.000000,events/second
1556558085,188,3.916321,0.000000,0.000000,0.000000,events/second
1556558088,188,3.685792,0.000000,0.000000,0.000000,events/second
1556558091,188,3.481137,0.000000,0.000000,0.000000,events/second
1556558094,188,3.297883,0.000000,0.000000,0.000000,events/second
1556558097,188,3.133102,0.000000,0.000000,0.000000,events/second
1556558100,188,2.983601,0.000000,0.000000,0.000000,events/second
1556558103,210,3.181447,0.000000,0.000000,0.000000,events/second
1556558106,210,3.043228,0.000000,0.000000,0.000000,events/second
1556558109,210,2.916427,0.000000,0.000000,0.000000,events/second
1556558112,210,2.799826,0.000000,0.000000,0.000000,events/second
1556558115,210,2.692215,0.000000,0.000000,0.000000,events/second
1556558118,210,2.592394,0.000000,0.000000,0.000000,events/second
1556558121,210,2.499803,0.000000,0.000000,0.000000,events/second
1556558124,210,2.413637,0.000000,0.000000,0.000000,events/second
1556558127,210,2.333223,0.000000,0.000000,0.000000,events/second
1556558130,210,2.257965,0.000000,0.000000,0.000000,events/second
1556558133,210,2.187442,0.000000,0.000000,0.000000,events/second
1556558136,210,2.121142,0.000000,0.000000,0.000000,events/second
1556558139,210,2.058687,0.000000,0.000000,0.000000,events/second
1556558142,210,1.999932,0.000000,0.000000,0.000000,events/second
1556558145,210,1.944337,0.000000,0.000000,0.000000,events/second
1556558148,210,1.891853,0.000000,0.000000,0.000000,events/second
1556558151,210,1.842029,0.000000,0.000000,0.000000,events/second
1556558154,210,1.794753,0.000000,0.000000,0.000000,events/second
1556558157,210,1.749866,0.000000,0.000000,0.000000,events/second
1556558160,210,1.707252,0.000000,0.000000,0.000000,events/second
1556558163,232,1.841205,0.000000,0.000000,0.000000,events/second
1556558166,232,1.798397,0.000000,0.000000,0.000000,events/second
1556558169,232,1.757482,0.000000,0.000000,0.000000,events/second
1556558172,232,1.718333,0.000000,0.000000,0.000000,events/second
1556558175,232,1.681036,0.000000,0.000000,0.000000,events/second
1556558178,232,1.645207,0.000000,0.000000,0.000000,events/second
1556558181,232,1.611039,0.000000,0.000000,0.000000,events/second
1556558184,232,1.578202,0.000000,0.000000,0.000000,events/second
1556558187,232,1.546607,0.000000,0.000000,0.000000,events/second
1556558190,232,1.516262,0.000000,0.000000,0.000000,events/second
