t,value
1556558040,8.487621575534045E-5
1556558043,8.487621575534045E-5
1556558046,8.487621575534045E-5
1556558049,8.487621575534045E-5
1556558052,8.487621575534045E-5
1556558055,8.487621575534045E-5
1556558058,8.487621575534045E-5
1556558061,8.487621575534045E-5
1556558064,8.487621575534045E-5
1556558067,8.487621575534045E-5
1556558070,8.487621575534045E-5
1556558073,8.487621575534045E-5
1556558076,8.487621575534045E-5
1556558079,8.487621575534045E-5
1556558082,8.487621575534045E-5
1556558085,8.487621575534045E-5
1556558088,8.487621575534045E-5
1556558091,8.487621575534045E-5
1556558094,8.487621575534045E-5
1556558097,8.487621575534045E-5
1556558100,8.487621575534045E-5
1556558103,8.487621575534045E-5
1556558106,8.487621575534045E-5
1556558109,8.487621575534045E-5
1556558112,8.487621575534045E-5
1556558115,8.487621575534045E-5
1556558118,8.487621575534045E-5
1556558121,8.487621575534045E-5
1556558124,8.487621575534045E-5
1556558127,8.487621575534045E-5
1556558130,8.487621575534045E-5
1556558133,8.487621575534045E-5
1556558136,8.487621575534045E-5
1556558139,8.487621575534045E-5
1556558142,8.487621575534045E-5
1556558145,8.487621575534045E-5
1556558148,8.487621575534045E-5
1556558151,8.487621575534045E-5
1556558154,8.487621575534045E-5
1556558157,8.487621575534045E-5
1556558160,8.487621575534045E-5
1556558163,8.487621575534045E-5
1556558166,8.487621575534045E-5
1556558169,8.487621575534045E-5
1556558172,8.487621575534045E-5
1556558175,8.487621575534045E-5
1556558178,8.487621575534045E-5
1556558181,8.487621575534045E-5
1556558184,8.487621575534045E-5
1556558187,8.487621575534045E-5
1556558190,8.487621575534045E-5
1556558193,8.487621575534045E-5
1556558196,8.487621575534045E-5
1556558199,8.487621575534045E-5
1556558202,8.487621575534045E-5
1556558205,8.487621575534045E-5
1556558208,8.487621575534045E-5
1556558211,8.487621575534045E-5
1556558214,8.487621575534045E-5
1556558217,8.487621575534045E-5
1556558220,8.487621575534045E-5
1556558223,8.487621575534045E-5
1556558226,8.487621575534045E-5
1556558229,8.487621575534045E-5
