t,value
1556558040,-1
1556558043,12
1556558046,12
1556558049,12
1556558052,12
1556558055,13
1556558058,13
1556558061,13
1556558064,13
1556558067,13
1556558070,13
1556558073,16
1556558076,16
1556558079,16
1556558082,16
1556558085,16
1556558088,16
1556558091,16
1556558094,16
1556558097,16
1556558100,16
1556558103,16
1556558106,16
1556558109,16
1556558112,16
1556558115,16
1556558118,16
1556558121,16
1556558124,16
1556558127,16
1556558130,16
1556558133,15
1556558136,15
1556558139,15
1556558142,15
1556558145,15
1556558148,15
1556558151,15
1556558154,15
1556558157,15
1556558160,15
1556558163,15
1556558166,15
1556558169,15
1556558172,15
1556558175,15
1556558178,15
1556558181,15
1556558184,15
1556558187,15
1556558190,15
1556558193,14
1556558196,14
1556558199,14
1556558202,14
1556558205,14
1556558208,14
1556558211,14
1556558214,14
1556558217,14
1556558220,14
1556558223,14
1556558226,14
1556558229,14
1556558232,14
1556558235,14
1556558238,14
1556558241,14
1556558244,14
1556558247,14
1556558250,14
1556558253,13
1556558256,13
1556558259,13
1556558262,13
1556558265,13
1556558268,13
1556558271,13
1556558274,13
1556558277,13
1556558280,13
1556558283,13
1556558286,13
1556558289,13
1556558292,13
1556558295,13
1556558298,13
1556558301,13
1556558304,13
1556558307,13
1556558310,13
1556558313,13
1556558316,13
1556558319,13
1556558322,13
1556558325,13
1556558328,13
1556558331,13
1556558334,13
1556558337,13
1556558340,12
1556558343,12
1556558346,12
1556558349,12
1556558352,12
1556558355,12
1556558358,12
1556558361,12
1556558364,12
1556558367,12
1556558370,12
1556558373,12
1556558376,12
1556558379,12
1556558382,12
1556558385,12
1556558388,12
1556558391,12
1556558394,12
1556558397,12
1556558400,12
1556558403,12
1556558406,12
1556558409,12
1556558412,12
1556558415,12
1556558418,12
1556558421,12
1556558424,12
1556558427,12
1556558430,12
1556558433,12
1556558436,12
1556558439,12
1556558442,12
1556558445,12
1556558448,12
1556558451,12
1556558454,12
1556558457,12
1556558460,12
1556558463,12
1556558466,12
1556558469,12
1556558472,12
1556558475,12
1556558478,12
1556558481,12
1556558484,12
1556558487,12
1556558490,12
1556558493,12
1556558496,12
1556558499,12
1556558502,12
1556558505,12
1556558508,12
1556558511,12
1556558514,12
1556558517,12
1556558520,12
1556558523,12
1556558526,12
1556558529,12
1556558532,12
1556558535,12
1556558538,12
1556558541,12
1556558544,12
1556558547,12
1556558550,12
1556558553,12
1556558556,12
1556558559,12
1556558562,12
1556558565,12
1556558568,12
1556558571,12
1556558574,12
1556558577,12
1556558580,12
1556558583,12
1556558586,12
1556558589,12
1556558592,12
1556558595,12
1556558598,12
1556558601,12
1556558604,12
1556558607,12
1556558610,12
1556558613,12
1556558616,12
1556558619,12
1556558622,12
1556558625,12
1556558628,12
1556558631,12
1556558634,12
1556558637,12
1556558640,12
1556558643,12
1556558646,12
1556558649,12
1556558652,12
1556558655,12
1556558658,12
1556558661,12
1556558664,12
1556558667,12
1556558670,12
1556558673,12
1556558676,12
1556558679,12
1556558682,12
1556558685,12
1556558688,12
1556558691,12
1556558694,12
1556558697,12
1556558700,12
1556558703,12
1556558706,12
1556558709,12
1556558712,12
1556558715,12
1556558718,12
1556558721,12
1556558724,12
1556558727,12
1556558730,12
1556558733,12
1556558736,12
1556558739,12
1556558742,12
1556558745,12
1556558748,12
1556558751,12
1556558754,12
1556558757,12
1556558760,12
1556558763,12
1556558766,12
1556558769,12
1556558772,12
1556558775,12
1556558778,12
1556558781,12
1556558784,12
1556558787,12
1556558790,12
1556558793,12
1556558796,12
1556558799,12
1556558802,12
1556558805,12
1556558808,12
1556558811,12
1556558814,12
1556558817,12
1556558820,12
1556558823,12
1556558826,12
1556558829,12
1556558832,12
1556558835,12
1556558838,12
1556558841,12
1556558844,12
1556558847,12
1556558850,12
1556558853,12
1556558856,12
1556558859,12
1556558862,12
1556558865,12
1556558868,12
1556558871,12
1556558874,12
1556558877,12
1556558880,12
1556558883,12
1556558886,12
1556558889,12
1556558892,12
1556558895,12
1556558898,12
1556558901,12
1556558904,12
1556558907,12
1556558910,12
1556558913,12
1556558916,12
1556558919,12
1556558922,12
1556558925,12
1556558928,12
1556558931,12
1556558934,12
1556558937,12
1556558940,12
1556558943,12
1556558946,12
1556558949,12
1556558952,12
1556558955,12
1556558958,12
1556558961,12
1556558964,12
1556558967,12
1556558970,12
1556558973,12
1556558976,12
1556558979,12
1556558982,12
t,value
1556559153,12
1556559156,14
1556559159,14
1556559162,14
1556559165,14
1556559168,14
1556559171,14
1556559174,14
1556559177,14
1556559180,14
1556559183,15
1556559186,15
1556559189,15
1556559192,15
1556559195,15
1556559198,15
1556559201,15
1556559204,15
1556559207,15
1556559210,15
1556559213,15
1556559216,15
1556559219,15
1556559222,15
1556559225,15
1556559228,15
1556559231,15
1556559234,15
1556559237,15
1556559240,15
1556559243,14
1556559246,14
1556559249,14
1556559252,14
1556559255,14
1556559258,14
1556559261,14
1556559264,14
1556559267,14
1556559270,14
1556559273,14
1556559276,14
1556559279,14
1556559282,14
1556559285,14
1556559288,14
1556559291,14
1556559294,14
1556559297,14
1556559300,14
1556559303,14
1556559306,13
1556559309,13
1556559312,13
1556559315,13
1556559318,13
1556559321,13
1556559324,13
1556559327,13
1556559330,13
1556559333,13
1556559336,13
1556559339,13
1556559342,13
1556559345,13
1556559348,13
1556559351,13
1556559354,13
1556559357,13
1556559360,13
1556559363,13
1556559366,12
1556559369,12
1556559372,12
1556559375,12
1556559378,12
1556559381,12
1556559384,12
1556559387,12
1556559390,12
1556559393,12
1556559396,12
1556559399,12
1556559402,12
1556559405,12
1556559408,12
1556559411,12
1556559414,12
1556559417,12
1556559420,12
1556559423,12
1556559426,12
1556559429,12
1556559432,12
1556559435,12
1556559438,12
1556559441,12
1556559444,12
1556559447,12
1556559450,12
1556559453,12
1556559456,12
1556559459,12
1556559462,12
1556559465,12
1556559468,12
1556559471,12
1556559474,12
1556559477,12
1556559480,12
1556559483,12
1556559486,12
1556559489,12
1556559492,12
1556559495,12
1556559498,12
1556559501,12
1556559504,12
1556559507,12
1556559510,12
1556559513,12
1556559516,12
1556559519,12
1556559522,12
1556559525,12
1556559528,12
1556559531,12
1556559534,12
1556559537,12
1556559540,12
1556559543,12
1556559546,12
1556559549,12
1556559552,12
1556559555,12
1556559558,12
1556559561,12
1556559564,12
1556559567,12
1556559570,12
1556559573,12
1556559576,12
1556559579,12
1556559582,12
1556559585,12
1556559588,12
1556559591,12
1556559594,12
1556559597,12
1556559600,12
1556559603,12
1556559606,12
1556559609,12
1556559612,12
1556559615,12
1556559618,12
1556559621,12
1556559624,12
1556559627,12
1556559630,12
1556559633,12
1556559636,12
1556559639,12
1556559642,12
1556559645,12
1556559648,12
1556559651,12
1556559654,12
1556559657,12
1556559660,12
1556559663,12
1556559666,12
1556559669,12
1556559672,12
1556559675,12
1556559678,12
1556559681,12
1556559684,12
1556559687,12
1556559690,12
1556559693,12
1556559696,12
1556559699,12
1556559702,12
1556559705,12
1556559708,12
1556559711,12
1556559714,12
1556559717,12
1556559720,12
1556559723,12
1556559726,12
1556559729,12
1556559732,12
1556559735,12
1556559738,12
1556559741,12
1556559744,12
1556559747,12
1556559750,12
1556559753,12
1556559756,12
1556559759,12
1556559762,12
1556559765,12
1556559768,12
1556559771,12
1556559774,12
1556559777,12
1556559780,12
1556559783,12
1556559786,12
1556559789,12
1556559792,12
1556559795,12
1556559798,12
1556559801,12
1556559804,12
1556559807,12
1556559810,12
1556559813,12
1556559816,12
1556559819,12
1556559822,12
1556559825,12
1556559828,12
1556559831,12
1556559834,12
1556559837,12
1556559840,12
1556559843,12
1556559846,12
1556559849,12
1556559852,12
1556559855,12
1556559858,12
1556559861,12
1556559864,12
1556559867,12
1556559870,12
1556559873,12
1556559876,12
1556559879,12
1556559882,12
1556559885,12
1556559888,12
1556559891,12
1556559894,12
1556559897,12
1556559900,12
1556559903,12
1556559906,12
1556559909,12
1556559912,12
1556559915,12
1556559918,12
1556559921,12
1556559924,12
1556559927,12
1556559930,12
1556559933,12
1556559936,12
1556559939,12
1556559942,12
1556559945,12
1556559948,12
1556559951,12
1556559954,12
1556559957,12
1556559960,12
1556559963,12
1556559966,12
1556559969,12
1556559972,12
1556559975,12
1556559978,12
1556559981,12
1556559984,12
1556559987,12
1556559990,12
1556559993,12
1556559996,12
1556559999,12
1556560002,12
1556560005,12
1556560008,12
1556560011,12
1556560014,12
1556560017,12
1556560020,12
1556560023,12
1556560026,12
1556560029,12
1556560032,12
1556560035,12
1556560038,12
1556560041,12
1556560044,12
1556560047,12
1556560050,12
1556560053,12
1556560056,12
1556560059,12
1556560062,12
1556560065,12
1556560068,12
1556560071,12
1556560074,12
1556560077,12
1556560080,12
1556560083,12
1556560086,12
1556560089,12
1556560092,12
1556560095,12
1556560098,12
1556560101,12
1556560104,12
1556560107,12
1556560110,12
1556560113,12
1556560116,12
1556560119,12
1556560122,12
1556560125,12
1556560128,12
1556560131,12
1556560134,12
1556560137,12
1556560140,12
1556560143,12
1556560146,12
1556560149,12
1556560152,12
1556560155,12
1556560158,12
1556560161,12
1556560164,12
1556560167,12
1556560170,12
1556560173,12
1556560176,12
1556560179,12
1556560182,12
1556560185,12
1556560188,12
1556560191,12
1556560194,12
1556560197,12
1556560200,12
1556560203,12
1556560206,12
1556560209,12
1556560212,12
1556560215,12
1556560218,12
1556560221,12
1556560224,12
1556560227,12
1556560230,12
1556560233,12
1556560236,12
1556560239,12
1556560242,12
1556560245,12
1556560248,12
1556560251,12
1556560254,12
1556560257,12
1556560260,12
1556560263,12
1556560266,12
1556560269,12
1556560272,12
1556560275,12
1556560278,12
1556560281,12
1556560284,12
1556560287,12
1556560290,12
1556560293,12
1556560296,12
1556560299,12
1556560302,12
1556560305,12
1556560308,12
1556560311,12
1556560314,12
1556560317,12
1556560320,12
1556560323,12
1556560326,12
1556560329,12
1556560332,12
1556560335,12
1556560338,12
1556560341,12
1556560344,12
1556560347,12
1556560350,12
1556560353,12
1556560356,12
1556560359,12
1556560362,12
1556560365,12
1556560368,12
1556560371,12
1556560374,12
1556560377,12
1556560380,12
1556560383,12
1556560386,12
1556560389,12
1556560392,12
1556560395,12
1556560398,12
1556560401,12
1556560404,12
1556560407,12
1556560410,12
1556560413,12
1556560416,12
1556560419,12
1556560422,12
1556560425,12
1556560428,12
1556560431,12
1556560434,12
1556560437,12
1556560440,12
1556560443,12
1556560446,12
1556560449,12
1556560452,12
1556560455,12
1556560458,12
1556560461,12
1556560464,12
1556560467,12
1556560470,12
1556560473,12
1556560476,12
1556560479,12
1556560482,12
1556560485,12
1556560488,12
1556560491,12
1556560494,12
1556560497,12
1556560500,12
1556560503,12
1556560506,12
1556560509,12
1556560512,12
1556560515,12
1556560518,12
1556560521,12
1556560524,12
1556560527,12
1556560530,12
1556560533,12
1556560536,12
1556560539,12
1556560542,12
1556560545,12
1556560548,12
1556560551,12
1556560554,12
1556560557,12
1556560560,12
1556560563,12
1556560566,12
1556560569,12
1556560572,12
1556560575,12
1556560578,12
1556560581,12
1556560584,12
1556560587,12
1556560590,12
1556560593,12
1556560596,12
1556560599,12
1556560602,12
1556560605,12
1556560608,12
1556560611,12
1556560614,12
1556560617,12
1556560620,12
1556560623,12
1556560626,12
1556560629,12
1556560632,12
1556560635,12
1556560638,12
1556560641,12
1556560644,12
1556560647,12
1556560650,12
1556560653,12
1556560656,12
1556560659,12
1556560662,12
1556560665,12
1556560668,12
1556560671,12
1556560674,12
1556560677,12
1556560680,12
1556560683,12
1556560686,12
1556560689,12
1556560692,12
1556560695,12
1556560698,12
1556560701,12
1556560704,12
1556560707,12
1556560710,12
1556560713,12
1556560716,12
1556560719,12
1556560722,12
1556560725,12
1556560728,12
1556560731,12
1556560734,12
1556560737,12
1556560740,12
1556560743,12
1556560746,12
1556560749,12
1556560752,12
1556560755,12
1556560758,12
1556560761,12
1556560764,12
1556560767,12
1556560770,12
1556560773,12
1556560776,12
1556560779,12
1556560782,12
