t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558040,0,0.000000,0.000000,0.000000,0.000000,events/second
1556558043,1,0.166384,0.000000,0.000000,0.000000,events/second
1556558046,1,0.111013,0.000000,0.000000,0.000000,events/second
1556558049,1,0.083269,0.000000,0.000000,0.000000,events/second
1556558052,1,0.066611,0.000000,0.000000,0.000000,events/second
1556558055,1,0.055519,0.000000,0.000000,0.000000,events/second
1556558058,1,0.047600,0.000000,0.000000,0.000000,events/second
1556558061,1,0.041642,0.000000,0.000000,0.000000,events/second
1556558064,1,0.037026,0.000000,0.000000,0.000000,events/second
1556558067,1,0.033323,0.000000,0.000000,0.000000,events/second
1556558070,1,0.030297,0.000000,0.000000,0.000000,events/second
1556558073,1,0.027772,0.000000,0.000000,0.000000,events/second
1556558076,1,0.025636,0.000000,0.000000,0.000000,events/second
1556558079,1,0.023805,0.000000,0.000000,0.000000,events/second
1556558082,1,0.022218,0.000000,0.000000,0.000000,events/second
1556558085,1,0.020830,0.000000,0.000000,0.000000,events/second
1556558088,1,0.019604,0.000000,0.000000,0.000000,events/second
1556558091,1,0.018516,0.000000,0.000000,0.000000,events/second
1556558094,1,0.017541,0.000000,0.000000,0.000000,events/second
1556558097,1,0.016665,0.000000,0.000000,0.000000,events/second
1556558100,1,0.015870,0.000000,0.000000,0.000000,events/second
1556558103,1,0.015149,0.000000,0.000000,0.000000,events/second
1556558106,1,0.014491,0.000000,0.000000,0.000000,events/second
1556558109,1,0.013887,0.000000,0.000000,0.000000,events/second
1556558112,1,0.013332,0.000000,0.000000,0.000000,events/second
1556558115,1,0.012820,0.000000,0.000000,0.000000,events/second
1556558118,1,0.012344,0.000000,0.000000,0.000000,events/second
1556558121,1,0.011903,0.000000,0.000000,0.000000,events/second
1556558124,1,0.011493,0.000000,0.000000,0.000000,events/second
1556558127,1,0.011110,0.000000,0.000000,0.000000,events/second
1556558130,1,0.010752,0.000000,0.000000,0.000000,events/second
1556558133,1,0.010416,0.000000,0.000000,0.000000,events/second
1556558136,1,0.010100,0.000000,0.000000,0.000000,events/second
1556558139,1,0.009803,0.000000,0.000000,0.000000,events/second
1556558142,1,0.009523,0.000000,0.000000,0.000000,events/second
1556558145,1,0.009259,0.000000,0.000000,0.000000,events/second
1556558148,1,0.009009,0.000000,0.000000,0.000000,events/second
1556558151,1,0.008771,0.000000,0.000000,0.000000,events/second
1556558154,1,0.008546,0.000000,0.000000,0.000000,events/second
1556558157,1,0.008333,0.000000,0.000000,0.000000,events/second
1556558160,1,0.008130,0.000000,0.000000,0.000000,events/second
1556558163,1,0.007936,0.000000,0.000000,0.000000,events/second
1556558166,1,0.007752,0.000000,0.000000,0.000000,events/second
1556558169,1,0.007575,0.000000,0.000000,0.000000,events/second
1556558172,10,0.074065,0.000000,0.000000,0.000000,events/second
1556558175,12,0.086948,0.000000,0.000000,0.000000,events/second
1556558178,12,0.085095,0.000000,0.000000,0.000000,events/second
1556558181,12,0.083328,0.000000,0.000000,0.000000,events/second
1556558184,12,0.081630,0.000000,0.000000,0.000000,events/second
1556558187,12,0.079996,0.000000,0.000000,0.000000,events/second
1556558190,12,0.078426,0.000000,0.000000,0.000000,events/second
1556558193,15,0.096152,0.000000,0.000000,0.000000,events/second
1556558196,15,0.094338,0.000000,0.000000,0.000000,events/second
1556558199,17,0.104934,0.000000,0.000000,0.000000,events/second
1556558202,17,0.103026,0.000000,0.000000,0.000000,events/second
1556558205,17,0.101188,0.000000,0.000000,0.000000,events/second
1556558208,17,0.099412,0.000000,0.000000,0.000000,events/second
1556558211,17,0.097699,0.000000,0.000000,0.000000,events/second
1556558214,20,0.112992,0.000000,0.000000,0.000000,events/second
1556558217,20,0.111108,0.000000,0.000000,0.000000,events/second
1556558220,20,0.109286,0.000000,0.000000,0.000000,events/second
1556558223,20,0.107522,0.000000,0.000000,0.000000,events/second
1556558226,20,0.105818,0.000000,0.000000,0.000000,events/second
1556558229,20,0.104165,0.000000,0.000000,0.000000,events/second
1556558232,23,0.117944,0.000000,0.000000,0.000000,events/second
1556558235,23,0.116159,0.000000,0.000000,0.000000,events/second
1556558238,23,0.114425,0.000000,0.000000,0.000000,events/second
1556558241,23,0.112742,0.000000,0.000000,0.000000,events/second
1556558244,23,0.111106,0.000000,0.000000,0.000000,events/second
1556558247,25,0.119045,0.000000,0.000000,0.000000,events/second
1556558250,25,0.117369,0.000000,0.000000,0.000000,events/second
1556558253,28,0.129628,0.000000,0.000000,0.000000,events/second
