t,value
1556558040,96052
1556558043,96052
1556558046,96052
1556558049,96052
1556558052,96052
1556558055,133353
1556558058,133353
1556558061,133353
1556558064,133353
1556558067,133353
1556558070,133353
1556558073,149737
1556558076,149737
1556558079,149737
1556558082,149737
1556558085,149737
1556558088,149737
1556558091,149737
1556558094,149737
1556558097,149737
1556558100,149737
1556558103,149737
1556558106,149737
1556558109,149737
1556558112,149737
1556558115,149737
1556558118,149737
1556558121,149737
1556558124,149737
1556558127,149737
1556558130,149737
1556558133,149737
1556558136,149737
1556558139,149737
1556558142,149737
1556558145,149737
1556558148,149737
1556558151,149737
1556558154,149737
1556558157,149737
1556558160,149737
1556558163,149737
1556558166,149737
1556558169,149737
1556558172,149737
1556558175,149737
1556558178,149737
1556558181,149737
1556558184,149737
1556558187,149737
1556558190,149737
1556558193,149737
1556558196,149737
1556558199,149737
1556558202,149737
1556558205,149737
1556558208,149737
1556558211,149737
1556558214,149737
1556558217,149737
1556558220,149737
1556558223,149737
1556558226,149737
1556558229,149737
1556558232,149737
1556558235,149737
1556558238,149737
1556558241,149737
1556558244,149737
1556558247,141545
1556558250,141545
1556558253,141545
1556558256,141545
1556558259,141545
1556558262,141545
1556558265,141545
1556558268,141545
1556558271,141545
1556558274,141545
1556558277,174379
1556558280,176592
1556558283,176592
1556558286,176592
1556558289,176592
1556558292,176592
1556558295,176592
1556558298,176592
1556558301,176592
1556558304,176592
1556558307,176592
1556558310,176592
1556558313,176592
1556558316,176592
1556558319,176592
1556558322,176592
1556558325,176592
1556558328,176592
1556558331,176592
1556558334,176592
1556558337,176592
1556558340,176592
1556558343,176592
1556558346,176592
1556558349,176592
1556558352,176592
1556558355,176592
1556558358,176592
1556558361,176592
1556558364,176592
1556558367,176592
1556558370,176592
1556558373,176592
1556558376,176592
1556558379,176592
1556558382,176592
1556558385,176592
1556558388,176592
1556558391,176592
1556558394,176592
1556558397,176592
1556558400,176592
1556558403,176592
1556558406,176592
1556558409,176592
1556558412,176592
1556558415,176592
1556558418,160015
1556558421,160015
1556558424,160015
1556558427,160015
1556558430,160015
1556558433,160015
1556558436,160015
1556558439,160015
1556558442,160015
1556558445,160015
1556558448,160015
1556558451,160015
1556558454,160015
1556558457,160015
1556558460,160015
1556558463,160015
1556558466,160015
1556558469,160015
1556558472,160015
1556558475,160015
1556558478,160015
1556558481,160015
1556558484,160015
1556558487,160015
1556558490,160015
1556558493,160015
1556558496,160015
1556558499,160015
1556558502,160015
1556558505,160015
1556558508,160015
1556558511,160015
1556558514,160015
1556558517,160015
1556558520,160015
1556558523,160015
1556558526,160015
1556558529,160015
1556558532,160015
1556558535,160015
1556558538,160015
1556558541,160015
1556558544,160015
1556558547,160015
1556558550,160015
1556558553,160015
1556558556,160015
1556558559,160015
1556558562,160015
1556558565,160015
1556558568,160015
1556558571,160015
1556558574,160015
1556558577,160015
1556558580,160015
1556558583,160015
1556558586,160015
1556558589,160015
1556558592,160015
1556558595,160015
1556558598,160015
1556558601,160015
1556558604,160015
1556558607,160015
1556558610,160015
1556558613,160242
1556558616,217166
1556558619,217166
1556558622,217166
1556558625,217166
1556558628,217166
1556558631,217166
1556558634,217166
1556558637,217166
1556558640,217166
1556558643,217166
1556558646,217166
1556558649,217166
1556558652,217166
1556558655,217166
1556558658,217166
1556558661,217166
1556558664,217166
1556558667,217166
1556558670,217166
1556558673,217166
1556558676,217166
1556558679,217166
1556558682,217166
1556558685,217166
1556558688,217166
1556558691,217166
1556558694,217166
1556558697,217166
1556558700,217166
1556558703,217166
1556558706,217166
1556558709,217166
1556558712,217166
1556558715,217166
1556558718,217166
1556558721,217166
1556558724,217166
1556558727,217166
1556558730,217166
1556558733,217166
1556558736,217166
1556558739,217166
1556558742,217166
1556558745,217166
1556558748,217166
1556558751,217166
1556558754,217166
1556558757,217166
1556558760,217166
1556558763,217166
1556558766,217166
1556558769,217166
1556558772,217166
1556558775,217166
1556558778,217166
1556558781,217166
1556558784,217166
1556558787,217166
1556558790,217166
1556558793,217166
1556558796,217166
1556558799,217166
1556558802,217166
1556558805,217166
1556558808,217166
1556558811,217166
1556558814,217166
1556558817,217166
1556558820,217166
1556558823,217166
1556558826,217166
1556558829,217166
1556558832,217166
1556558835,217166
1556558838,217166
1556558841,217166
1556558844,217166
1556558847,217166
1556558850,217166
1556558853,217166
1556558856,217166
1556558859,217166
1556558862,217166
1556558865,217166
1556558868,217166
1556558871,217166
1556558874,217166
1556558877,217166
1556558880,217166
1556558883,217166
1556558886,217166
1556558889,217166
1556558892,217184
1556558895,217184
1556558898,217184
1556558901,217184
1556558904,217184
1556558907,217184
1556558910,217184
1556558913,217184
1556558916,217184
1556558919,217184
1556558922,217184
1556558925,217184
1556558928,217184
1556558931,217184
