t,value
1556558040,96053
1556558043,96053
1556558046,96053
1556558049,96053
1556558052,96053
1556558055,133354
1556558058,133354
1556558061,133354
1556558064,133354
1556558067,133354
1556558070,133354
1556558073,149738
1556558076,149738
1556558079,149738
1556558082,149738
1556558085,149738
1556558088,149738
1556558091,149738
1556558094,149738
1556558097,149738
1556558100,149738
1556558103,149738
1556558106,149738
1556558109,149738
1556558112,149738
1556558115,149738
1556558118,149738
1556558121,149738
1556558124,149738
1556558127,149738
1556558130,149738
1556558133,149738
1556558136,149738
1556558139,149738
1556558142,149738
1556558145,149738
1556558148,149738
1556558151,149738
1556558154,149738
1556558157,149738
1556558160,149738
1556558163,149738
1556558166,149738
1556558169,149738
1556558172,149738
1556558175,149738
1556558178,149738
1556558181,149738
1556558184,149738
1556558187,149738
1556558190,149738
1556558193,149738
1556558196,149738
1556558199,149738
1556558202,149738
1556558205,149738
1556558208,149738
1556558211,149738
1556558214,149738
1556558217,149738
1556558220,149738
1556558223,149738
1556558226,149738
1556558229,149738
1556558232,149738
1556558235,149738
1556558238,149738
1556558241,149738
1556558244,149738
1556558247,141546
1556558250,141546
1556558253,141546
1556558256,141546
1556558259,141546
1556558262,141546
1556558265,141546
1556558268,141546
1556558271,141546
1556558274,141546
1556558277,174380
1556558280,176593
1556558283,176593
1556558286,176593
1556558289,176593
1556558292,176593
1556558295,176593
1556558298,176593
1556558301,176593
1556558304,176593
1556558307,176593
1556558310,176593
1556558313,176593
1556558316,176593
1556558319,176593
1556558322,176593
1556558325,176593
1556558328,176593
1556558331,176593
1556558334,176593
1556558337,176593
1556558340,176593
1556558343,176593
1556558346,176593
1556558349,176593
1556558352,176593
1556558355,176593
1556558358,176593
1556558361,176593
1556558364,176593
1556558367,176593
1556558370,176593
1556558373,176593
1556558376,176593
1556558379,176593
1556558382,176593
1556558385,176593
1556558388,176593
1556558391,176593
1556558394,176593
1556558397,176593
1556558400,176593
1556558403,176593
1556558406,176593
1556558409,176593
1556558412,176593
1556558415,176593
1556558418,160016
1556558421,160016
1556558424,160016
1556558427,160016
1556558430,160016
1556558433,160016
1556558436,160016
1556558439,160016
1556558442,160016
1556558445,160016
1556558448,160016
1556558451,160016
1556558454,160016
1556558457,160016
1556558460,160016
1556558463,160016
1556558466,160016
1556558469,160016
1556558472,160016
1556558475,160016
1556558478,160016
1556558481,160016
1556558484,160016
1556558487,160016
1556558490,160016
1556558493,160016
1556558496,160016
1556558499,160016
1556558502,160016
1556558505,160016
1556558508,160016
1556558511,160016
1556558514,160016
1556558517,160016
1556558520,160016
1556558523,160016
1556558526,160016
1556558529,160016
1556558532,160016
1556558535,160016
1556558538,160016
1556558541,160016
1556558544,160016
1556558547,160016
1556558550,160016
1556558553,160016
1556558556,160016
1556558559,160016
1556558562,160016
1556558565,160016
1556558568,160016
1556558571,160016
1556558574,160016
1556558577,160016
1556558580,160016
1556558583,160016
1556558586,160016
1556558589,160016
1556558592,160016
1556558595,160016
1556558598,160016
1556558601,160016
1556558604,160016
1556558607,160016
1556558610,160016
1556558613,160243
1556558616,217167
1556558619,217167
1556558622,217167
1556558625,217167
1556558628,217167
1556558631,217167
1556558634,217167
1556558637,217167
1556558640,217167
1556558643,217167
1556558646,217167
1556558649,217167
1556558652,217167
1556558655,217167
1556558658,217167
1556558661,217167
1556558664,217167
1556558667,217167
1556558670,217167
1556558673,217167
1556558676,217167
1556558679,217167
1556558682,217167
1556558685,217167
1556558688,217167
1556558691,217167
1556558694,217167
1556558697,217167
1556558700,217167
1556558703,217167
1556558706,217167
1556558709,217167
1556558712,217167
1556558715,217167
1556558718,217167
1556558721,217167
1556558724,217167
1556558727,217167
1556558730,217167
1556558733,217167
1556558736,217167
1556558739,217167
1556558742,217167
1556558745,217167
1556558748,217167
1556558751,217167
1556558754,217167
1556558757,217167
1556558760,217167
1556558763,217167
1556558766,217167
1556558769,217167
1556558772,217167
1556558775,217167
1556558778,217167
1556558781,217167
1556558784,217167
1556558787,217167
1556558790,217167
1556558793,217167
1556558796,217167
1556558799,217167
1556558802,217167
1556558805,217167
1556558808,217167
1556558811,217167
1556558814,217167
1556558817,217167
1556558820,217167
1556558823,217167
1556558826,217167
1556558829,217167
1556558832,217167
1556558835,217167
1556558838,217167
1556558841,217167
1556558844,217167
1556558847,217167
1556558850,217167
1556558853,217167
1556558856,217167
1556558859,217167
1556558862,217167
1556558865,217167
1556558868,217167
1556558871,217167
1556558874,217167
1556558877,217167
1556558880,217167
1556558883,217167
1556558886,217167
1556558889,217167
1556558892,217185
1556558895,217185
1556558898,217185
1556558901,217185
1556558904,217185
1556558907,217185
1556558910,217185
1556558913,217185
1556558916,217185
1556558919,217185
1556558922,217185
1556558925,217185
1556558928,217185
1556558931,217185
1556558934,217185
1556558937,217185
1556558940,217185
1556558943,217185
1556558946,217185
1556558949,217185
1556558952,217185
1556558955,217185
1556558958,217185
1556558961,217185
1556558964,217185
1556558967,217185
1556558970,217185
1556558973,217185
1556558976,217185
1556558979,217185
1556558982,217185
t,value
1556559153,91925
1556559156,111397
1556559159,111397
1556559162,111397
1556559165,111397
1556559168,111441
1556559171,111441
1556559174,111441
1556559177,111441
1556559180,111441
1556559183,127825
1556559186,136017
1556559189,136017
1556559192,136017
1556559195,136017
1556559198,136017
1556559201,136017
1556559204,136017
1556559207,136017
1556559210,136017
1556559213,136017
1556559216,136017
1556559219,136017
1556559222,136017
1556559225,168851
1556559228,171020
1556559231,171020
1556559234,171020
1556559237,171020
1556559240,171020
1556559243,171020
1556559246,171020
1556559249,171020
1556559252,171020
1556559255,171020
1556559258,171020
1556559261,171020
1556559264,171020
1556559267,171020
1556559270,171020
1556559273,171020
1556559276,171020
1556559279,171020
1556559282,171020
1556559285,171020
1556559288,171020
1556559291,171020
1556559294,171020
1556559297,171020
1556559300,171020
1556559303,171020
1556559306,171020
1556559309,171020
1556559312,171020
1556559315,171020
1556559318,171020
1556559321,162828
1556559324,162828
1556559327,162828
1556559330,162828
