t,value
1556558040,15728640
1556558043,20971520
1556558046,20971520
1556558049,20971520
1556558052,20971520
1556558055,20971520
1556558058,20971520
1556558061,20971520
1556558064,20971520
1556558067,20971520
1556558070,20971520
1556558073,20971520
1556558076,20971520
1556558079,20971520
1556558082,20971520
1556558085,20971520
1556558088,20971520
1556558091,20971520
1556558094,20971520
1556558097,20971520
1556558100,20971520
1556558103,20971520
1556558106,20971520
1556558109,20971520
1556558112,20971520
1556558115,20971520
1556558118,20971520
1556558121,20971520
1556558124,20971520
1556558127,20971520
1556558130,20971520
1556558133,20971520
1556558136,20971520
1556558139,20971520
1556558142,20971520
1556558145,20971520
1556558148,20971520
1556558151,17825792
1556558154,17825792
1556558157,17825792
1556558160,17825792
1556558163,17825792
1556558166,17825792
1556558169,17825792
1556558172,17825792
1556558175,17825792
1556558178,17825792
1556558181,17825792
1556558184,17825792
1556558187,17825792
1556558190,17825792
1556558193,17825792
1556558196,17825792
1556558199,17825792
1556558202,17825792
1556558205,17825792
1556558208,17825792
1556558211,17825792
1556558214,17825792
1556558217,17825792
1556558220,17825792
1556558223,17825792
1556558226,17825792
1556558229,17825792
1556558232,17825792
1556558235,17825792
1556558238,17825792
1556558241,17825792
1556558244,17825792
1556558247,20971520
1556558250,20971520
1556558253,20971520
1556558256,20971520
1556558259,20971520
1556558262,20971520
1556558265,20971520
1556558268,20971520
1556558271,20971520
1556558274,20971520
1556558277,20971520
1556558280,20971520
1556558283,20971520
1556558286,20971520
1556558289,20971520
1556558292,20971520
1556558295,20971520
1556558298,20971520
1556558301,20971520
1556558304,20971520
1556558307,20971520
1556558310,20971520
1556558313,20971520
1556558316,20971520
1556558319,20971520
1556558322,20971520
1556558325,20971520
1556558328,20971520
1556558331,20971520
1556558334,20971520
1556558337,20971520
1556558340,20971520
1556558343,20971520
1556558346,20971520
1556558349,20971520
1556558352,20971520
1556558355,20971520
1556558358,20971520
1556558361,20971520
1556558364,20971520
1556558367,20971520
1556558370,20971520
1556558373,20971520
1556558376,20971520
1556558379,20971520
1556558382,20971520
1556558385,20971520
1556558388,20971520
1556558391,20971520
1556558394,20971520
1556558397,20971520
1556558400,20971520
1556558403,20971520
1556558406,20971520
1556558409,20971520
1556558412,20971520
1556558415,20971520
1556558418,11534336
1556558421,11534336
1556558424,11534336
1556558427,11534336
1556558430,11534336
1556558433,11534336
1556558436,11534336
1556558439,11534336
1556558442,11534336
1556558445,11534336
1556558448,11534336
1556558451,11534336
1556558454,11534336
1556558457,11534336
1556558460,11534336
1556558463,11534336
1556558466,11534336
1556558469,11534336
1556558472,11534336
1556558475,11534336
1556558478,11534336
1556558481,11534336
1556558484,11534336
1556558487,11534336
1556558490,11534336
1556558493,11534336
1556558496,11534336
1556558499,11534336
1556558502,11534336
1556558505,11534336
1556558508,11534336
1556558511,11534336
1556558514,11534336
1556558517,11534336
1556558520,11534336
1556558523,11534336
1556558526,11534336
1556558529,11534336
1556558532,11534336
1556558535,11534336
1556558538,11534336
1556558541,11534336
1556558544,11534336
1556558547,11534336
1556558550,11534336
1556558553,11534336
1556558556,11534336
1556558559,11534336
1556558562,11534336
1556558565,11534336
1556558568,11534336
1556558571,11534336
1556558574,11534336
1556558577,11534336
1556558580,11534336
1556558583,11534336
1556558586,11534336
1556558589,11534336
1556558592,11534336
1556558595,11534336
1556558598,11534336
1556558601,11534336
1556558604,11534336
1556558607,11534336
1556558610,11534336
1556558613,11534336
1556558616,11534336
1556558619,11534336
1556558622,11534336
1556558625,11534336
1556558628,11534336
1556558631,11534336
1556558634,11534336
1556558637,11534336
1556558640,11534336
1556558643,11534336
1556558646,11534336
1556558649,11534336
1556558652,11534336
1556558655,11534336
1556558658,11534336
1556558661,11534336
1556558664,11534336
1556558667,11534336
1556558670,11534336
1556558673,11534336
1556558676,11534336
1556558679,11534336
1556558682,11534336
1556558685,11534336
1556558688,11534336
1556558691,11534336
1556558694,11534336
1556558697,11534336
1556558700,11534336
1556558703,11534336
1556558706,11534336
1556558709,11534336
1556558712,11534336
1556558715,11534336
1556558718,11534336
1556558721,11534336
1556558724,11534336
1556558727,11534336
1556558730,11534336
1556558733,11534336
1556558736,11534336
1556558739,11534336
1556558742,11534336
1556558745,11534336
1556558748,11534336
1556558751,11534336
1556558754,11534336
1556558757,11534336
1556558760,11534336
1556558763,11534336
1556558766,11534336
1556558769,11534336
1556558772,11534336
1556558775,11534336
1556558778,11534336
1556558781,11534336
1556558784,11534336
1556558787,11534336
1556558790,11534336
1556558793,11534336
1556558796,11534336
1556558799,11534336
1556558802,11534336
1556558805,11534336
1556558808,11534336
1556558811,11534336
1556558814,11534336
1556558817,11534336
1556558820,11534336
1556558823,11534336
1556558826,11534336
1556558829,11534336
1556558832,11534336
1556558835,11534336
1556558838,11534336
1556558841,11534336
1556558844,11534336
1556558847,11534336
1556558850,11534336
1556558853,11534336
1556558856,11534336
1556558859,11534336
1556558862,11534336
1556558865,11534336
1556558868,11534336
1556558871,11534336
1556558874,11534336
1556558877,11534336
1556558880,11534336
1556558883,11534336
1556558886,11534336
1556558889,11534336
1556558892,11534336
1556558895,11534336
1556558898,11534336
1556558901,11534336
1556558904,14680064
1556558907,14680064
1556558910,14680064
1556558913,14680064
1556558916,14680064
1556558919,14680064
1556558922,14680064
1556558925,14680064
1556558928,14680064
1556558931,14680064
1556558934,14680064
1556558937,14680064
1556558940,14680064
1556558943,14680064
1556558946,14680064
1556558949,14680064
1556558952,14680064
1556558955,14680064
1556558958,14680064
1556558961,14680064
1556558964,14680064
1556558967,14680064
1556558970,14680064
1556558973,14680064
1556558976,14680064
1556558979,14680064
1556558982,14680064
t,value
1556559153,20971520
1556559156,20971520
1556559159,20971520
1556559162,20971520
1556559165,20971520
1556559168,20971520
1556559171,20971520
1556559174,20971520
1556559177,20971520
1556559180,20971520
1556559183,20971520
1556559186,20971520
1556559189,20971520
1556559192,20971520
1556559195,20971520
1556559198,20971520
1556559201,20971520
1556559204,20971520
1556559207,20971520
1556559210,20971520
1556559213,20971520
1556559216,20971520
1556559219,20971520
1556559222,20971520
1556559225,20971520
1556559228,20971520
1556559231,20971520
1556559234,20971520
1556559237,20971520
1556559240,20971520
1556559243,20971520
1556559246,20971520
1556559249,20971520
1556559252,20971520
1556559255,20971520
1556559258,20971520
1556559261,20971520
1556559264,20971520
1556559267,20971520
1556559270,20971520
1556559273,20971520
1556559276,20971520
1556559279,20971520
1556559282,20971520
1556559285,20971520
1556559288,20971520
1556559291,20971520
1556559294,20971520
1556559297,20971520
1556559300,20971520
1556559303,20971520
1556559306,20971520
1556559309,20971520
1556559312,20971520
1556559315,20971520
1556559318,20971520
1556559321,14680064
1556559324,14680064
1556559327,14680064
1556559330,14680064
1556559333,14680064
1556559336,14680064
1556559339,14680064
1556559342,14680064
1556559345,14680064
1556559348,14680064
1556559351,14680064
1556559354,14680064
1556559357,14680064
1556559360,14680064
1556559363,14680064
1556559366,14680064
1556559369,14680064
1556559372,14680064
1556559375,14680064
1556559378,14680064
1556559381,14680064
1556559384,14680064
1556559387,14680064
1556559390,14680064
1556559393,14680064
1556559396,14680064
1556559399,14680064
1556559402,14680064
1556559405,14680064
1556559408,14680064
1556559411,14680064
1556559414,14680064
1556559417,14680064
1556559420,14680064
1556559423,14680064
1556559426,14680064
1556559429,14680064
1556559432,14680064
1556559435,14680064
1556559438,14680064
1556559441,14680064
1556559444,14680064
1556559447,14680064
1556559450,14680064
1556559453,14680064
1556559456,14680064
1556559459,14680064
1556559462,14680064
1556559465,14680064
1556559468,14680064
1556559471,14680064
1556559474,14680064
1556559477,14680064
1556559480,14680064
1556559483,14680064
1556559486,14680064
1556559489,14680064
1556559492,14680064
1556559495,14680064
1556559498,14680064
1556559501,14680064
1556559504,14680064
1556559507,14680064
1556559510,14680064
1556559513,14680064
1556559516,14680064
1556559519,14680064
1556559522,14680064
1556559525,14680064
1556559528,14680064
1556559531,14680064
1556559534,14680064
1556559537,14680064
1556559540,14680064
1556559543,14680064
1556559546,14680064
1556559549,14680064
1556559552,14680064
1556559555,14680064
1556559558,14680064
1556559561,14680064
1556559564,14680064
1556559567,8388608
1556559570,8388608
1556559573,8388608
1556559576,8388608
1556559579,8388608
1556559582,8388608
1556559585,8388608
1556559588,8388608
1556559591,8388608
1556559594,8388608
1556559597,8388608
1556559600,8388608
1556559603,8388608
1556559606,8388608
1556559609,8388608
1556559612,8388608
1556559615,8388608
1556559618,8388608
1556559621,8388608
1556559624,8388608
1556559627,8388608
1556559630,8388608
1556559633,8388608
1556559636,8388608
1556559639,8388608
1556559642,8388608
1556559645,8388608
1556559648,8388608
1556559651,8388608
1556559654,8388608
1556559657,8388608
1556559660,8388608
1556559663,8388608
1556559666,8388608
1556559669,8388608
1556559672,8388608
1556559675,8388608
1556559678,8388608
1556559681,8388608
1556559684,8388608
1556559687,8388608
1556559690,8388608
1556559693,8388608
1556559696,8388608
1556559699,8388608
1556559702,8388608
1556559705,8388608
1556559708,8388608
1556559711,8388608
1556559714,8388608
1556559717,8388608
1556559720,8388608
1556559723,8388608
1556559726,8388608
1556559729,8388608
1556559732,8388608
1556559735,8388608
1556559738,8388608
1556559741,8388608
