t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556559138,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559141,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559144,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559147,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559150,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559153,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559156,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559159,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559162,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559165,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559168,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559171,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559174,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559177,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559180,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559183,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559186,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559189,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559192,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559195,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559198,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559201,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559204,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559207,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559210,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559213,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559216,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559219,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559222,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559225,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559228,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559231,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559234,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559237,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559240,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559243,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559246,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559249,4,0.035090,0.000000,0.000000,0.000000,events/second
1556559252,4,0.034190,0.000000,0.000000,0.000000,events/second
1556559255,4,0.033336,0.000000,0.000000,0.000000,events/second
1556559258,4,0.032523,0.000000,0.000000,0.000000,events/second
1556559261,4,0.031748,0.000000,0.000000,0.000000,events/second
1556559264,4,0.031010,0.000000,0.000000,0.000000,events/second
1556559267,4,0.030305,0.000000,0.000000,0.000000,events/second
1556559270,4,0.029631,0.000000,0.000000,0.000000,events/second
1556559273,4,0.028988,0.000000,0.000000,0.000000,events/second
1556559276,4,0.028368,0.000000,0.000000,0.000000,events/second
1556559279,4,0.027778,0.000000,0.000000,0.000000,events/second
1556559282,4,0.027212,0.000000,0.000000,0.000000,events/second
1556559285,4,0.026666,0.000000,0.000000,0.000000,events/second
1556559288,4,0.026144,0.000000,0.000000,0.000000,events/second
1556559291,4,0.025642,0.000000,0.000000,0.000000,events/second
1556559294,4,0.025157,0.000000,0.000000,0.000000,events/second
1556559297,4,0.024691,0.000000,0.000000,0.000000,events/second
1556559300,4,0.024242,0.000000,0.000000,0.000000,events/second
1556559303,4,0.023811,0.000000,0.000000,0.000000,events/second
1556559306,4,0.023392,0.000000,0.000000,0.000000,events/second
1556559309,4,0.022989,0.000000,0.000000,0.000000,events/second
1556559312,4,0.022600,0.000000,0.000000,0.000000,events/second
1556559315,4,0.022223,0.000000,0.000000,0.000000,events/second
1556559318,4,0.021858,0.000000,0.000000,0.000000,events/second
1556559321,4,0.021506,0.000000,0.000000,0.000000,events/second
1556559324,4,0.021165,0.000000,0.000000,0.000000,events/second
1556559327,4,0.020833,0.000000,0.000000,0.000000,events/second
1556559330,4,0.020514,0.000000,0.000000,0.000000,events/second
1556559333,4,0.020203,0.000000,0.000000,0.000000,events/second
1556559336,4,0.019901,0.000000,0.000000,0.000000,events/second
1556559339,4,0.019609,0.000000,0.000000,0.000000,events/second
1556559342,4,0.019325,0.000000,0.000000,0.000000,events/second
1556559345,4,0.019048,0.000000,0.000000,0.000000,events/second
1556559348,4,0.018779,0.000000,0.000000,0.000000,events/second
1556559351,4,0.018519,0.000000,0.000000,0.000000,events/second
1556559354,4,0.018266,0.000000,0.000000,0.000000,events/second
1556559357,4,0.018018,0.000000,0.000000,0.000000,events/second
1556559360,4,0.017779,0.000000,0.000000,0.000000,events/second
1556559363,4,0.017544,0.000000,0.000000,0.000000,events/second
1556559366,4,0.017316,0.000000,0.000000,0.000000,events/second
1556559369,4,0.017095,0.000000,0.000000,0.000000,events/second
1556559372,4,0.016878,0.000000,0.000000,0.000000,events/second
1556559375,4,0.016667,0.000000,0.000000,0.000000,events/second
1556559378,4,0.016461,0.000000,0.000000,0.000000,events/second
1556559381,4,0.016261,0.000000,0.000000,0.000000,events/second
1556559384,4,0.016064,0.000000,0.000000,0.000000,events/second
1556559387,4,0.015874,0.000000,0.000000,0.000000,events/second
1556559390,4,0.015687,0.000000,0.000000,0.000000,events/second
1556559393,4,0.015504,0.000000,0.000000,0.000000,events/second
1556559396,4,0.015326,0.000000,0.000000,0.000000,events/second
1556559399,4,0.015152,0.000000,0.000000,0.000000,events/second
1556559402,4,0.014982,0.000000,0.000000,0.000000,events/second
1556559405,4,0.014815,0.000000,0.000000,0.000000,events/second
1556559408,4,0.014653,0.000000,0.000000,0.000000,events/second
1556559411,4,0.014493,0.000000,0.000000,0.000000,events/second
1556559414,4,0.014337,0.000000,0.000000,0.000000,events/second
1556559417,4,0.014185,0.000000,0.000000,0.000000,events/second
1556559420,4,0.014036,0.000000,0.000000,0.000000,events/second
1556559423,4,0.013889,0.000000,0.000000,0.000000,events/second
1556559426,4,0.013746,0.000000,0.000000,0.000000,events/second
1556559429,4,0.013606,0.000000,0.000000,0.000000,events/second
1556559432,4,0.013468,0.000000,0.000000,0.000000,events/second
1556559435,4,0.013334,0.000000,0.000000,0.000000,events/second
1556559438,4,0.013202,0.000000,0.000000,0.000000,events/second
1556559441,4,0.013072,0.000000,0.000000,0.000000,events/second
1556559444,4,0.012945,0.000000,0.000000,0.000000,events/second
1556559447,4,0.012821,0.000000,0.000000,0.000000,events/second
1556559450,4,0.012699,0.000000,0.000000,0.000000,events/second
1556559453,4,0.012579,0.000000,0.000000,0.000000,events/second
1556559456,4,0.012461,0.000000,0.000000,0.000000,events/second
1556559459,4,0.012346,0.000000,0.000000,0.000000,events/second
