t,value
1556559138,12
1556559141,2
1556559144,2
1556559147,2
1556559150,2
1556559153,2
1556559156,2
1556559159,2
1556559162,2
1556559165,2
1556559168,2
1556559171,2
1556559174,2
1556559177,2
1556559180,2
1556559183,2
1556559186,2
1556559189,2
1556559192,2
1556559195,2
1556559198,2
1556559201,2
1556559204,2
1556559207,2
1556559210,2
1556559213,2
1556559216,2
1556559219,2
1556559222,2
1556559225,2
1556559228,2
1556559231,2
1556559234,2
1556559237,2
1556559240,2
1556559243,2
1556559246,3
1556559249,4
1556559252,4
1556559255,4
1556559258,5
1556559261,5
1556559264,5
1556559267,5
1556559270,5
1556559273,5
1556559276,5
1556559279,5
1556559282,5
1556559285,5
1556559288,5
1556559291,5
1556559294,5
1556559297,5
1556559300,5
1556559303,5
1556559306,5
1556559309,5
1556559312,5
1556559315,5
1556559318,5
1556559321,5
1556559324,5
1556559327,5
1556559330,4
1556559333,4
1556559336,4
1556559339,4
1556559342,5
1556559345,5
1556559348,5
1556559351,5
1556559354,5
1556559357,5
1556559360,5
1556559363,5
1556559366,5
1556559369,5
1556559372,5
1556559375,5
1556559378,5
1556559381,5
1556559384,5
1556559387,5
1556559390,5
1556559393,5
1556559396,5
1556559399,5
1556559402,4
1556559405,3
1556559408,3
1556559411,3
1556559414,3
1556559417,3
1556559420,5
1556559423,5
1556559426,5
1556559429,5
1556559432,5
1556559435,5
1556559438,5
1556559441,5
1556559444,5
1556559447,5
1556559450,5
1556559453,5
1556559456,5
1556559459,5
1556559462,5
1556559465,5
1556559468,5
1556559471,5
1556559474,5
1556559477,5
1556559480,5
1556559483,5
1556559486,5
1556559489,5
1556559492,5
1556559495,5
1556559498,5
1556559501,5
1556559504,5
1556559507,5
1556559510,5
1556559513,5
1556559516,5
1556559519,5
1556559522,5
1556559525,5
1556559528,5
1556559531,5
1556559534,5
1556559537,5
1556559540,4
1556559543,4
1556559546,4
1556559549,4
1556559552,4
1556559555,4
1556559558,4
1556559561,4
1556559564,4
1556559567,4
1556559570,4
1556559573,4
1556559576,4
1556559579,4
1556559582,4
1556559585,4
1556559588,4
1556559591,4
1556559594,4
1556559597,4
1556559600,3
1556559603,3
1556559606,3
1556559609,3
1556559612,3
1556559615,3
1556559618,3
1556559621,3
1556559624,3
1556559627,3
1556559630,3
1556559633,3
1556559636,3
1556559639,3
1556559642,3
1556559645,3
1556559648,3
1556559651,3
1556559654,3
1556559657,3
1556559660,2
1556559663,2
1556559666,2
1556559669,2
1556559672,2
1556559675,2
1556559678,2
1556559681,2
1556559684,2
1556559687,2
1556559690,2
1556559693,2
1556559696,2
1556559699,2
1556559702,2
1556559705,2
1556559708,2
1556559711,2
1556559714,2
1556559717,2
1556559720,2
1556559723,2
1556559726,2
1556559729,2
1556559732,2
1556559735,2
1556559738,2
1556559741,2
1556559744,2
1556559747,2
1556559750,2
1556559753,2
1556559756,2
1556559759,2
1556559762,2
1556559765,2
1556559768,2
1556559771,2
1556559774,2
1556559777,2
1556559780,2
1556559783,2
1556559786,2
1556559789,2
1556559792,2
1556559795,2
1556559798,2
1556559801,2
1556559804,2
1556559807,2
1556559810,2
1556559813,2
1556559816,2
1556559819,2
1556559822,2
1556559825,2
1556559828,2
1556559831,2
1556559834,2
1556559837,2
1556559840,2
1556559843,2
1556559846,2
1556559849,2
1556559852,2
1556559855,2
1556559858,2
1556559861,2
1556559864,2
1556559867,2
1556559870,2
1556559873,2
1556559876,2
1556559879,2
1556559882,2
1556559885,2
1556559888,2
1556559891,2
1556559894,2
1556559897,2
1556559900,2
1556559903,2
1556559906,2
1556559909,2
1556559912,2
1556559915,2
1556559918,2
1556559921,2
1556559924,2
1556559927,2
1556559930,2
1556559933,2
1556559936,2
1556559939,2
1556559942,2
1556559945,2
1556559948,2
1556559951,2
1556559954,2
1556559957,2
1556559960,2
1556559963,2
1556559966,2
1556559969,2
1556559972,2
1556559975,2
1556559978,2
1556559981,2
1556559984,2
1556559987,2
1556559990,2
1556559993,2
1556559996,2
1556559999,2
1556560002,2
1556560005,2
1556560008,2
1556560011,2
1556560014,2
1556560017,2
1556560020,2
1556560023,2
1556560026,2
1556560029,2
1556560032,2
1556560035,2
1556560038,2
1556560041,2
1556560044,2
1556560047,2
