t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556559138,1,0.324598,0.000000,0.000000,0.000000,events/second
1556559141,1,0.166058,0.000000,0.000000,0.000000,events/second
1556559144,1,0.110986,0.000000,0.000000,0.000000,events/second
1556559147,1,0.083238,0.000000,0.000000,0.000000,events/second
1556559150,1,0.066574,0.000000,0.000000,0.000000,events/second
1556559153,1,0.055533,0.000000,0.000000,0.000000,events/second
1556559156,1,0.047581,0.000000,0.000000,0.000000,events/second
1556559159,1,0.041644,0.000000,0.000000,0.000000,events/second
1556559162,1,0.037010,0.000000,0.000000,0.000000,events/second
1556559165,1,0.033325,0.000000,0.000000,0.000000,events/second
1556559168,1,0.030296,0.000000,0.000000,0.000000,events/second
1556559171,1,0.027764,0.000000,0.000000,0.000000,events/second
1556559174,1,0.025636,0.000000,0.000000,0.000000,events/second
1556559177,1,0.023803,0.000000,0.000000,0.000000,events/second
1556559180,1,0.022217,0.000000,0.000000,0.000000,events/second
1556559183,1,0.020827,0.000000,0.000000,0.000000,events/second
1556559186,1,0.019604,0.000000,0.000000,0.000000,events/second
1556559189,1,0.018514,0.000000,0.000000,0.000000,events/second
1556559192,1,0.017542,0.000000,0.000000,0.000000,events/second
1556559195,1,0.016665,0.000000,0.000000,0.000000,events/second
1556559198,1,0.015871,0.000000,0.000000,0.000000,events/second
1556559201,1,0.015149,0.000000,0.000000,0.000000,events/second
1556559204,1,0.014492,0.000000,0.000000,0.000000,events/second
1556559207,1,0.013888,0.000000,0.000000,0.000000,events/second
1556559210,1,0.013331,0.000000,0.000000,0.000000,events/second
1556559213,1,0.012819,0.000000,0.000000,0.000000,events/second
1556559216,1,0.012345,0.000000,0.000000,0.000000,events/second
1556559219,1,0.011904,0.000000,0.000000,0.000000,events/second
1556559222,1,0.011491,0.000000,0.000000,0.000000,events/second
1556559225,1,0.011109,0.000000,0.000000,0.000000,events/second
1556559228,1,0.010752,0.000000,0.000000,0.000000,events/second
1556559231,1,0.010415,0.000000,0.000000,0.000000,events/second
1556559234,1,0.010099,0.000000,0.000000,0.000000,events/second
1556559237,1,0.009802,0.000000,0.000000,0.000000,events/second
1556559240,1,0.009523,0.000000,0.000000,0.000000,events/second
1556559243,1,0.009258,0.000000,0.000000,0.000000,events/second
1556559246,1,0.009007,0.000000,0.000000,0.000000,events/second
1556559249,9,0.078941,0.000000,0.000000,0.000000,events/second
1556559252,9,0.076918,0.000000,0.000000,0.000000,events/second
1556559255,9,0.074995,0.000000,0.000000,0.000000,events/second
1556559258,9,0.073167,0.000000,0.000000,0.000000,events/second
1556559261,9,0.071424,0.000000,0.000000,0.000000,events/second
1556559264,9,0.069764,0.000000,0.000000,0.000000,events/second
1556559267,9,0.068178,0.000000,0.000000,0.000000,events/second
1556559270,12,0.088885,0.000000,0.000000,0.000000,events/second
1556559273,12,0.086952,0.000000,0.000000,0.000000,events/second
1556559276,12,0.085094,0.000000,0.000000,0.000000,events/second
1556559279,12,0.083324,0.000000,0.000000,0.000000,events/second
1556559282,12,0.081629,0.000000,0.000000,0.000000,events/second
1556559285,12,0.079990,0.000000,0.000000,0.000000,events/second
1556559288,14,0.091493,0.000000,0.000000,0.000000,events/second
1556559291,15,0.096150,0.000000,0.000000,0.000000,events/second
1556559294,15,0.094330,0.000000,0.000000,0.000000,events/second
