t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556559138,6,1.945098,0.000000,0.000000,0.000000,events/second
1556559141,6,0.996491,0.000000,0.000000,0.000000,events/second
1556559144,6,0.665973,0.000000,0.000000,0.000000,events/second
1556559147,6,0.499457,0.000000,0.000000,0.000000,events/second
1556559150,6,0.399468,0.000000,0.000000,0.000000,events/second
1556559153,6,0.333214,0.000000,0.000000,0.000000,events/second
1556559156,6,0.285493,0.000000,0.000000,0.000000,events/second
1556559159,6,0.249868,0.000000,0.000000,0.000000,events/second
1556559162,6,0.222069,0.000000,0.000000,0.000000,events/second
1556559165,6,0.199960,0.000000,0.000000,0.000000,events/second
1556559168,6,0.181784,0.000000,0.000000,0.000000,events/second
1556559171,6,0.166586,0.000000,0.000000,0.000000,events/second
1556559174,6,0.153821,0.000000,0.000000,0.000000,events/second
1556559177,6,0.142820,0.000000,0.000000,0.000000,events/second
1556559180,6,0.133306,0.000000,0.000000,0.000000,events/second
1556559183,6,0.124961,0.000000,0.000000,0.000000,events/second
1556559186,6,0.117628,0.000000,0.000000,0.000000,events/second
1556559189,6,0.111084,0.000000,0.000000,0.000000,events/second
1556559192,6,0.105255,0.000000,0.000000,0.000000,events/second
1556559195,6,0.099990,0.000000,0.000000,0.000000,events/second
1556559198,6,0.095229,0.000000,0.000000,0.000000,events/second
1556559201,6,0.090897,0.000000,0.000000,0.000000,events/second
1556559204,6,0.086951,0.000000,0.000000,0.000000,events/second
1556559207,6,0.083330,0.000000,0.000000,0.000000,events/second
1556559210,6,0.079988,0.000000,0.000000,0.000000,events/second
1556559213,6,0.076912,0.000000,0.000000,0.000000,events/second
1556559216,6,0.074068,0.000000,0.000000,0.000000,events/second
1556559219,6,0.071423,0.000000,0.000000,0.000000,events/second
1556559222,6,0.068950,0.000000,0.000000,0.000000,events/second
1556559225,6,0.066654,0.000000,0.000000,0.000000,events/second
1556559228,6,0.064513,0.000000,0.000000,0.000000,events/second
1556559231,6,0.062489,0.000000,0.000000,0.000000,events/second
1556559234,6,0.060597,0.000000,0.000000,0.000000,events/second
1556559237,6,0.058814,0.000000,0.000000,0.000000,events/second
1556559240,6,0.057138,0.000000,0.000000,0.000000,events/second
1556559243,6,0.055549,0.000000,0.000000,0.000000,events/second
1556559246,6,0.054042,0.000000,0.000000,0.000000,events/second
1556559249,6,0.052628,0.000000,0.000000,0.000000,events/second
1556559252,6,0.051279,0.000000,0.000000,0.000000,events/second
1556559255,6,0.049997,0.000000,0.000000,0.000000,events/second
1556559258,6,0.048778,0.000000,0.000000,0.000000,events/second
1556559261,6,0.047616,0.000000,0.000000,0.000000,events/second
1556559264,6,0.046509,0.000000,0.000000,0.000000,events/second
1556559267,6,0.045452,0.000000,0.000000,0.000000,events/second
1556559270,6,0.044443,0.000000,0.000000,0.000000,events/second
1556559273,6,0.043476,0.000000,0.000000,0.000000,events/second
1556559276,6,0.042548,0.000000,0.000000,0.000000,events/second
1556559279,6,0.041662,0.000000,0.000000,0.000000,events/second
1556559282,6,0.040815,0.000000,0.000000,0.000000,events/second
1556559285,6,0.039995,0.000000,0.000000,0.000000,events/second
1556559288,6,0.039212,0.000000,0.000000,0.000000,events/second
1556559291,6,0.038460,0.000000,0.000000,0.000000,events/second
1556559294,6,0.037732,0.000000,0.000000,0.000000,events/second
1556559297,6,0.037033,0.000000,0.000000,0.000000,events/second
1556559300,6,0.036360,0.000000,0.000000,0.000000,events/second
1556559303,6,0.035713,0.000000,0.000000,0.000000,events/second
1556559306,6,0.035085,0.000000,0.000000,0.000000,events/second
1556559309,6,0.034480,0.000000,0.000000,0.000000,events/second
1556559312,6,0.033897,0.000000,0.000000,0.000000,events/second
1556559315,6,0.033332,0.000000,0.000000,0.000000,events/second
1556559318,6,0.032784,0.000000,0.000000,0.000000,events/second
1556559321,6,0.032257,0.000000,0.000000,0.000000,events/second
1556559324,6,0.031745,0.000000,0.000000,0.000000,events/second
1556559327,6,0.031248,0.000000,0.000000,0.000000,events/second
1556559330,6,0.030769,0.000000,0.000000,0.000000,events/second
1556559333,6,0.030302,0.000000,0.000000,0.000000,events/second
1556559336,6,0.029850,0.000000,0.000000,0.000000,events/second
1556559339,6,0.029411,0.000000,0.000000,0.000000,events/second
1556559342,6,0.028985,0.000000,0.000000,0.000000,events/second
1556559345,6,0.028571,0.000000,0.000000,0.000000,events/second
1556559348,6,0.028167,0.000000,0.000000,0.000000,events/second
