t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556559138,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559141,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559144,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559147,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559150,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559153,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559156,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559159,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559162,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559165,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559168,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559171,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559174,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559177,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559180,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559183,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559186,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559189,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559192,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559195,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559198,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559201,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559204,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559207,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559210,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559213,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559216,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559219,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559222,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559225,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559228,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559231,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559234,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559237,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559240,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559243,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559246,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559249,0,0.000000,0.000000,0.000000,0.000000,events/second
1556559252,1,0.008546,0.000000,0.000000,0.000000,events/second
1556559255,1,0.008333,0.000000,0.000000,0.000000,events/second
1556559258,1,0.008130,0.000000,0.000000,0.000000,events/second
1556559261,1,0.007936,0.000000,0.000000,0.000000,events/second
1556559264,1,0.007751,0.000000,0.000000,0.000000,events/second
1556559267,1,0.007575,0.000000,0.000000,0.000000,events/second
1556559270,2,0.014814,0.000000,0.000000,0.000000,events/second
1556559273,2,0.014492,0.000000,0.000000,0.000000,events/second
1556559276,2,0.014182,0.000000,0.000000,0.000000,events/second
1556559279,2,0.013887,0.000000,0.000000,0.000000,events/second
1556559282,2,0.013605,0.000000,0.000000,0.000000,events/second
1556559285,2,0.013332,0.000000,0.000000,0.000000,events/second
1556559288,2,0.013070,0.000000,0.000000,0.000000,events/second
1556559291,3,0.019230,0.000000,0.000000,0.000000,events/second
1556559294,3,0.018866,0.000000,0.000000,0.000000,events/second
1556559297,3,0.018516,0.000000,0.000000,0.000000,events/second
1556559300,3,0.018180,0.000000,0.000000,0.000000,events/second
1556559303,3,0.017857,0.000000,0.000000,0.000000,events/second
1556559306,3,0.017542,0.000000,0.000000,0.000000,events/second
1556559309,3,0.017240,0.000000,0.000000,0.000000,events/second
1556559312,4,0.022598,0.000000,0.000000,0.000000,events/second
1556559315,4,0.022221,0.000000,0.000000,0.000000,events/second
1556559318,4,0.021856,0.000000,0.000000,0.000000,events/second
1556559321,4,0.021505,0.000000,0.000000,0.000000,events/second
1556559324,4,0.021163,0.000000,0.000000,0.000000,events/second
1556559327,4,0.020832,0.000000,0.000000,0.000000,events/second
1556559330,4,0.020512,0.000000,0.000000,0.000000,events/second
1556559333,5,0.025252,0.000000,0.000000,0.000000,events/second
1556559336,5,0.024875,0.000000,0.000000,0.000000,events/second
1556559339,5,0.024509,0.000000,0.000000,0.000000,events/second
1556559342,5,0.024154,0.000000,0.000000,0.000000,events/second
1556559345,5,0.023809,0.000000,0.000000,0.000000,events/second
1556559348,5,0.023472,0.000000,0.000000,0.000000,events/second
1556559351,6,0.027777,0.000000,0.000000,0.000000,events/second
1556559354,6,0.027396,0.000000,0.000000,0.000000,events/second
1556559357,6,0.027026,0.000000,0.000000,0.000000,events/second
1556559360,6,0.026666,0.000000,0.000000,0.000000,events/second
1556559363,6,0.026314,0.000000,0.000000,0.000000,events/second
1556559366,6,0.025972,0.000000,0.000000,0.000000,events/second
1556559369,6,0.025641,0.000000,0.000000,0.000000,events/second
1556559372,7,0.029535,0.000000,0.000000,0.000000,events/second
1556559375,7,0.029166,0.000000,0.000000,0.000000,events/second
1556559378,7,0.028805,0.000000,0.000000,0.000000,events/second
1556559381,7,0.028454,0.000000,0.000000,0.000000,events/second
1556559384,7,0.028111,0.000000,0.000000,0.000000,events/second
1556559387,7,0.027777,0.000000,0.000000,0.000000,events/second
1556559390,7,0.027450,0.000000,0.000000,0.000000,events/second
1556559393,8,0.031007,0.000000,0.000000,0.000000,events/second
1556559396,8,0.030651,0.000000,0.000000,0.000000,events/second
1556559399,8,0.030303,0.000000,0.000000,0.000000,events/second
1556559402,8,0.029962,0.000000,0.000000,0.000000,events/second
1556559405,8,0.029629,0.000000,0.000000,0.000000,events/second
1556559408,8,0.029303,0.000000,0.000000,0.000000,events/second
1556559411,8,0.028985,0.000000,0.000000,0.000000,events/second
1556559414,9,0.032257,0.000000,0.000000,0.000000,events/second
1556559417,9,0.031914,0.000000,0.000000,0.000000,events/second
1556559420,9,0.031578,0.000000,0.000000,0.000000,events/second
1556559423,9,0.031249,0.000000,0.000000,0.000000,events/second
1556559426,9,0.030927,0.000000,0.000000,0.000000,events/second
1556559429,9,0.030612,0.000000,0.000000,0.000000,events/second
1556559432,9,0.030302,0.000000,0.000000,0.000000,events/second
1556559435,10,0.033333,0.000000,0.000000,0.000000,events/second
1556559438,10,0.033003,0.000000,0.000000,0.000000,events/second
1556559441,10,0.032678,0.000000,0.000000,0.000000,events/second
1556559444,10,0.032362,0.000000,0.000000,0.000000,events/second
1556559447,10,0.032050,0.000000,0.000000,0.000000,events/second
1556559450,10,0.031745,0.000000,0.000000,0.000000,events/second
1556559453,10,0.031446,0.000000,0.000000,0.000000,events/second
1556559456,11,0.034267,0.000000,0.000000,0.000000,events/second
1556559459,11,0.033950,0.000000,0.000000,0.000000,events/second
