t,value
1556559138,11060152
1556559141,11327968
1556559144,11327968
1556559147,11327968
1556559150,11327968
1556559153,11327968
1556559156,11328536
1556559159,11328536
1556559162,11329104
1556559165,11330696
1556559168,11339032
1556559171,11339032
1556559174,11341448
1556559177,11341448
1556559180,11341448
1556559183,11341448
1556559186,11341448
1556559189,11341448
1556559192,11341448
1556559195,11342016
1556559198,11342016
1556559201,11342016
1556559204,11342016
1556559207,11342016
1556559210,11342016
1556559213,11342016
1556559216,11342016
1556559219,11342016
1556559222,11342016
1556559225,11342016
1556559228,11342016
1556559231,11342016
1556559234,11342016
1556559237,11342016
1556559240,11342016
1556559243,11342016
1556559246,11489376
1556559249,12642944
1556559252,12648960
1556559255,12648960
1556559258,12650048
1556559261,12650048
1556559264,12650048
1556559267,12650048
1556559270,12652512
1556559273,12652512
1556559276,12652512
1556559279,12652512
1556559282,12652512
1556559285,12652512
1556559288,12652512
1556559291,12652512
1556559294,12652512
1556559297,12652512
1556559300,12652512
1556559303,12652512
1556559306,12652512
1556559309,12654688
1556559312,12655256
1556559315,12655256
1556559318,12655256
1556559321,12655256
1556559324,12655256
1556559327,12655256
1556559330,12655256
1556559333,12655256
1556559336,12655256
1556559339,12655256
1556559342,12655256
1556559345,12655256
1556559348,12655256
1556559351,12655256
1556559354,12655256
1556559357,12655256
1556559360,12655256
1556559363,12655256
1556559366,12655256
1556559369,12655256
1556559372,12655256
1556559375,12655256
1556559378,12655256
1556559381,12655256
1556559384,12655256
1556559387,12668840
1556559390,12668840
1556559393,12668840
1556559396,12668840
1556559399,12668840
1556559402,12670440
1556559405,12670440
1556559408,12671576
1556559411,12671576
1556559414,12671576
1556559417,12671576
1556559420,12671576
1556559423,12671576
1556559426,12671576
1556559429,12671576
1556559432,12671576
1556559435,12672144
1556559438,12672144
1556559441,12672144
1556559444,12672712
1556559447,12672712
1556559450,12672712
1556559453,12672712
1556559456,12672712
1556559459,12672712
1556559462,12672712
1556559465,12672712
1556559468,12672712
1556559471,12672712
1556559474,12672712
1556559477,12672712
1556559480,12672712
1556559483,12672712
1556559486,12672712
1556559489,12672712
1556559492,12672712
1556559495,12672712
1556559498,12672712
1556559501,12672712
1556559504,12672712
1556559507,12672712
1556559510,12672712
1556559513,12672712
1556559516,12672712
1556559519,12673208
1556559522,12673208
1556559525,12673208
1556559528,12673208
1556559531,12673208
