t,value
1556559138,51380224
1556559141,105906176
1556559144,106954752
1556559147,108003328
1556559150,109051904
1556559153,110100480
1556559156,111149056
1556559159,112197632
1556559162,113246208
1556559165,113246208
1556559168,135266304
1556559171,136314880
1556559174,138412032
1556559177,139460608
1556559180,140509184
1556559183,140509184
1556559186,142606336
1556559189,143654912
1556559192,143654912
1556559195,144703488
1556559198,145752064
1556559201,146800640
1556559204,146800640
1556559207,147849216
1556559210,148897792
1556559213,149946368
1556559216,149946368
1556559219,150994944
1556559222,152043520
1556559225,153092096
1556559228,15728640
1556559231,17825792
1556559234,18874368
1556559237,19922944
1556559240,20971520
1556559243,22020096
1556559246,30408704
1556559249,16777216
1556559252,19922944
1556559255,19922944
1556559258,22020096
1556559261,22020096
1556559264,23068672
1556559267,24117248
1556559270,47185920
1556559273,47185920
1556559276,49283072
1556559279,49283072
1556559282,50331648
1556559285,51380224
1556559288,55574528
1556559291,56623104
1556559294,57671680
1556559297,58720256
1556559300,59768832
1556559303,59768832
1556559306,60817408
1556559309,65011712
1556559312,66060288
1556559315,67108864
1556559318,67108864
1556559321,68157440
1556559324,69206016
1556559327,70254592
1556559330,73400320
1556559333,74448896
1556559336,75497472
1556559339,76546048
1556559342,77594624
1556559345,77594624
1556559348,79691776
1556559351,82837504
1556559354,83886080
1556559357,84934656
1556559360,84934656
1556559363,85983232
1556559366,87031808
1556559369,88080384
1556559372,92274688
1556559375,93323264
1556559378,93323264
1556559381,94371840
1556559384,95420416
1556559387,114294784
1556559390,114294784
1556559393,118489088
1556559396,119537664
1556559399,120586240
1556559402,121634816
1556559405,121634816
1556559408,123731968
1556559411,123731968
1556559414,127926272
1556559417,128974848
1556559420,128974848
1556559423,130023424
1556559426,131072000
1556559429,132120576
1556559432,133169152
1556559435,137363456
1556559438,137363456
1556559441,138412032
1556559444,139460608
1556559447,140509184
1556559450,1048576
1556559453,2097152
1556559456,6291456
1556559459,7340032
1556559462,8388608
1556559465,8388608
1556559468,10485760
1556559471,11534336
1556559474,11534336
1556559477,15728640
1556559480,16777216
1556559483,17825792
1556559486,18874368
1556559489,18874368
1556559492,19922944
1556559495,20971520
1556559498,25165824
1556559501,26214400
1556559504,27262976
1556559507,27262976
1556559510,28311552
1556559513,29360128
1556559516,29360128
1556559519,34603008
1556559522,34603008
1556559525,35651584
1556559528,36700160
1556559531,37748736
1556559534,37748736
1556559537,41943040
1556559540,42991616
1556559543,44040192
1556559546,45088768
1556559549,45088768
1556559552,46137344
1556559555,47185920
1556559558,51380224
1556559561,51380224
1556559564,52428800
1556559567,53477376
1556559570,54525952
1556559573,55574528
1556559576,56623104
1556559579,59768832
1556559582,60817408
1556559585,61865984
1556559588,61865984
1556559591,62914560
1556559594,63963136
1556559597,65011712
1556559600,68157440
1556559603,69206016
1556559606,70254592
1556559609,71303168
1556559612,72351744
1556559615,72351744
1556559618,74448896
1556559621,77594624
1556559624,78643200
1556559627,79691776
1556559630,79691776
1556559633,80740352
1556559636,81788928
1556559639,82837504
1556559642,85983232
1556559645,87031808
1556559648,88080384
1556559651,89128960
1556559654,90177536
1556559657,91226112
1556559660,92274688
1556559663,95420416
1556559666,96468992
1556559669,97517568
1556559672,98566144
1556559675,98566144
1556559678,99614720
1556559681,100663296
1556559684,104857600
1556559687,105906176
1556559690,106954752
1556559693,106954752
1556559696,108003328
1556559699,109051904
1556559702,110100480
1556559705,113246208
1556559708,115343360
1556559711,115343360
1556559714,116391936
1556559717,117440512
1556559720,118489088
1556559723,119537664
1556559726,123731968
1556559729,124780544
1556559732,124780544
1556559735,125829120
1556559738,126877696
1556559741,127926272
1556559744,128974848
1556559747,133169152
1556559750,134217728
1556559753,135266304
1556559756,135266304
1556559759,136314880
1556559762,137363456
1556559765,140509184
1556559768,142606336
1556559771,143654912
1556559774,143654912
1556559777,144703488
1556559780,145752064
1556559783,145752064
1556559786,4194304
1556559789,5242880
1556559792,6291456
1556559795,7340032
1556559798,8388608
1556559801,8388608
1556559804,9437184
1556559807,13631488
1556559810,14680064
1556559813,14680064
1556559816,15728640
1556559819,16777216
1556559822,17825792
1556559825,18874368
1556559828,22020096
1556559831,24117248
1556559834,24117248
1556559837,25165824
1556559840,26214400
1556559843,27262976
1556559846,27262976
1556559849,31457280
1556559852,32505856
1556559855,33554432
1556559858,33554432
1556559861,34603008
1556559864,35651584
1556559867,39845888
1556559870,40894464
1556559873,40894464
1556559876,41943040
1556559879,42991616
1556559882,44040192
1556559885,44040192
1556559888,48234496
1556559891,49283072
1556559894,50331648
