t,value
1556559138,52928144
1556559141,52928144
1556559144,52928144
1556559147,52928144
1556559150,52928144
1556559153,52928144
1556559156,52928144
1556559159,52928144
1556559162,52928144
1556559165,52928144
1556559168,52928144
1556559171,52928144
1556559174,52928144
1556559177,52928144
1556559180,52928144
1556559183,52928144
1556559186,52928144
1556559189,52928144
1556559192,52928144
1556559195,52928144
1556559198,52928144
1556559201,52928144
1556559204,52928144
1556559207,52928144
1556559210,52928144
1556559213,52928144
1556559216,52928144
1556559219,52928144
1556559222,52928144
1556559225,52928144
1556559228,52379856
1556559231,52379856
1556559234,52379856
1556559237,52379856
1556559240,52379856
1556559243,52379856
1556559246,52379856
1556559249,52403848
1556559252,52403848
1556559255,52403848
1556559258,52403848
1556559261,52403848
1556559264,52403848
1556559267,52403848
1556559270,52403848
1556559273,52403848
1556559276,52403848
1556559279,52403848
1556559282,52403848
1556559285,52403848
1556559288,52403848
1556559291,52403848
1556559294,52403848
1556559297,52403848
1556559300,52403848
1556559303,52403848
1556559306,52403848
1556559309,52403848
1556559312,52403848
1556559315,52403848
1556559318,52403848
1556559321,52403848
1556559324,52403848
1556559327,52403848
1556559330,52403848
1556559333,52403848
1556559336,52403848
1556559339,52403848
1556559342,52403848
1556559345,52403848
1556559348,52403848
1556559351,52403848
1556559354,52403848
1556559357,52403848
1556559360,52403848
1556559363,52403848
1556559366,52403848
1556559369,52403848
1556559372,52403848
1556559375,52403848
1556559378,52403848
1556559381,52403848
1556559384,52403848
1556559387,52403848
1556559390,52403848
1556559393,52403848
1556559396,52403848
1556559399,52403848
1556559402,52403848
1556559405,52403848
1556559408,52403848
1556559411,52403848
1556559414,52403848
1556559417,52403848
1556559420,52403848
1556559423,52403848
1556559426,52403848
1556559429,52403848
1556559432,52403848
1556559435,52403848
1556559438,52403848
1556559441,52403848
1556559444,52403848
1556559447,52403848
1556559450,52403848
1556559453,52403848
1556559456,52403848
1556559459,52403848
1556559462,52403848
1556559465,52403848
1556559468,52403848
1556559471,52403848
1556559474,52403848
1556559477,52403848
1556559480,52403848
1556559483,52403848
1556559486,52403848
1556559489,52403848
1556559492,52403848
1556559495,52403848
1556559498,52403848
1556559501,52403848
1556559504,52403848
1556559507,52403848
1556559510,52403848
1556559513,52403848
1556559516,52403848
1556559519,52403848
1556559522,52403848
1556559525,52403848
1556559528,52403848
1556559531,52403848
1556559534,52403848
1556559537,52403848
1556559540,52403848
1556559543,52403848
1556559546,52403848
1556559549,52403848
1556559552,52403848
1556559555,52403848
1556559558,52403848
1556559561,52403848
1556559564,52403848
1556559567,52403848
1556559570,52403848
1556559573,52403848
1556559576,52403848
1556559579,52403848
1556559582,52403848
1556559585,52403848
1556559588,52403848
1556559591,52403848
1556559594,52403848
1556559597,52403848
1556559600,52403848
1556559603,52403848
1556559606,52403848
1556559609,52403848
1556559612,52403848
1556559615,52403848
1556559618,52403848
1556559621,52403848
1556559624,52403848
1556559627,52403848
1556559630,52403848
1556559633,52403848
1556559636,52403848
1556559639,52403848
1556559642,52403848
1556559645,52403848
1556559648,52403848
1556559651,52403848
1556559654,52403848
1556559657,52403848
1556559660,52403848
1556559663,52403848
1556559666,52403848
1556559669,52403848
1556559672,52403848
1556559675,52403848
1556559678,52403848
1556559681,52403848
1556559684,52403848
1556559687,52403848
1556559690,52403848
1556559693,52403848
1556559696,52403848
1556559699,52403848
1556559702,52403848
1556559705,52403848
1556559708,52403848
1556559711,52403848
1556559714,52403848
1556559717,52403848
1556559720,52403848
1556559723,52403848
1556559726,52403848
1556559729,52403848
1556559732,52403848
1556559735,52403848
1556559738,52403848
1556559741,52403848
1556559744,52403848
1556559747,52403848
1556559750,52403848
1556559753,52403848
1556559756,52403848
1556559759,52403848
1556559762,52403848
1556559765,52403848
1556559768,52403848
1556559771,52403848
1556559774,52403848
1556559777,52403848
1556559780,52403848
1556559783,52403848
1556559786,52928128
1556559789,52928128
1556559792,52928128
1556559795,52928128
1556559798,52928128
1556559801,52928128
1556559804,52928128
1556559807,52928128
1556559810,52928128
1556559813,52928128
1556559816,52928128
1556559819,52928128
1556559822,52928128
1556559825,52928128
1556559828,52928128
1556559831,52928128
1556559834,52928128
1556559837,52928128
1556559840,52928128
1556559843,52928128
1556559846,52928128
1556559849,52928128
1556559852,52928128
1556559855,52928128
1556559858,52928128
1556559861,52928128
1556559864,52928128
1556559867,52928128
1556559870,52928128
1556559873,52928128
1556559876,52928128
1556559879,52928128
1556559882,52928128
1556559885,52928128
1556559888,52928128
1556559891,52928128
1556559894,52928128
1556559897,52928128
1556559900,52928128
1556559903,52928128
1556559906,52928128
1556559909,52928128
1556559912,52928128
1556559915,52928128
1556559918,52928128
1556559921,52928128
1556559924,52928128
1556559927,52928128
1556559930,52928128
1556559933,52928128
1556559936,52928128
1556559939,52928128
1556559942,52928128
1556559945,52928128
1556559948,52928128
1556559951,52928128
1556559954,52928128
1556559957,52928128
1556559960,52928128
1556559963,52928128
1556559966,52928128
1556559969,52928128
1556559972,52928128
1556559975,52928128
1556559978,52928128
1556559981,52928128
1556559984,52928128
1556559987,52928128
1556559990,52928128
1556559993,52928128
1556559996,52928128
1556559999,52928128
1556560002,52928128
1556560005,52928128
1556560008,52928128
1556560011,52928128
1556560014,52928128
1556560017,52928128
1556560020,52928128
1556560023,52928128
1556560026,52928128
1556560029,52928128
1556560032,52928128
1556560035,52928128
1556560038,52928128
1556560041,52928128
1556560044,52928128
1556560047,52928128
1556560050,52928128
1556560053,52928128
1556560056,52928128
1556560059,52928128
1556560062,52928128
1556560065,52928128
1556560068,52928128
1556560071,52928128
1556560074,52928128
1556560077,52928128
1556560080,52928128
1556560083,52928128
1556560086,52928128
1556560089,52928128
1556560092,52928128
1556560095,52928128
1556560098,52928128
1556560101,52928128
1556560104,52928128
1556560107,52928128
1556560110,52928128
1556560113,52928128
1556560116,52928128
1556560119,52403848
1556560122,52403848
1556560125,52403848
1556560128,52403848
1556560131,52403848
1556560134,52403848
1556560137,52403848
1556560140,52403848
1556560143,52403848
1556560146,52403848
1556560149,52403848
1556560152,52403848
1556560155,52403848
1556560158,52403848
1556560161,52403848
1556560164,52403848
1556560167,52403848
1556560170,52403848
1556560173,52403848
1556560176,52403848
1556560179,52403848
1556560182,52403848
1556560185,52403848
1556560188,52403848
1556560191,52403848
1556560194,52403848
1556560197,52403848
1556560200,52403848
1556560203,52403848
1556560206,52403848
1556560209,52403848
1556560212,52403848
1556560215,52403848
1556560218,52403848
1556560221,52403848
1556560224,52403848
1556560227,52403848
1556560230,52403848
1556560233,52403848
1556560236,52403848
1556560239,52403848
1556560242,52403848
1556560245,52403848
1556560248,52403848
1556560251,52403848
1556560254,52403848
1556560257,52403848
1556560260,52403848
1556560263,52403848
1556560266,52403848
1556560269,52403848
1556560272,52403848
1556560275,52403848
1556560278,52403848
1556560281,52403848
1556560284,52403848
1556560287,52403848
1556560290,52403848
1556560293,52403848
1556560296,52403848
1556560299,52403848
1556560302,52403848
1556560305,52403848
1556560308,52403848
1556560311,52403848
1556560314,52403848
1556560317,52403848
1556560320,52403848
1556560323,52403848
1556560326,52403848
1556560329,52403848
1556560332,52403848
1556560335,52403848
1556560338,52403848
1556560341,52403848
1556560344,52403848
1556560347,52403848
1556560350,52403848
1556560353,52403848
