t,value
1556559138,93
1556559141,93
1556559144,93
1556559147,93
1556559150,93
1556559153,92
1556559156,92
1556559159,93
1556559162,93
1556559165,94
1556559168,96
1556559171,98
1556559174,99
1556559177,100
1556559180,101
1556559183,102
1556559186,104
1556559189,105
1556559192,105
1556559195,104
1556559198,104
1556559201,104
1556559204,104
1556559207,104
1556559210,104
1556559213,104
1556559216,104
1556559219,104
1556559222,104
1556559225,104
1556559228,104
1556559231,104
1556559234,104
1556559237,104
1556559240,104
1556559243,104
1556559246,107
1556559249,114
1556559252,114
1556559255,114
1556559258,115
1556559261,115
1556559264,114
1556559267,113
1556559270,114
1556559273,114
1556559276,114
1556559279,114
1556559282,114
1556559285,113
1556559288,114
1556559291,114
1556559294,114
1556559297,114
1556559300,114
1556559303,114
1556559306,113
1556559309,113
1556559312,115
1556559315,115
1556559318,115
1556559321,115
1556559324,114
1556559327,114
1556559330,105
1556559333,105
1556559336,105
1556559339,108
1556559342,108
1556559345,108
1556559348,107
1556559351,109
1556559354,109
1556559357,109
1556559360,109
1556559363,109
1556559366,108
1556559369,108
1556559372,108
1556559375,108
1556559378,108
1556559381,108
1556559384,108
1556559387,116
1556559390,115
1556559393,116
1556559396,116
1556559399,114
1556559402,113
1556559405,113
1556559408,112
1556559411,112
1556559414,113
1556559417,113
1556559420,115
1556559423,115
1556559426,115
1556559429,114
1556559432,114
1556559435,115
1556559438,115
1556559441,115
1556559444,115
1556559447,107
1556559450,106
1556559453,106
1556559456,107
1556559459,106
1556559462,106
1556559465,106
1556559468,106
1556559471,105
1556559474,105
1556559477,106
1556559480,105
1556559483,105
1556559486,105
1556559489,105
1556559492,104
1556559495,104
1556559498,106
1556559501,106
1556559504,106
1556559507,106
1556559510,106
1556559513,105
1556559516,105
1556559519,106
1556559522,106
1556559525,106
1556559528,106
1556559531,106
1556559534,105
1556559537,106
1556559540,105
1556559543,105
1556559546,105
1556559549,105
1556559552,105
1556559555,104
1556559558,105
1556559561,105
1556559564,105
1556559567,105
1556559570,105
1556559573,105
1556559576,104
1556559579,105
1556559582,105
1556559585,105
1556559588,105
1556559591,105
1556559594,105
1556559597,104
1556559600,104
1556559603,104
1556559606,104
1556559609,105
1556559612,105
1556559615,105
1556559618,104
1556559621,105
1556559624,105
1556559627,105
1556559630,105
1556559633,105
1556559636,105
1556559639,104
1556559642,105
1556559645,105
1556559648,105
1556559651,105
1556559654,105
1556559657,105
1556559660,103
1556559663,104
1556559666,104
1556559669,103
1556559672,103
1556559675,103
1556559678,103
1556559681,102
1556559684,103
1556559687,103
1556559690,103
1556559693,103
1556559696,103
1556559699,104
1556559702,103
1556559705,105
1556559708,105
1556559711,105
1556559714,105
1556559717,105
1556559720,104
1556559723,104
1556559726,104
1556559729,104
1556559732,104
1556559735,104
1556559738,104
1556559741,103
1556559744,103
1556559747,105
1556559750,105
1556559753,105
1556559756,105
1556559759,103
1556559762,102
1556559765,102
1556559768,102
1556559771,102
1556559774,102
1556559777,102
1556559780,102
1556559783,101
1556559786,102
1556559789,102
1556559792,102
1556559795,102
1556559798,102
1556559801,102
1556559804,101
1556559807,102
1556559810,102
1556559813,102
1556559816,102
1556559819,102
1556559822,102
1556559825,101
1556559828,102
1556559831,102
1556559834,102
1556559837,102
1556559840,102
1556559843,101
1556559846,101
1556559849,102
1556559852,102
1556559855,102
1556559858,102
1556559861,102
1556559864,102
1556559867,103
1556559870,103
1556559873,103
1556559876,103
1556559879,103
1556559882,103
1556559885,102
1556559888,103
1556559891,103
1556559894,103
1556559897,103
1556559900,103
1556559903,103
1556559906,102
1556559909,103
1556559912,103
1556559915,103
1556559918,103
1556559921,103
1556559924,103
1556559927,102
1556559930,103
1556559933,103
1556559936,103
1556559939,103
1556559942,103
1556559945,103
1556559948,102
1556559951,103
1556559954,103
1556559957,103
1556559960,103
1556559963,103
1556559966,102
1556559969,102
1556559972,103
1556559975,103
1556559978,103
1556559981,103
1556559984,102
1556559987,101
1556559990,101
1556559993,102
1556559996,102
1556559999,105
1556560002,105
1556560005,105
1556560008,104
1556560011,105
1556560014,105
1556560017,105
1556560020,105
1556560023,105
1556560026,105
1556560029,104
1556560032,105
1556560035,105
1556560038,105
1556560041,105
1556560044,105
1556560047,105
1556560050,104
1556560053,105
1556560056,105
1556560059,102
1556560062,102
1556560065,102
1556560068,102
1556560071,101
1556560074,102
1556560077,102
1556560080,102
1556560083,102
1556560086,102
1556560089,101
1556560092,101
1556560095,102
1556560098,102
1556560101,102
1556560104,102
1556560107,102
1556560110,101
1556560113,101
1556560116,102
1556560119,102
1556560122,102
1556560125,102
1556560128,102
1556560131,102
1556560134,102
1556560137,103
1556560140,103
1556560143,103
1556560146,103
1556560149,104
1556560152,103
1556560155,105
1556560158,105
1556560161,105
1556560164,105
1556560167,105
1556560170,104
1556560173,104
1556560176,104
1556560179,104
1556560182,104
1556560185,104
1556560188,104
1556560191,103
1556560194,102
1556560197,103
1556560200,103
1556560203,103
1556560206,103
1556560209,103
1556560212,102
1556560215,102
1556560218,103
1556560221,103
