t,value
1556559138,97
1556559141,97
1556559144,97
1556559147,97
1556559150,97
1556559153,96
1556559156,96
1556559159,97
1556559162,97
1556559165,98
1556559168,100
1556559171,102
1556559174,103
1556559177,104
1556559180,105
1556559183,106
1556559186,108
1556559189,109
1556559192,109
1556559195,108
1556559198,108
1556559201,108
1556559204,108
1556559207,108
1556559210,108
1556559213,108
1556559216,108
1556559219,108
1556559222,108
1556559225,108
1556559228,108
1556559231,108
1556559234,108
1556559237,108
1556559240,108
1556559243,108
1556559246,111
1556559249,118
1556559252,118
1556559255,118
1556559258,119
1556559261,119
1556559264,118
1556559267,117
1556559270,118
1556559273,118
1556559276,118
1556559279,118
1556559282,118
1556559285,117
1556559288,118
1556559291,118
1556559294,118
1556559297,118
1556559300,118
1556559303,118
1556559306,117
1556559309,117
1556559312,119
1556559315,119
1556559318,119
1556559321,119
1556559324,118
1556559327,118
1556559330,109
1556559333,109
1556559336,109
1556559339,112
1556559342,112
1556559345,112
1556559348,111
1556559351,113
1556559354,113
1556559357,113
1556559360,113
1556559363,113
1556559366,112
1556559369,112
1556559372,112
1556559375,112
1556559378,112
1556559381,112
1556559384,112
1556559387,120
1556559390,119
1556559393,120
1556559396,120
1556559399,118
1556559402,117
1556559405,117
1556559408,116
1556559411,116
1556559414,117
1556559417,117
1556559420,119
1556559423,119
1556559426,119
1556559429,118
1556559432,118
1556559435,119
1556559438,119
1556559441,119
1556559444,119
1556559447,111
1556559450,110
1556559453,110
1556559456,111
1556559459,110
1556559462,110
1556559465,110
1556559468,110
1556559471,109
1556559474,109
1556559477,110
1556559480,109
1556559483,109
1556559486,109
1556559489,109
1556559492,108
1556559495,108
1556559498,110
1556559501,110
1556559504,110
1556559507,110
1556559510,110
1556559513,109
1556559516,109
1556559519,110
1556559522,110
1556559525,110
1556559528,110
1556559531,110
1556559534,109
1556559537,110
1556559540,109
1556559543,109
1556559546,109
1556559549,109
1556559552,109
1556559555,108
1556559558,109
1556559561,109
1556559564,109
1556559567,109
1556559570,109
1556559573,109
1556559576,108
1556559579,109
1556559582,109
1556559585,109
1556559588,109
1556559591,109
1556559594,109
1556559597,108
1556559600,108
1556559603,108
1556559606,108
1556559609,109
1556559612,109
1556559615,109
1556559618,108
1556559621,109
1556559624,109
1556559627,109
1556559630,109
1556559633,109
1556559636,109
1556559639,108
1556559642,109
1556559645,109
1556559648,109
1556559651,109
1556559654,109
1556559657,109
1556559660,107
1556559663,108
1556559666,108
1556559669,107
1556559672,107
1556559675,107
1556559678,107
1556559681,106
1556559684,107
1556559687,107
1556559690,107
1556559693,107
1556559696,107
1556559699,108
1556559702,107
1556559705,109
1556559708,109
1556559711,109
1556559714,109
1556559717,109
1556559720,108
1556559723,108
1556559726,108
1556559729,108
1556559732,108
1556559735,108
1556559738,109
1556559741,108
1556559744,108
1556559747,109
1556559750,109
1556559753,109
1556559756,109
1556559759,107
1556559762,106
1556559765,106
1556559768,106
1556559771,106
1556559774,106
1556559777,106
1556559780,106
1556559783,105
1556559786,106
1556559789,106
1556559792,106
1556559795,106
1556559798,106
1556559801,106
1556559804,105
1556559807,106
1556559810,106
1556559813,106
1556559816,106
1556559819,106
1556559822,106
1556559825,105
1556559828,106
1556559831,106
1556559834,106
1556559837,106
1556559840,106
1556559843,105
1556559846,105
1556559849,106
1556559852,106
1556559855,106
1556559858,106
1556559861,106
1556559864,106
1556559867,107
1556559870,107
1556559873,107
1556559876,107
1556559879,107
1556559882,107
1556559885,106
1556559888,107
1556559891,107
1556559894,107
1556559897,107
1556559900,107
1556559903,107
1556559906,106
1556559909,107
1556559912,107
1556559915,107
1556559918,107
1556559921,107
1556559924,107
1556559927,106
1556559930,107
1556559933,107
1556559936,107
1556559939,107
1556559942,107
1556559945,107
1556559948,106
1556559951,107
1556559954,107
1556559957,107
1556559960,107
1556559963,107
1556559966,106
1556559969,106
1556559972,107
1556559975,107
1556559978,107
1556559981,107
1556559984,106
1556559987,105
1556559990,105
1556559993,106
1556559996,106
1556559999,109
1556560002,109
1556560005,109
1556560008,108
1556560011,109
1556560014,109
1556560017,109
1556560020,109
1556560023,109
1556560026,109
1556560029,108
1556560032,109
1556560035,109
1556560038,109
1556560041,109
1556560044,109
1556560047,109
1556560050,108
1556560053,109
1556560056,109
1556560059,106
1556560062,106
1556560065,106
1556560068,106
1556560071,105
1556560074,106
1556560077,106
1556560080,106
1556560083,106
1556560086,106
1556560089,105
1556560092,105
1556560095,106
1556560098,106
1556560101,106
1556560104,106
1556560107,106
1556560110,105
1556560113,105
1556560116,106
1556560119,106
1556560122,106
1556560125,106
1556560128,106
1556560131,106
1556560134,106
1556560137,107
1556560140,107
1556560143,107
1556560146,107
1556560149,108
1556560152,107
1556560155,109
1556560158,109
1556560161,109
1556560164,109
1556560167,109
1556560170,108
1556560173,108
1556560176,108
1556560179,108
1556560182,108
1556560185,108
1556560188,108
1556560191,107
1556560194,106
1556560197,107
1556560200,107
1556560203,107
1556560206,107
1556560209,107
1556560212,106
1556560215,106
1556560218,107
1556560221,107
1556560224,107
1556560227,107
1556560230,107
1556560233,106
1556560236,106
1556560239,109
1556560242,109
1556560245,109
1556560248,109
1556560251,109
1556560254,108
1556560257,108
1556560260,108
1556560263,108
1556560266,108
1556560269,108
1556560272,108
1556560275,107
1556560278,107
1556560281,108
1556560284,108
1556560287,108
1556560290,108
1556560293,108
1556560296,107
1556560299,107
1556560302,108
1556560305,108
1556560308,108
1556560311,108
1556560314,108
1556560317,107
1556560320,107
1556560323,108
1556560326,108
1556560329,107
1556560332,107
1556560335,107
1556560338,106
1556560341,106
1556560344,107
1556560347,107
1556560350,107
1556560353,107
1556560356,107
1556560359,105
1556560362,105
1556560365,107
1556560368,107
1556560371,107
1556560374,108
1556560377,108
1556560380,107
1556560383,107
1556560386,107
1556560389,107
1556560392,107
1556560395,113
1556560398,113
1556560401,112
1556560404,113
1556560407,114
1556560410,115
1556560413,116
1556560416,116
1556560419,117
1556560422,116
1556560425,117
1556560428,119
1556560431,119
1556560434,119
1556560437,119
1556560440,120
1556560443,119
1556560446,119
1556560449,120
1556560452,120
1556560455,115
1556560458,115
1556560461,115
1556560464,114
1556560467,114
1556560470,115
1556560473,115
1556560476,115
1556560479,115
1556560482,115
1556560485,114
1556560488,114
1556560491,116
1556560494,116
1556560497,116
1556560500,116
1556560503,116
1556560506,115
1556560509,115
1556560512,115
1556560515,115
1556560518,115
1556560521,115
1556560524,115
1556560527,114
1556560530,114
1556560533,115
1556560536,115
1556560539,116
1556560542,116
1556560545,116
1556560548,115
1556560551,116
1556560554,116
1556560557,116
1556560560,116
1556560563,116
1556560566,116
1556560569,115
1556560572,116
1556560575,116
1556560578,116
1556560581,116
1556560584,117
1556560587,117
1556560590,116
1556560593,117
1556560596,117
1556560599,117
1556560602,117
1556560605,117
1556560608,117
1556560611,116
1556560614,117
1556560617,117
1556560620,117
1556560623,117
1556560626,117
1556560629,116
1556560632,116
1556560635,117
1556560638,118
1556560641,118
1556560644,117
1556560647,117
1556560650,116
1556560653,116
1556560656,117
1556560659,118
1556560662,118
1556560665,118
1556560668,118
