t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1556558039,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030860,0.000000,0.000000,0.000000,calls/second,milliseconds
1556558042,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.059264,0.031982,0.006611,0.002216,calls/second,milliseconds
1556558045,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085129,0.093390,0.019725,0.006636,calls/second,milliseconds
1556558048,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.122478,0.093390,0.019725,0.006636,calls/second,milliseconds
1556558051,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130742,0.133896,0.029316,0.009923,calls/second,milliseconds
1556558054,11,1.000000,0.102691,0.000000,0.303554,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.138393,0.133896,0.029316,0.009923,calls/second,milliseconds
1556558057,13,1.000000,0.084414,0.000000,0.278008,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.157611,0.155172,0.035443,0.012084,calls/second,milliseconds
1556558060,14,1.000000,0.077178,0.000000,0.266874,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.163758,0.190739,0.044774,0.015341,calls/second,milliseconds
1556558063,15,1.000000,0.070914,0.000000,0.256681,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.169533,0.190739,0.044774,0.015341,calls/second,milliseconds
1556558066,16,1.000000,0.143620,0.000000,0.350704,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.174900,0.207470,0.050646,0.017473,calls/second,milliseconds
1556558069,18,1.000000,0.123413,0.000000,0.328911,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.190515,0.207470,0.050646,0.017473,calls/second,milliseconds
1556558072,19,1.000000,0.114836,0.000000,0.318824,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.194912,0.222864,0.056420,0.019592,calls/second,milliseconds
1556558075,20,1.000000,0.107162,0.000000,0.309319,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.199041,0.237027,0.062099,0.021699,calls/second,milliseconds
1556558078,22,1.000000,0.093927,0.000000,0.291728,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.212568,0.237027,0.062099,0.021699,calls/second,milliseconds
1556558081,23,1.000000,0.088190,0.000000,0.283571,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.216005,0.250058,0.067684,0.023795,calls/second,milliseconds
1556558084,24,1.000000,0.082967,0.000000,0.275833,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.219217,0.250058,0.067684,0.023795,calls/second,milliseconds
1556558087,25,1.000000,0.078128,0.000000,0.268372,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.222264,0.262047,0.073177,0.025879,calls/second,milliseconds
1556558090,27,1.000000,0.069629,0.000000,0.254521,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.233804,0.273077,0.078578,0.027952,calls/second,milliseconds
