t,value
1556558039,0
1556558042,0
1556558045,0
1556558048,0
1556558051,0
1556558054,0
1556558057,0
1556558060,0
1556558063,0
1556558066,0
1556558069,0
1556558072,0
1556558075,0
1556558078,0
1556558081,0
1556558084,0
1556558087,0
1556558090,0
1556558093,0
1556558096,0
1556558099,0
1556558102,0
1556558105,0
1556558108,0
1556558111,0
1556558114,0
1556558117,0
1556558120,0
1556558123,0
1556558126,0
1556558129,0
1556558132,0
1556558135,0
1556558138,0
1556558141,0
1556558144,0
1556558147,0
1556558150,0
1556558153,0
1556558156,0
1556558159,0
1556558162,0
1556558165,0
1556558168,0
1556558171,0
1556558174,0
1556558177,0
1556558180,0
1556558183,0
1556558186,0
1556558189,0
1556558192,0
1556558195,0
1556558198,0
1556558201,0
1556558204,0
1556558207,0
1556558210,0
1556558213,0
1556558216,0
1556558219,0
1556558222,0
1556558225,0
1556558228,0
1556558231,0
1556558234,0
1556558237,0
1556558240,0
1556558243,0
1556558246,0
1556558249,0
1556558252,0
1556558255,0
1556558258,0
1556558261,0
1556558264,0
1556558267,0
1556558270,0
1556558273,0
1556558276,0
1556558279,0
1556558282,0
1556558285,0
1556558288,0
1556558291,0
1556558294,0
1556558297,0
1556558300,0
1556558303,0
1556558306,0
1556558309,0
1556558312,0
1556558315,0
1556558318,0
1556558321,0
1556558324,0
1556558327,0
1556558330,0
1556558333,0
1556558336,0
1556558339,0
1556558342,0
1556558345,0
1556558348,0
1556558351,0
1556558354,0
1556558357,0
1556558360,0
1556558363,0
1556558366,0
1556558369,0
1556558372,0
1556558375,0
1556558378,0
1556558381,0
1556558384,0
1556558387,0
1556558390,0
1556558393,0
1556558396,0
1556558399,0
1556558402,0
1556558405,0
1556558408,0
1556558411,0
1556558414,0
1556558417,0
1556558420,0
1556558423,0
1556558426,0
1556558429,0
1556558432,0
1556558435,0
1556558438,0
1556558441,0
1556558444,0
1556558447,0
1556558450,0
1556558453,0
1556558456,0
1556558459,0
1556558462,0
1556558465,0
1556558468,0
1556558471,0
1556558474,0
1556558477,0
1556558480,0
1556558483,0
1556558486,0
1556558489,0
1556558492,0
1556558495,0
1556558498,0
1556558501,0
1556558504,0
1556558507,0
1556558510,0
1556558513,0
1556558516,0
1556558519,0
1556558522,0
1556558525,0
1556558528,0
1556558531,0
1556558534,0
1556558537,0
1556558540,0
1556558543,0
1556558546,0
1556558549,0
1556558552,0
1556558555,0
1556558558,0
1556558561,0
1556558564,0
1556558567,0
1556558570,0
1556558573,0
1556558576,0
1556558579,0
1556558582,0
1556558585,0
1556558588,0
1556558591,0
1556558594,0
1556558597,0
1556558600,0
1556558603,0
1556558606,0
1556558609,0
1556558612,0
1556558615,137
1556558618,137
1556558621,137
1556558624,137
1556558627,137
1556558630,137
1556558633,137
1556558636,137
1556558639,137
1556558642,137
1556558645,137
1556558648,137
1556558651,137
1556558654,137
1556558657,137
1556558660,137
1556558663,137
1556558666,137
1556558669,137
1556558672,137
1556558675,137
1556558678,137
1556558681,137
1556558684,137
1556558687,137
1556558690,137
1556558693,137
1556558696,137
1556558699,137
1556558702,137
1556558705,137
1556558708,137
1556558711,137
1556558714,137
1556558717,137
1556558720,137
1556558723,137
1556558726,137
1556558729,137
1556558732,137
1556558735,137
1556558738,137
1556558741,137
1556558744,137
1556558747,137
1556558750,137
1556558753,137
1556558756,137
1556558759,137
1556558762,137
1556558765,137
1556558768,137
1556558771,137
1556558774,137
1556558777,137
1556558780,137
1556558783,137
1556558786,137
1556558789,137
1556558792,137
1556558795,137
1556558798,137
1556558801,137
1556558804,137
1556558807,137
1556558810,137
1556558813,137
1556558816,137
1556558819,137
1556558822,137
1556558825,137
1556558828,137
1556558831,137
1556558834,137
1556558837,137
1556558840,137
1556558843,137
1556558846,137
1556558849,137
1556558852,137
1556558855,137
1556558858,137
1556558861,137
1556558864,137
1556558867,137
1556558870,137
1556558873,137
1556558876,137
1556558879,137
1556558882,137
1556558885,137
1556558888,137
1556558891,137
1556558894,137
1556558897,137
1556558900,137
1556558903,137
1556558906,137
1556558909,137
1556558912,137
1556558915,137
1556558918,137
1556558921,137
1556558924,137
1556558927,137
1556558930,137
1556558933,137
1556558936,137
1556558939,137
1556558942,137
1556558945,137
1556558948,137
1556558951,137
1556558954,137
1556558957,137
1556558960,137
1556558963,137
1556558966,137
1556558969,137
t,value
1556559421,134
1556559424,134
1556559427,134
1556559430,134
1556559433,134
1556559436,134
1556559439,134
1556559442,134
1556559445,134
1556559448,134
1556559451,134
1556559454,134
1556559457,134
1556559460,134
1556559463,134
1556559466,134
1556559469,134
1556559472,134
1556559475,134
1556559478,134
1556559481,134
1556559484,134
1556559487,134
1556559490,134
1556559493,134
1556559496,134
1556559499,134
1556559502,134
1556559505,134
1556559508,134
1556559511,134
1556559514,134
1556559517,134
1556559520,134
1556559523,134
1556559526,134
1556559529,134
1556559532,134
1556559535,134
1556559538,134
1556559541,134
1556559544,134
1556559547,134
1556559550,134
1556559553,134
1556559556,134
1556559559,134
1556559562,134
1556559565,134
1556559568,134
1556559571,134
1556559574,134
1556559577,134
1556559580,134
1556559583,134
1556559586,134
1556559589,134
1556559592,134
1556559595,134
1556559598,134
1556559601,134
1556559604,134
1556559607,134
1556559610,134
1556559613,134
1556559616,134
1556559619,134
1556559622,134
1556559625,134
1556559628,134
1556559631,134
1556559634,134
1556559637,134
1556559640,134
1556559643,134
1556559646,134
1556559649,134
1556559652,134
1556559655,134
1556559658,134
1556559661,134
1556559664,134
1556559667,134
1556559670,134
1556559673,134
1556559676,134
1556559679,134
1556559682,134
1556559685,134
1556559688,134
1556559691,134
1556559694,134
1556559697,134
1556559700,134
1556559703,134
1556559706,134
1556559709,134
1556559712,134
1556559715,134
1556559718,134
1556559721,134
1556559724,134
1556559727,134
1556559730,134
1556559733,134
1556559736,134
1556559739,134
1556559742,134
1556559745,134
1556559748,134
1556559751,134
1556559754,134
1556559757,134
1556559760,134
1556559763,134
1556559766,134
1556559769,134
1556559772,134
1556559775,134
1556559778,134
1556559781,134
1556559784,134
1556559787,134
1556559790,134
1556559793,134
1556559796,134
1556559799,134
1556559802,134
1556559805,134
1556559808,134
1556559811,134
1556559814,134
1556559817,134
1556559820,134
1556559823,134
1556559826,134
1556559829,134
1556559832,134
1556559835,134
