t,value
1556558039,0
1556558042,0
1556558045,0
1556558048,0
1556558051,0
1556558054,0
1556558057,0
1556558060,0
1556558063,0
1556558066,0
1556558069,0
1556558072,0
1556558075,0
1556558078,0
1556558081,0
1556558084,0
1556558087,0
1556558090,0
1556558093,0
1556558096,0
1556558099,0
1556558102,0
1556558105,0
1556558108,0
1556558111,0
1556558114,0
1556558117,0
1556558120,0
1556558123,0
1556558126,0
1556558129,0
1556558132,0
1556558135,0
1556558138,0
1556558141,0
1556558144,0
1556558147,0
1556558150,0
1556558153,0
1556558156,0
1556558159,0
1556558162,0
1556558165,0
1556558168,0
1556558171,0
1556558174,0
1556558177,0
1556558180,0
1556558183,0
1556558186,0
1556558189,0
1556558192,0
1556558195,0
1556558198,0
1556558201,0
1556558204,0
1556558207,0
1556558210,0
1556558213,0
1556558216,0
1556558219,0
1556558222,0
1556558225,0
1556558228,0
1556558231,0
1556558234,0
1556558237,0
1556558240,0
1556558243,0
1556558246,0
1556558249,0
1556558252,0
1556558255,0
1556558258,0
1556558261,0
1556558264,0
1556558267,0
1556558270,0
1556558273,0
1556558276,0
1556558279,0
1556558282,0
1556558285,0
1556558288,0
1556558291,0
1556558294,0
1556558297,0
1556558300,0
1556558303,0
1556558306,0
1556558309,0
1556558312,0
1556558315,0
1556558318,0
1556558321,0
1556558324,0
1556558327,0
1556558330,0
1556558333,0
1556558336,0
1556558339,0
1556558342,0
1556558345,0
1556558348,0
1556558351,0
1556558354,0
1556558357,0
1556558360,0
1556558363,0
1556558366,0
1556558369,0
1556558372,0
1556558375,0
1556558378,0
1556558381,0
1556558384,0
1556558387,0
1556558390,0
1556558393,0
1556558396,0
1556558399,0
1556558402,0
1556558405,0
1556558408,0
1556558411,0
1556558414,0
1556558417,0
1556558420,0
1556558423,0
1556558426,0
1556558429,0
1556558432,0
1556558435,0
1556558438,0
1556558441,0
1556558444,0
1556558447,0
1556558450,0
1556558453,0
1556558456,0
1556558459,0
1556558462,0
1556558465,0
1556558468,0
1556558471,0
1556558474,0
1556558477,0
1556558480,0
1556558483,0
1556558486,0
1556558489,0
1556558492,0
1556558495,0
1556558498,0
1556558501,0
1556558504,0
1556558507,0
1556558510,0
1556558513,0
1556558516,0
1556558519,0
1556558522,0
1556558525,0
1556558528,0
1556558531,0
1556558534,0
1556558537,0
1556558540,0
1556558543,0
1556558546,0
1556558549,0
1556558552,0
1556558555,0
1556558558,0
1556558561,0
1556558564,0
1556558567,0
1556558570,0
1556558573,0
1556558576,0
1556558579,0
1556558582,0
1556558585,0
1556558588,0
1556558591,0
1556558594,0
1556558597,0
1556558600,0
1556558603,0
1556558606,0
1556558609,0
1556558612,0
1556558615,135
1556558618,135
1556558621,135
1556558624,135
1556558627,135
1556558630,135
1556558633,135
1556558636,135
1556558639,135
1556558642,135
1556558645,135
1556558648,135
1556558651,135
1556558654,135
1556558657,135
1556558660,135
1556558663,135
1556558666,135
1556558669,135
1556558672,135
1556558675,135
1556558678,135
1556558681,135
1556558684,135
1556558687,135
1556558690,135
1556558693,135
1556558696,135
1556558699,135
1556558702,135
1556558705,135
1556558708,135
1556558711,135
1556558714,135
1556558717,135
1556558720,135
1556558723,135
1556558726,135
1556558729,135
1556558732,135
1556558735,135
1556558738,135
1556558741,135
1556558744,135
1556558747,135
1556558750,135
1556558753,135
1556558756,135
1556558759,135
1556558762,135
1556558765,135
1556558768,135
1556558771,135
1556558774,135
1556558777,135
1556558780,135
1556558783,135
1556558786,135
1556558789,135
1556558792,135
1556558795,135
1556558798,135
1556558801,135
1556558804,135
1556558807,135
1556558810,135
1556558813,135
1556558816,135
1556558819,135
1556558822,135
1556558825,135
1556558828,135
1556558831,135
1556558834,135
1556558837,135
1556558840,135
1556558843,135
1556558846,135
1556558849,135
1556558852,135
1556558855,135
1556558858,135
1556558861,135
1556558864,135
1556558867,135
1556558870,135
1556558873,135
1556558876,135
1556558879,135
1556558882,135
1556558885,135
1556558888,135
1556558891,135
1556558894,135
1556558897,135
1556558900,135
1556558903,135
1556558906,135
1556558909,135
1556558912,135
1556558915,135
1556558918,135
1556558921,135
1556558924,135
1556558927,135
1556558930,135
1556558933,135
1556558936,135
1556558939,135
1556558942,135
1556558945,135
1556558948,135
1556558951,135
1556558954,135
1556558957,135
1556558960,135
1556558963,135
1556558966,135
1556558969,135
t,value
1556559421,130
1556559424,130
1556559427,130
1556559430,130
1556559433,130
1556559436,130
1556559439,130
1556559442,130
1556559445,130
1556559448,130
1556559451,130
1556559454,130
1556559457,130
1556559460,130
1556559463,130
1556559466,130
1556559469,130
1556559472,130
1556559475,130
1556559478,130
1556559481,130
1556559484,130
1556559487,130
1556559490,130
1556559493,130
1556559496,130
1556559499,130
1556559502,130
1556559505,130
1556559508,130
1556559511,130
1556559514,130
1556559517,130
1556559520,130
1556559523,130
1556559526,130
1556559529,130
1556559532,130
1556559535,130
1556559538,130
1556559541,130
1556559544,130
1556559547,130
1556559550,130
1556559553,130
1556559556,130
1556559559,130
1556559562,130
1556559565,130
1556559568,130
1556559571,130
1556559574,130
1556559577,130
1556559580,130
1556559583,130
1556559586,130
1556559589,130
1556559592,130
1556559595,130
1556559598,130
1556559601,130
1556559604,130
1556559607,130
1556559610,130
1556559613,130
1556559616,130
1556559619,130
1556559622,130
1556559625,130
1556559628,130
1556559631,130
1556559634,130
1556559637,130
1556559640,130
1556559643,130
1556559646,130
1556559649,130
1556559652,130
1556559655,130
1556559658,130
1556559661,130
1556559664,130
1556559667,130
1556559670,130
1556559673,130
1556559676,130
1556559679,130
1556559682,130
1556559685,130
1556559688,130
1556559691,130
1556559694,130
1556559697,130
1556559700,130
1556559703,130
1556559706,130
1556559709,130
1556559712,130
1556559715,130
1556559718,130
1556559721,130
1556559724,130
1556559727,130
1556559730,130
1556559733,130
1556559736,130
1556559739,130
1556559742,130
1556559745,130
1556559748,130
1556559751,130
1556559754,130
1556559757,130
1556559760,130
1556559763,130
1556559766,130
1556559769,130
1556559772,130
1556559775,130
1556559778,130
1556559781,130
1556559784,130
1556559787,130
1556559790,130
1556559793,130
1556559796,130
1556559799,130
1556559802,130
1556559805,130
1556559808,130
1556559811,130
1556559814,130
1556559817,130
1556559820,130
1556559823,130
1556559826,130
1556559829,130
1556559832,130
1556559835,130
