t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558039,39,11.759143,0.000000,0.000000,0.000000,events/second
1556558042,39,6.474350,0.000000,0.000000,0.000000,events/second
1556558045,39,4.328419,0.000000,0.000000,0.000000,events/second
1556558048,39,3.246818,0.000000,0.000000,0.000000,events/second
1556558051,39,2.597521,0.000000,0.000000,0.000000,events/second
1556558054,39,2.165164,0.000000,0.000000,0.000000,events/second
1556558057,39,1.856230,0.000000,0.000000,0.000000,events/second
1556558060,39,1.623935,0.000000,0.000000,0.000000,events/second
1556558063,39,1.444014,0.000000,0.000000,0.000000,events/second
1556558066,39,1.299558,0.000000,0.000000,0.000000,events/second
1556558069,39,1.181439,0.000000,0.000000,0.000000,events/second
1556558072,39,1.083027,0.000000,0.000000,0.000000,events/second
1556558075,39,0.999714,0.000000,0.000000,0.000000,events/second
1556558078,39,0.928011,0.000000,0.000000,0.000000,events/second
1556558081,39,0.866509,0.000000,0.000000,0.000000,events/second
1556558084,39,0.812336,0.000000,0.000000,0.000000,events/second
1556558087,39,0.764583,0.000000,0.000000,0.000000,events/second
1556558090,39,0.722081,0.000000,0.000000,0.000000,events/second
1556558093,39,0.684078,0.000000,0.000000,0.000000,events/second
1556558096,39,0.649901,0.000000,0.000000,0.000000,events/second
1556558099,39,0.618936,0.000000,0.000000,0.000000,events/second
1556558102,39,0.590836,0.000000,0.000000,0.000000,events/second
1556558105,39,0.565100,0.000000,0.000000,0.000000,events/second
1556558108,39,0.541582,0.000000,0.000000,0.000000,events/second
1556558111,39,0.519934,0.000000,0.000000,0.000000,events/second
1556558114,39,0.499932,0.000000,0.000000,0.000000,events/second
1556558117,39,0.481435,0.000000,0.000000,0.000000,events/second
1556558120,39,0.464238,0.000000,0.000000,0.000000,events/second
1556558123,39,0.448226,0.000000,0.000000,0.000000,events/second
1556558126,39,0.433292,0.000000,0.000000,0.000000,events/second
1556558129,39,0.419312,0.000000,0.000000,0.000000,events/second
1556558132,39,0.406205,0.000000,0.000000,0.000000,events/second
1556558135,39,0.393915,0.000000,0.000000,0.000000,events/second
1556558138,39,0.382277,0.000000,0.000000,0.000000,events/second
1556558141,39,0.371397,0.000000,0.000000,0.000000,events/second
1556558144,39,0.361081,0.000000,0.000000,0.000000,events/second
1556558147,39,0.351322,0.000000,0.000000,0.000000,events/second
1556558150,39,0.342075,0.000000,0.000000,0.000000,events/second
1556558153,39,0.333302,0.000000,0.000000,0.000000,events/second
1556558156,39,0.324943,0.000000,0.000000,0.000000,events/second
1556558159,39,0.317026,0.000000,0.000000,0.000000,events/second
1556558162,39,0.309505,0.000000,0.000000,0.000000,events/second
1556558165,39,0.302308,0.000000,0.000000,0.000000,events/second
1556558168,39,0.295436,0.000000,0.000000,0.000000,events/second
1556558171,39,0.288871,0.000000,0.000000,0.000000,events/second
1556558174,39,0.282578,0.000000,0.000000,0.000000,events/second
1556558177,39,0.276582,0.000000,0.000000,0.000000,events/second
1556558180,39,0.270814,0.000000,0.000000,0.000000,events/second
1556558183,39,0.265292,0.000000,0.000000,0.000000,events/second
1556558186,39,0.259986,0.000000,0.000000,0.000000,events/second
1556558189,39,0.254891,0.000000,0.000000,0.000000,events/second
1556558192,39,0.249979,0.000000,0.000000,0.000000,events/second
1556558195,39,0.245273,0.000000,0.000000,0.000000,events/second
1556558198,39,0.240729,0.000000,0.000000,0.000000,events/second
1556558201,39,0.236351,0.000000,0.000000,0.000000,events/second
1556558204,39,0.232132,0.000000,0.000000,0.000000,events/second
1556558207,39,0.228059,0.000000,0.000000,0.000000,events/second
1556558210,39,0.224129,0.000000,0.000000,0.000000,events/second
1556558213,39,0.220331,0.000000,0.000000,0.000000,events/second
1556558216,39,0.216656,0.000000,0.000000,0.000000,events/second
1556558219,39,0.213109,0.000000,0.000000,0.000000,events/second
1556558222,39,0.209668,0.000000,0.000000,0.000000,events/second
1556558225,39,0.206343,0.000000,0.000000,0.000000,events/second
1556558228,39,0.203116,0.000000,0.000000,0.000000,events/second
1556558231,39,0.199995,0.000000,0.000000,0.000000,events/second
1556558234,39,0.196961,0.000000,0.000000,0.000000,events/second
1556558237,39,0.194024,0.000000,0.000000,0.000000,events/second
1556558240,39,0.191168,0.000000,0.000000,0.000000,events/second
1556558243,39,0.188400,0.000000,0.000000,0.000000,events/second
1556558246,39,0.185708,0.000000,0.000000,0.000000,events/second
1556558249,39,0.183090,0.000000,0.000000,0.000000,events/second
1556558252,39,0.180550,0.000000,0.000000,0.000000,events/second
1556558255,39,0.178074,0.000000,0.000000,0.000000,events/second
1556558258,39,0.175671,0.000000,0.000000,0.000000,events/second
1556558261,39,0.173328,0.000000,0.000000,0.000000,events/second
1556558264,39,0.171046,0.000000,0.000000,0.000000,events/second
1556558267,39,0.168826,0.000000,0.000000,0.000000,events/second
1556558270,39,0.166662,0.000000,0.000000,0.000000,events/second
1556558273,39,0.164551,0.000000,0.000000,0.000000,events/second
1556558276,39,0.162491,0.000000,0.000000,0.000000,events/second
1556558279,39,0.160489,0.000000,0.000000,0.000000,events/second
1556558282,39,0.158531,0.000000,0.000000,0.000000,events/second
1556558285,39,0.156621,0.000000,0.000000,0.000000,events/second
1556558288,39,0.154757,0.000000,0.000000,0.000000,events/second
1556558291,39,0.152936,0.000000,0.000000,0.000000,events/second
1556558294,39,0.151152,0.000000,0.000000,0.000000,events/second
1556558297,39,0.149421,0.000000,0.000000,0.000000,events/second
1556558300,39,0.147722,0.000000,0.000000,0.000000,events/second
1556558303,39,0.146063,0.000000,0.000000,0.000000,events/second
1556558306,39,0.144440,0.000000,0.000000,0.000000,events/second
1556558309,39,0.142852,0.000000,0.000000,0.000000,events/second
1556558312,39,0.141301,0.000000,0.000000,0.000000,events/second
1556558315,39,0.139781,0.000000,0.000000,0.000000,events/second
1556558318,39,0.138294,0.000000,0.000000,0.000000,events/second
1556558321,39,0.136838,0.000000,0.000000,0.000000,events/second
1556558324,39,0.135414,0.000000,0.000000,0.000000,events/second
1556558327,39,0.134018,0.000000,0.000000,0.000000,events/second
1556558330,39,0.132650,0.000000,0.000000,0.000000,events/second
1556558333,39,0.131310,0.000000,0.000000,0.000000,events/second
1556558336,39,0.129995,0.000000,0.000000,0.000000,events/second
1556558339,39,0.128709,0.000000,0.000000,0.000000,events/second
1556558342,39,0.127448,0.000000,0.000000,0.000000,events/second
1556558345,39,0.126209,0.000000,0.000000,0.000000,events/second
1556558348,39,0.124992,0.000000,0.000000,0.000000,events/second
1556558351,39,0.123807,0.000000,0.000000,0.000000,events/second
1556558354,39,0.122639,0.000000,0.000000,0.000000,events/second
1556558357,39,0.121493,0.000000,0.000000,0.000000,events/second
1556558360,39,0.120362,0.000000,0.000000,0.000000,events/second
1556558363,39,0.119261,0.000000,0.000000,0.000000,events/second
1556558366,39,0.118174,0.000000,0.000000,0.000000,events/second
1556558369,39,0.117112,0.000000,0.000000,0.000000,events/second
1556558372,39,0.116070,0.000000,0.000000,0.000000,events/second
1556558375,39,0.115041,0.000000,0.000000,0.000000,events/second
1556558378,39,0.114029,0.000000,0.000000,0.000000,events/second
1556558381,39,0.113042,0.000000,0.000000,0.000000,events/second
1556558384,39,0.112066,0.000000,0.000000,0.000000,events/second
1556558387,39,0.111108,0.000000,0.000000,0.000000,events/second
1556558390,39,0.110167,0.000000,0.000000,0.000000,events/second
1556558393,39,0.109242,0.000000,0.000000,0.000000,events/second
1556558396,39,0.108331,0.000000,0.000000,0.000000,events/second
1556558399,39,0.107434,0.000000,0.000000,0.000000,events/second
1556558402,39,0.106554,0.000000,0.000000,0.000000,events/second
1556558405,39,0.105688,0.000000,0.000000,0.000000,events/second
1556558408,39,0.104836,0.000000,0.000000,0.000000,events/second
1556558411,39,0.103998,0.000000,0.000000,0.000000,events/second
1556558414,39,0.103173,0.000000,0.000000,0.000000,events/second
1556558417,39,0.102360,0.000000,0.000000,0.000000,events/second
1556558420,39,0.101560,0.000000,0.000000,0.000000,events/second
1556558423,39,0.100773,0.000000,0.000000,0.000000,events/second
1556558426,39,0.099998,0.000000,0.000000,0.000000,events/second
1556558429,39,0.099235,0.000000,0.000000,0.000000,events/second
1556558432,39,0.098483,0.000000,0.000000,0.000000,events/second
1556558435,39,0.097742,0.000000,0.000000,0.000000,events/second
1556558438,39,0.097012,0.000000,0.000000,0.000000,events/second
1556558441,39,0.096294,0.000000,0.000000,0.000000,events/second
1556558444,39,0.095584,0.000000,0.000000,0.000000,events/second
1556558447,39,0.094888,0.000000,0.000000,0.000000,events/second
1556558450,39,0.094200,0.000000,0.000000,0.000000,events/second
1556558453,39,0.093523,0.000000,0.000000,0.000000,events/second
1556558456,39,0.092855,0.000000,0.000000,0.000000,events/second
1556558459,39,0.092196,0.000000,0.000000,0.000000,events/second
1556558462,39,0.091548,0.000000,0.000000,0.000000,events/second
1556558465,39,0.090907,0.000000,0.000000,0.000000,events/second
1556558468,39,0.090276,0.000000,0.000000,0.000000,events/second
1556558471,39,0.089653,0.000000,0.000000,0.000000,events/second
1556558474,39,0.089039,0.000000,0.000000,0.000000,events/second
1556558477,39,0.088434,0.000000,0.000000,0.000000,events/second
1556558480,39,0.087836,0.000000,0.000000,0.000000,events/second
1556558483,39,0.087247,0.000000,0.000000,0.000000,events/second
1556558486,39,0.086665,0.000000,0.000000,0.000000,events/second
1556558489,39,0.086091,0.000000,0.000000,0.000000,events/second
1556558492,39,0.085525,0.000000,0.000000,0.000000,events/second
1556558495,39,0.084966,0.000000,0.000000,0.000000,events/second
1556558498,39,0.084414,0.000000,0.000000,0.000000,events/second
1556558501,39,0.083870,0.000000,0.000000,0.000000,events/second
1556558504,39,0.083332,0.000000,0.000000,0.000000,events/second
1556558507,39,0.082801,0.000000,0.000000,0.000000,events/second
1556558510,39,0.082277,0.000000,0.000000,0.000000,events/second
1556558513,39,0.081759,0.000000,0.000000,0.000000,events/second
1556558516,39,0.081249,0.000000,0.000000,0.000000,events/second
1556558519,39,0.080744,0.000000,0.000000,0.000000,events/second
1556558522,39,0.080246,0.000000,0.000000,0.000000,events/second
1556558525,39,0.079753,0.000000,0.000000,0.000000,events/second
1556558528,39,0.079265,0.000000,0.000000,0.000000,events/second
1556558531,39,0.078787,0.000000,0.000000,0.000000,events/second
1556558534,39,0.078312,0.000000,0.000000,0.000000,events/second
1556558537,39,0.077843,0.000000,0.000000,0.000000,events/second
1556558540,39,0.077378,0.000000,0.000000,0.000000,events/second
1556558543,39,0.076922,0.000000,0.000000,0.000000,events/second
1556558546,39,0.076469,0.000000,0.000000,0.000000,events/second
1556558549,39,0.076022,0.000000,0.000000,0.000000,events/second
1556558552,39,0.075580,0.000000,0.000000,0.000000,events/second
1556558555,39,0.075144,0.000000,0.000000,0.000000,events/second
1556558558,39,0.074711,0.000000,0.000000,0.000000,events/second
1556558561,39,0.074283,0.000000,0.000000,0.000000,events/second
1556558564,39,0.073863,0.000000,0.000000,0.000000,events/second
1556558567,39,0.073446,0.000000,0.000000,0.000000,events/second
1556558570,39,0.073031,0.000000,0.000000,0.000000,events/second
1556558573,39,0.072625,0.000000,0.000000,0.000000,events/second
1556558576,39,0.072221,0.000000,0.000000,0.000000,events/second
1556558579,39,0.071822,0.000000,0.000000,0.000000,events/second
1556558582,39,0.071426,0.000000,0.000000,0.000000,events/second
1556558585,39,0.071037,0.000000,0.000000,0.000000,events/second
1556558588,39,0.070651,0.000000,0.000000,0.000000,events/second
1556558591,39,0.070268,0.000000,0.000000,0.000000,events/second
1556558594,39,0.069892,0.000000,0.000000,0.000000,events/second
1556558597,39,0.069518,0.000000,0.000000,0.000000,events/second
1556558600,39,0.069148,0.000000,0.000000,0.000000,events/second
1556558603,39,0.068782,0.000000,0.000000,0.000000,events/second
1556558606,39,0.068420,0.000000,0.000000,0.000000,events/second
1556558609,39,0.068062,0.000000,0.000000,0.000000,events/second
1556558612,39,0.067707,0.000000,0.000000,0.000000,events/second
1556558615,43,0.074265,0.000000,0.000000,0.000000,events/second
1556558618,43,0.073882,0.000000,0.000000,0.000000,events/second
1556558621,43,0.073503,0.000000,0.000000,0.000000,events/second
1556558624,43,0.073128,0.000000,0.000000,0.000000,events/second
1556558627,43,0.072757,0.000000,0.000000,0.000000,events/second
1556558630,43,0.072389,0.000000,0.000000,0.000000,events/second
1556558633,43,0.072026,0.000000,0.000000,0.000000,events/second
1556558636,43,0.071666,0.000000,0.000000,0.000000,events/second
1556558639,43,0.071309,0.000000,0.000000,0.000000,events/second
1556558642,43,0.070956,0.000000,0.000000,0.000000,events/second
1556558645,43,0.070607,0.000000,0.000000,0.000000,events/second
1556558648,43,0.070259,0.000000,0.000000,0.000000,events/second
1556558651,43,0.069918,0.000000,0.000000,0.000000,events/second
1556558654,43,0.069578,0.000000,0.000000,0.000000,events/second
1556558657,43,0.069241,0.000000,0.000000,0.000000,events/second
1556558660,43,0.068909,0.000000,0.000000,0.000000,events/second
1556558663,43,0.068579,0.000000,0.000000,0.000000,events/second
1556558666,43,0.068253,0.000000,0.000000,0.000000,events/second
1556558669,43,0.067930,0.000000,0.000000,0.000000,events/second
1556558672,43,0.067609,0.000000,0.000000,0.000000,events/second
1556558675,43,0.067292,0.000000,0.000000,0.000000,events/second
1556558678,43,0.066977,0.000000,0.000000,0.000000,events/second
1556558681,43,0.066666,0.000000,0.000000,0.000000,events/second
1556558684,43,0.066357,0.000000,0.000000,0.000000,events/second
1556558687,43,0.066052,0.000000,0.000000,0.000000,events/second
1556558690,43,0.065748,0.000000,0.000000,0.000000,events/second
1556558693,43,0.065448,0.000000,0.000000,0.000000,events/second
1556558696,43,0.065151,0.000000,0.000000,0.000000,events/second
1556558699,43,0.064856,0.000000,0.000000,0.000000,events/second
1556558702,43,0.064564,0.000000,0.000000,0.000000,events/second
1556558705,43,0.064274,0.000000,0.000000,0.000000,events/second
1556558708,43,0.063987,0.000000,0.000000,0.000000,events/second
1556558711,43,0.063703,0.000000,0.000000,0.000000,events/second
1556558714,43,0.063421,0.000000,0.000000,0.000000,events/second
1556558717,43,0.063142,0.000000,0.000000,0.000000,events/second
1556558720,43,0.062865,0.000000,0.000000,0.000000,events/second
1556558723,43,0.062530,0.000000,0.000000,0.000000,events/second
1556558726,43,0.062318,0.000000,0.000000,0.000000,events/second
1556558729,43,0.062048,0.000000,0.000000,0.000000,events/second
1556558732,43,0.061781,0.000000,0.000000,0.000000,events/second
1556558735,43,0.061516,0.000000,0.000000,0.000000,events/second
1556558738,43,0.061253,0.000000,0.000000,0.000000,events/second
1556558741,43,0.060992,0.000000,0.000000,0.000000,events/second
1556558744,43,0.060734,0.000000,0.000000,0.000000,events/second
1556558747,43,0.060478,0.000000,0.000000,0.000000,events/second
1556558750,43,0.060222,0.000000,0.000000,0.000000,events/second
1556558753,43,0.059971,0.000000,0.000000,0.000000,events/second
1556558756,43,0.059722,0.000000,0.000000,0.000000,events/second
1556558759,43,0.059474,0.000000,0.000000,0.000000,events/second
1556558762,43,0.059228,0.000000,0.000000,0.000000,events/second
1556558765,43,0.058984,0.000000,0.000000,0.000000,events/second
1556558768,43,0.058742,0.000000,0.000000,0.000000,events/second
1556558771,43,0.058503,0.000000,0.000000,0.000000,events/second
1556558774,43,0.058265,0.000000,0.000000,0.000000,events/second
1556558777,43,0.058029,0.000000,0.000000,0.000000,events/second
1556558780,43,0.057794,0.000000,0.000000,0.000000,events/second
1556558783,43,0.057562,0.000000,0.000000,0.000000,events/second
1556558786,43,0.057333,0.000000,0.000000,0.000000,events/second
1556558789,43,0.057103,0.000000,0.000000,0.000000,events/second
1556558792,43,0.056878,0.000000,0.000000,0.000000,events/second
1556558795,43,0.056653,0.000000,0.000000,0.000000,events/second
1556558798,43,0.056430,0.000000,0.000000,0.000000,events/second
1556558801,43,0.056208,0.000000,0.000000,0.000000,events/second
1556558804,43,0.055989,0.000000,0.000000,0.000000,events/second
1556558807,43,0.055771,0.000000,0.000000,0.000000,events/second
1556558810,43,0.055555,0.000000,0.000000,0.000000,events/second
1556558813,43,0.055340,0.000000,0.000000,0.000000,events/second
1556558816,43,0.055128,0.000000,0.000000,0.000000,events/second
1556558819,43,0.054917,0.000000,0.000000,0.000000,events/second
1556558822,43,0.054707,0.000000,0.000000,0.000000,events/second
1556558825,43,0.054499,0.000000,0.000000,0.000000,events/second
1556558828,43,0.054292,0.000000,0.000000,0.000000,events/second
1556558831,43,0.054087,0.000000,0.000000,0.000000,events/second
1556558834,43,0.053884,0.000000,0.000000,0.000000,events/second
1556558837,43,0.053682,0.000000,0.000000,0.000000,events/second
1556558840,43,0.053482,0.000000,0.000000,0.000000,events/second
1556558843,43,0.053283,0.000000,0.000000,0.000000,events/second
1556558846,43,0.053086,0.000000,0.000000,0.000000,events/second
1556558849,43,0.052890,0.000000,0.000000,0.000000,events/second
1556558852,43,0.052695,0.000000,0.000000,0.000000,events/second
1556558855,43,0.052502,0.000000,0.000000,0.000000,events/second
1556558858,43,0.052311,0.000000,0.000000,0.000000,events/second
1556558861,43,0.052121,0.000000,0.000000,0.000000,events/second
1556558864,43,0.051932,0.000000,0.000000,0.000000,events/second
1556558867,43,0.051744,0.000000,0.000000,0.000000,events/second
1556558870,43,0.051558,0.000000,0.000000,0.000000,events/second
1556558873,43,0.051374,0.000000,0.000000,0.000000,events/second
1556558876,43,0.051190,0.000000,0.000000,0.000000,events/second
1556558879,43,0.051008,0.000000,0.000000,0.000000,events/second
1556558882,43,0.050827,0.000000,0.000000,0.000000,events/second
1556558885,43,0.050647,0.000000,0.000000,0.000000,events/second
1556558888,43,0.050469,0.000000,0.000000,0.000000,events/second
1556558891,43,0.050292,0.000000,0.000000,0.000000,events/second
1556558894,43,0.050116,0.000000,0.000000,0.000000,events/second
1556558897,43,0.049941,0.000000,0.000000,0.000000,events/second
1556558900,43,0.049768,0.000000,0.000000,0.000000,events/second
1556558903,43,0.049596,0.000000,0.000000,0.000000,events/second
1556558906,43,0.049425,0.000000,0.000000,0.000000,events/second
1556558909,43,0.049255,0.000000,0.000000,0.000000,events/second
1556558912,43,0.049086,0.000000,0.000000,0.000000,events/second
1556558915,43,0.048919,0.000000,0.000000,0.000000,events/second
1556558918,43,0.048752,0.000000,0.000000,0.000000,events/second
1556558921,43,0.048587,0.000000,0.000000,0.000000,events/second
1556558924,44,0.049549,0.000000,0.000000,0.000000,events/second
1556558927,44,0.049382,0.000000,0.000000,0.000000,events/second
1556558930,44,0.049216,0.000000,0.000000,0.000000,events/second
1556558933,44,0.049052,0.000000,0.000000,0.000000,events/second
1556558936,44,0.048888,0.000000,0.000000,0.000000,events/second
1556558939,44,0.048726,0.000000,0.000000,0.000000,events/second
1556558942,44,0.048565,0.000000,0.000000,0.000000,events/second
1556558945,44,0.048405,0.000000,0.000000,0.000000,events/second
1556558948,44,0.048245,0.000000,0.000000,0.000000,events/second
1556558951,44,0.048087,0.000000,0.000000,0.000000,events/second
1556558954,44,0.047930,0.000000,0.000000,0.000000,events/second
1556558957,44,0.047774,0.000000,0.000000,0.000000,events/second
1556558960,44,0.047619,0.000000,0.000000,0.000000,events/second
1556558963,44,0.047465,0.000000,0.000000,0.000000,events/second
1556558966,44,0.047311,0.000000,0.000000,0.000000,events/second
1556558969,44,0.047159,0.000000,0.000000,0.000000,events/second
