t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558039,10,2.997515,0.000000,0.000000,0.000000,events/second
1556558042,12,1.991281,0.000000,0.000000,0.000000,events/second
1556558045,12,1.331460,0.000000,0.000000,0.000000,events/second
1556558048,12,0.998859,0.000000,0.000000,0.000000,events/second
1556558051,12,0.799061,0.000000,0.000000,0.000000,events/second
1556558054,12,0.666111,0.000000,0.000000,0.000000,events/second
1556558057,12,0.571072,0.000000,0.000000,0.000000,events/second
1556558060,12,0.499525,0.000000,0.000000,0.000000,events/second
1556558063,12,0.444277,0.000000,0.000000,0.000000,events/second
1556558066,12,0.399834,0.000000,0.000000,0.000000,events/second
1556558069,12,0.363501,0.000000,0.000000,0.000000,events/second
1556558072,12,0.333227,0.000000,0.000000,0.000000,events/second
1556558075,12,0.307588,0.000000,0.000000,0.000000,events/second
1556558078,12,0.285524,0.000000,0.000000,0.000000,events/second
1556558081,12,0.266604,0.000000,0.000000,0.000000,events/second
1556558084,12,0.249938,0.000000,0.000000,0.000000,events/second
1556558087,12,0.235247,0.000000,0.000000,0.000000,events/second
1556558090,12,0.222170,0.000000,0.000000,0.000000,events/second
1556558093,12,0.210478,0.000000,0.000000,0.000000,events/second
1556558096,12,0.199964,0.000000,0.000000,0.000000,events/second
1556558099,12,0.190424,0.000000,0.000000,0.000000,events/second
1556558102,12,0.181792,0.000000,0.000000,0.000000,events/second
1556558105,12,0.173869,0.000000,0.000000,0.000000,events/second
1556558108,12,0.166636,0.000000,0.000000,0.000000,events/second
1556558111,12,0.159977,0.000000,0.000000,0.000000,events/second
1556558114,12,0.153821,0.000000,0.000000,0.000000,events/second
1556558117,12,0.148130,0.000000,0.000000,0.000000,events/second
1556558120,12,0.142840,0.000000,0.000000,0.000000,events/second
1556558123,12,0.137913,0.000000,0.000000,0.000000,events/second
1556558126,12,0.133319,0.000000,0.000000,0.000000,events/second
1556558129,12,0.129018,0.000000,0.000000,0.000000,events/second
1556558132,12,0.124984,0.000000,0.000000,0.000000,events/second
1556558135,12,0.121203,0.000000,0.000000,0.000000,events/second
1556558138,12,0.117623,0.000000,0.000000,0.000000,events/second
1556558141,12,0.114274,0.000000,0.000000,0.000000,events/second
1556558144,12,0.111101,0.000000,0.000000,0.000000,events/second
1556558147,12,0.108098,0.000000,0.000000,0.000000,events/second
1556558150,12,0.105253,0.000000,0.000000,0.000000,events/second
1556558153,12,0.102554,0.000000,0.000000,0.000000,events/second
1556558156,12,0.099982,0.000000,0.000000,0.000000,events/second
1556558159,12,0.097546,0.000000,0.000000,0.000000,events/second
1556558162,12,0.095231,0.000000,0.000000,0.000000,events/second
