t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556558039,82,24.566083,0.000000,0.000000,0.000000,events/second
1556558042,104,17.256816,0.000000,0.000000,0.000000,events/second
1556558045,104,11.538855,0.000000,0.000000,0.000000,events/second
1556558048,104,8.656522,0.000000,0.000000,0.000000,events/second
1556558051,104,6.924844,0.000000,0.000000,0.000000,events/second
1556558054,104,5.772854,0.000000,0.000000,0.000000,events/second
1556558057,104,4.949237,0.000000,0.000000,0.000000,events/second
1556558060,104,4.329106,0.000000,0.000000,0.000000,events/second
1556558063,104,3.850370,0.000000,0.000000,0.000000,events/second
1556558066,104,3.465191,0.000000,0.000000,0.000000,events/second
1556558069,104,3.150314,0.000000,0.000000,0.000000,events/second
1556558072,104,2.887951,0.000000,0.000000,0.000000,events/second
1556558075,104,2.665741,0.000000,0.000000,0.000000,events/second
1556558078,104,2.474529,0.000000,0.000000,0.000000,events/second
1556558081,104,2.310550,0.000000,0.000000,0.000000,events/second
1556558084,104,2.166117,0.000000,0.000000,0.000000,events/second
1556558087,104,2.038793,0.000000,0.000000,0.000000,events/second
1556558090,104,1.925464,0.000000,0.000000,0.000000,events/second
1556558093,104,1.824131,0.000000,0.000000,0.000000,events/second
1556558096,104,1.733020,0.000000,0.000000,0.000000,events/second
1556558099,104,1.650336,0.000000,0.000000,0.000000,events/second
1556558102,104,1.575529,0.000000,0.000000,0.000000,events/second
1556558105,104,1.506862,0.000000,0.000000,0.000000,events/second
1556558108,104,1.444177,0.000000,0.000000,0.000000,events/second
1556558111,104,1.386465,0.000000,0.000000,0.000000,events/second
1556558114,104,1.333111,0.000000,0.000000,0.000000,events/second
1556558117,104,1.283791,0.000000,0.000000,0.000000,events/second
1556558120,104,1.237942,0.000000,0.000000,0.000000,events/second
1556558123,104,1.195239,0.000000,0.000000,0.000000,events/second
1556558126,104,1.155432,0.000000,0.000000,0.000000,events/second
1556558129,104,1.118150,0.000000,0.000000,0.000000,events/second
1556558132,104,1.083190,0.000000,0.000000,0.000000,events/second
1556558135,104,1.050428,0.000000,0.000000,0.000000,events/second
1556558138,104,1.019396,0.000000,0.000000,0.000000,events/second
1556558141,104,0.990374,0.000000,0.000000,0.000000,events/second
1556558144,104,0.962871,0.000000,0.000000,0.000000,events/second
1556558147,104,0.936849,0.000000,0.000000,0.000000,events/second
1556558150,104,0.912191,0.000000,0.000000,0.000000,events/second
1556558153,104,0.888798,0.000000,0.000000,0.000000,events/second
1556558156,104,0.866507,0.000000,0.000000,0.000000,events/second
1556558159,104,0.845395,0.000000,0.000000,0.000000,events/second
1556558162,104,0.825339,0.000000,0.000000,0.000000,events/second
1556558165,104,0.806148,0.000000,0.000000,0.000000,events/second
1556558168,104,0.787825,0.000000,0.000000,0.000000,events/second
1556558171,104,0.770317,0.000000,0.000000,0.000000,events/second
1556558174,104,0.753537,0.000000,0.000000,0.000000,events/second
1556558177,104,0.737547,0.000000,0.000000,0.000000,events/second
1556558180,104,0.722165,0.000000,0.000000,0.000000,events/second
1556558183,104,0.707438,0.000000,0.000000,0.000000,events/second
1556558186,104,0.693287,0.000000,0.000000,0.000000,events/second
1556558189,104,0.679700,0.000000,0.000000,0.000000,events/second
1556558192,104,0.666599,0.000000,0.000000,0.000000,events/second
1556558195,104,0.654057,0.000000,0.000000,0.000000,events/second
1556558198,104,0.641938,0.000000,0.000000,0.000000,events/second
1556558201,104,0.630264,0.000000,0.000000,0.000000,events/second
1556558204,104,0.619011,0.000000,0.000000,0.000000,events/second
1556558207,104,0.608149,0.000000,0.000000,0.000000,events/second
1556558210,104,0.597675,0.000000,0.000000,0.000000,events/second
1556558213,104,0.587546,0.000000,0.000000,0.000000,events/second
1556558216,104,0.577743,0.000000,0.000000,0.000000,events/second
1556558219,104,0.568287,0.000000,0.000000,0.000000,events/second
1556558222,104,0.559111,0.000000,0.000000,0.000000,events/second
1556558225,104,0.550245,0.000000,0.000000,0.000000,events/second
1556558228,104,0.541639,0.000000,0.000000,0.000000,events/second
1556558231,104,0.533317,0.000000,0.000000,0.000000,events/second
1556558234,104,0.525224,0.000000,0.000000,0.000000,events/second
1556558237,104,0.517394,0.000000,0.000000,0.000000,events/second
1556558240,104,0.509777,0.000000,0.000000,0.000000,events/second
1556558243,104,0.502396,0.000000,0.000000,0.000000,events/second
1556558246,104,0.495218,0.000000,0.000000,0.000000,events/second
1556558249,104,0.488239,0.000000,0.000000,0.000000,events/second
1556558252,104,0.481465,0.000000,0.000000,0.000000,events/second
1556558255,104,0.474861,0.000000,0.000000,0.000000,events/second
1556558258,104,0.468454,0.000000,0.000000,0.000000,events/second
1556558261,104,0.462207,0.000000,0.000000,0.000000,events/second
1556558264,104,0.456119,0.000000,0.000000,0.000000,events/second
1556558267,104,0.450201,0.000000,0.000000,0.000000,events/second
1556558270,104,0.444430,0.000000,0.000000,0.000000,events/second
1556558273,104,0.438798,0.000000,0.000000,0.000000,events/second
1556558276,104,0.433302,0.000000,0.000000,0.000000,events/second
1556558279,104,0.427969,0.000000,0.000000,0.000000,events/second
1556558282,104,0.422748,0.000000,0.000000,0.000000,events/second
1556558285,104,0.417652,0.000000,0.000000,0.000000,events/second
1556558288,104,0.412681,0.000000,0.000000,0.000000,events/second
1556558291,104,0.407825,0.000000,0.000000,0.000000,events/second
1556558294,114,0.441826,0.000000,0.000000,0.000000,events/second
1556558297,114,0.436766,0.000000,0.000000,0.000000,events/second
1556558300,114,0.431801,0.000000,0.000000,0.000000,events/second
1556558303,114,0.426952,0.000000,0.000000,0.000000,events/second
1556558306,114,0.422209,0.000000,0.000000,0.000000,events/second
1556558309,114,0.417566,0.000000,0.000000,0.000000,events/second
1556558312,114,0.413031,0.000000,0.000000,0.000000,events/second
1556558315,114,0.408589,0.000000,0.000000,0.000000,events/second
1556558318,114,0.404241,0.000000,0.000000,0.000000,events/second
1556558321,114,0.399984,0.000000,0.000000,0.000000,events/second
1556558324,114,0.395822,0.000000,0.000000,0.000000,events/second
1556558327,114,0.391743,0.000000,0.000000,0.000000,events/second
1556558330,114,0.387743,0.000000,0.000000,0.000000,events/second
1556558333,114,0.383827,0.000000,0.000000,0.000000,events/second
1556558336,114,0.379984,0.000000,0.000000,0.000000,events/second
1556558339,114,0.376224,0.000000,0.000000,0.000000,events/second
1556558342,114,0.372537,0.000000,0.000000,0.000000,events/second
1556558345,114,0.368917,0.000000,0.000000,0.000000,events/second
1556558348,114,0.365357,0.000000,0.000000,0.000000,events/second
1556558351,114,0.361896,0.000000,0.000000,0.000000,events/second
1556558354,114,0.358482,0.000000,0.000000,0.000000,events/second
1556558357,114,0.355131,0.000000,0.000000,0.000000,events/second
1556558360,114,0.351826,0.000000,0.000000,0.000000,events/second
1556558363,114,0.348609,0.000000,0.000000,0.000000,events/second
1556558366,114,0.345432,0.000000,0.000000,0.000000,events/second
