t,value
1556558039,12
1556558042,12
1556558045,12
1556558048,12
1556558051,12
1556558054,12
1556558057,12
1556558060,12
1556558063,12
1556558066,12
1556558069,12
1556558072,12
1556558075,12
1556558078,12
1556558081,12
1556558084,12
1556558087,12
1556558090,12
1556558093,12
1556558096,12
1556558099,12
1556558102,12
1556558105,12
1556558108,12
1556558111,12
1556558114,12
1556558117,12
1556558120,12
1556558123,12
1556558126,12
1556558129,12
1556558132,12
1556558135,12
1556558138,12
1556558141,12
1556558144,12
1556558147,12
1556558150,12
1556558153,12
1556558156,12
1556558159,12
1556558162,12
1556558165,12
1556558168,12
1556558171,12
1556558174,12
1556558177,12
1556558180,12
1556558183,12
1556558186,12
1556558189,12
1556558192,12
1556558195,12
1556558198,12
1556558201,12
1556558204,12
1556558207,12
1556558210,12
1556558213,12
1556558216,12
1556558219,12
1556558222,12
1556558225,12
1556558228,12
1556558231,12
1556558234,12
1556558237,12
1556558240,12
1556558243,12
1556558246,12
1556558249,12
1556558252,12
1556558255,12
1556558258,12
1556558261,12
1556558264,12
1556558267,12
1556558270,12
1556558273,12
1556558276,12
1556558279,14
1556558282,14
1556558285,14
1556558288,14
1556558291,14
1556558294,14
1556558297,13
1556558300,13
1556558303,13
1556558306,13
1556558309,13
1556558312,13
1556558315,13
1556558318,13
1556558321,13
1556558324,13
1556558327,13
1556558330,13
1556558333,13
1556558336,32
1556558339,32
1556558342,32
1556558345,32
1556558348,32
1556558351,33
1556558354,33
1556558357,33
1556558360,33
1556558363,33
1556558366,33
1556558369,33
1556558372,33
1556558375,36
1556558378,36
1556558381,36
1556558384,37
1556558387,37
1556558390,37
1556558393,37
1556558396,37
1556558399,37
1556558402,37
1556558405,38
1556558408,38
1556558411,38
1556558414,38
1556558417,38
1556558420,38
1556558423,38
1556558426,38
1556558429,38
1556558432,38
1556558435,38
1556558438,38
1556558441,38
1556558444,38
1556558447,38
1556558450,38
1556558453,38
1556558456,38
1556558459,38
1556558462,38
1556558465,38
1556558468,38
1556558471,38
1556558474,38
1556558477,38
1556558480,38
1556558483,38
1556558486,38
1556558489,38
1556558492,38
1556558495,38
1556558498,38
1556558501,38
1556558504,38
1556558507,38
1556558510,38
1556558513,38
1556558516,38
1556558519,38
1556558522,38
1556558525,38
1556558528,38
1556558531,38
1556558534,38
1556558537,38
1556558540,38
1556558543,38
1556558546,38
1556558549,38
1556558552,38
1556558555,38
1556558558,38
1556558561,38
1556558564,38
1556558567,35
1556558570,35
1556558573,35
1556558576,35
1556558579,35
1556558582,35
1556558585,35
1556558588,35
1556558591,35
1556558594,35
1556558597,35
1556558600,35
1556558603,35
1556558606,35
1556558609,35
1556558612,35
1556558615,36
1556558618,36
1556558621,36
1556558624,36
1556558627,36
1556558630,36
1556558633,36
1556558636,36
1556558639,36
1556558642,36
1556558645,36
1556558648,36
1556558651,36
1556558654,36
1556558657,36
1556558660,36
1556558663,36
1556558666,36
1556558669,36
1556558672,36
1556558675,36
1556558678,36
1556558681,36
1556558684,36
1556558687,36
1556558690,36
1556558693,36
1556558696,36
1556558699,36
1556558702,36
1556558705,36
1556558708,36
1556558711,36
1556558714,36
1556558717,36
1556558720,36
1556558723,36
1556558726,36
1556558729,36
1556558732,36
1556558735,36
1556558738,36
1556558741,36
1556558744,36
1556558747,36
1556558750,36
1556558753,36
1556558756,36
1556558759,36
1556558762,36
1556558765,36
1556558768,36
1556558771,36
