t,value
1556558039,15390016
1556558042,17309760
1556558045,17575232
1556558048,17794624
1556558051,17432768
1556558054,17878400
1556558057,17906624
1556558060,18040448
1556558063,18086144
1556558066,18123200
1556558069,17591040
1556558072,17623488
1556558075,17688256
1556558078,17683392
1556558081,17687552
1556558084,17763200
1556558087,17819328
1556558090,17892480
1556558093,17882112
1556558096,17933376
1556558099,17972288
1556558102,17961216
1556558105,17956928
1556558108,17986368
1556558111,18007360
1556558114,18016960
1556558117,18023936
1556558120,18084992
1556558123,18108800
1556558126,18147072
1556558129,18147520
1556558132,18169664
1556558135,18239104
1556558138,18255936
1556558141,18289152
1556558144,18217792
1556558147,18228288
1556558150,18240064
1556558153,18272512
1556558156,18280576
1556558159,18310208
1556558162,18357120
1556558165,18426048
1556558168,18470144
1556558171,18477440
1556558174,18535232
1556558177,18558528
1556558180,18609472
1556558183,18576896
1556558186,18603712
1556558189,18614336
1556558192,18630208
1556558195,18673792
1556558198,18679872
1556558201,18700416
1556558204,18704640
1556558207,18689664
1556558210,18703680
1556558213,18735424
1556558216,18735488
1556558219,18764608
1556558222,18769472
1556558225,18798848
1556558228,18805696
1556558231,18875968
1556558234,18927232
1556558237,18949824
1556558240,18970240
1556558243,18983040
1556558246,19017024
1556558249,19055616
1556558252,19070208
1556558255,19053824
1556558258,19054656
1556558261,19052864
1556558264,19053824
1556558267,19066048
1556558270,19085952
1556558273,19093440
1556558276,19110848
1556558279,19138432
1556558282,19392384
1556558285,19408384
1556558288,19409536
1556558291,19461120
1556558294,19484672
1556558297,19523200
1556558300,19532416
1556558303,19533760
1556558306,19576000
1556558309,19593344
1556558312,19595712
1556558315,19668480
1556558318,19668480
1556558321,19729984
1556558324,20051584
1556558327,20057216
1556558330,20058368
1556558333,20076992
1556558336,20280896
1556558339,20328256
1556558342,20364032
1556558345,20402432
1556558348,20443456
1556558351,20534656
1556558354,20563200
1556558357,20608192
1556558360,20624640
1556558363,20779136
1556558366,20780416
1556558369,20831488
1556558372,20841280
1556558375,25142912
1556558378,25149696
1556558381,25157568
1556558384,25184448
1556558387,25195584
1556558390,25204480
1556558393,25425280
1556558396,25447808
1556558399,25459392
1556558402,25465088
1556558405,25471360
1556558408,25472448
1556558411,25484352
1556558414,25210112
1556558417,25215104
1556558420,25260096
1556558423,25320256
1556558426,25352384
1556558429,25375360
1556558432,25375360
1556558435,25540160
1556558438,25540160
1556558441,25561216
1556558444,25567168
1556558447,25581440
1556558450,25582144
1556558453,25780992
1556558456,25785536
1556558459,25803136
1556558462,25804224
1556558465,25804224
1556558468,25812032
1556558471,25816704
1556558474,25919424
1556558477,25922432
1556558480,25922112
1556558483,25957504
1556558486,25958720
1556558489,25953792
1556558492,26002688
1556558495,26117952
1556558498,26220736
1556558501,26251200
1556558504,26255040
1556558507,26258496
1556558510,26264320
1556558513,26260032
1556558516,26258496
1556558519,26264576
1556558522,26264576
1556558525,26243840
1556558528,26244736
1556558531,26288384
1556558534,26309248
1556558537,26365056
1556558540,26415616
1556558543,26413824
1556558546,26413824
1556558549,26427776
1556558552,26459392
1556558555,26461760
1556558558,26468864
1556558561,26461824
1556558564,26468992
1556558567,26488384
1556558570,26499584
1556558573,26512320
1556558576,26518656
1556558579,26589696
1556558582,26595136
1556558585,26601344
1556558588,26612544
1556558591,26665728
1556558594,26668416
1556558597,26669760
1556558600,26776768
1556558603,26776768
1556558606,26788032
1556558609,26754368
1556558612,27863104
1556558615,30651840
1556558618,30741888
1556558621,30737024
1556558624,31287360
1556558627,31294976
1556558630,31301824
1556558633,31302784
1556558636,31295488
1556558639,31240576
1556558642,31283840
1556558645,31291328
1556558648,31354112
1556558651,31272000
1556558654,31273088
1556558657,31307328
1556558660,31514752
1556558663,31513920
1556558666,31334656
1556558669,31424576
1556558672,31441024
1556558675,31462208
1556558678,31458304
1556558681,31460544
1556558684,31440704
1556558687,31261376
1556558690,31163904
1556558693,31190720
1556558696,31216896
1556558699,31404352
1556558702,31431168
1556558705,31456512
1556558708,31477184
1556558711,31476032
1556558714,31476032
1556558717,31469056
1556558720,31496960
1556558723,31515200
1556558726,31578368
1556558729,31602048
1556558732,31602048
1556558735,31603840
1556558738,31659072
1556558741,31723776
1556558744,31745280
1556558747,31745280
1556558750,31745216
1556558753,31745216
1556558756,31750528
1556558759,31778304
1556558762,31781184
1556558765,31783488
1556558768,31783488
1556558771,31784256
1556558774,31793600
1556558777,31796160
1556558780,31852288
1556558783,31852288
1556558786,31884096
1556558789,31917760
1556558792,31917760
1556558795,31916480
1556558798,31922752
1556558801,31972480
1556558804,31998144
1556558807,32035712
1556558810,32042496
1556558813,32042496
1556558816,32040896
1556558819,32032576
1556558822,32056640
1556558825,32057728
1556558828,32068480
1556558831,32089920
1556558834,32089920
1556558837,32089920
1556558840,32090496
1556558843,32163008
1556558846,32186176
1556558849,32223616
1556558852,32223616
1556558855,32224256
1556558858,32224256
1556558861,32328960
1556558864,32328960
1556558867,32328960
1556558870,32342720
1556558873,32342720
1556558876,32347200
1556558879,32356224
1556558882,32373824
1556558885,32386816
1556558888,32418048
1556558891,32418048
1556558894,32417728
1556558897,32419776
1556558900,32421184
1556558903,32531840
1556558906,32531840
1556558909,32623616
1556558912,32636480
1556558915,32648512
1556558918,32648512
1556558921,32652864
1556558924,32640896
1556558927,32647168
1556558930,32648064
1556558933,32648064
1556558936,32680256
1556558939,32680256
1556558942,32680256
1556558945,32761408
1556558948,32765056
1556558951,32765056
1556558954,32765056
1556558957,32825408
1556558960,32843200
1556558963,32846656
1556558966,32877568
1556558969,32877568
t,value
1556559421,15887360
1556559424,16094976
1556559427,18336896
1556559430,20510400
1556559433,20611392
1556559436,20655808
1556559439,20676544
1556559442,20677312
1556559445,20729408
1556559448,21192448
1556559451,21256768
1556559454,21240832
1556559457,21156864
1556559460,21185664
1556559463,21243968
1556559466,21316736
1556559469,21596032
1556559472,21643456
1556559475,21739648
1556559478,21750912
1556559481,21398208
1556559484,21407040
1556559487,21463744
1556559490,21650944
1556559493,21664768
1556559496,21696512
1556559499,21715200
1556559502,21747520
1556559505,21741504
1556559508,21734272
1556559511,21750848
1556559514,21789376
1556559517,21818752
1556559520,21848000
1556559523,21849664
1556559526,21882240
1556559529,21899520
1556559532,22079360
1556559535,22063104
1556559538,22013056
1556559541,22054592
1556559544,22065216
1556559547,22139648
1556559550,22200704
1556559553,22307392
1556559556,22340992
1556559559,22344128
1556559562,22404096
1556559565,22438976
1556559568,22449408
1556559571,22432000
1556559574,22513152
1556559577,22534656
1556559580,22554944
1556559583,22555584
1556559586,22636800
1556559589,22652352
1556559592,22695232
1556559595,22752576
1556559598,22763520
1556559601,22753088
1556559604,22751680
1556559607,22755904
1556559610,22775744
1556559613,22786304
1556559616,22872704
1556559619,22888000
1556559622,22896896
1556559625,22951616
1556559628,22960128
1556559631,23009600
1556559634,23004800
1556559637,22895552
1556559640,22953344
1556559643,22953344
1556559646,22999936
1556559649,23035456
1556559652,23042624
1556559655,23067456
1556559658,23199296
1556559661,23223872
1556559664,23234432
1556559667,23242240
1556559670,23320000
1556559673,23320704
1556559676,23308736
1556559679,23346688
1556559682,23346624
1556559685,23362560
1556559688,23375680
1556559691,23446272
1556559694,23450368
1556559697,23478208
1556559700,23536896
1556559703,23541632
1556559706,23551040
1556559709,23551040
1556559712,23553856
1556559715,23581248
1556559718,23602048
1556559721,23690048
1556559724,23690048
1556559727,23714944
1556559730,23722688
1556559733,23727360
1556559736,23684992
1556559739,23684992
1556559742,23717888
1556559745,23735040
1556559748,23743616
1556559751,23768960
1556559754,23775744
1556559757,23779200
1556559760,23780736
1556559763,23838656
1556559766,23851008
1556559769,23860992
1556559772,23874880
1556559775,23882048
1556559778,23877184
1556559781,23864000
1556559784,23862720
1556559787,23895104
1556559790,23903552
1556559793,23903552
1556559796,23924416
1556559799,23924416
1556559802,23980800
1556559805,24172928
1556559808,24212096
1556559811,24250560
1556559814,24252352
1556559817,24265472
1556559820,24284544
1556559823,24285120
1556559826,24271552
1556559829,24282176
1556559832,24286848
1556559835,24313408
1556559838,24334016
1556559841,24354304
1556559844,24365696
1556559847,24501568
1556559850,24524864
1556559853,24524864
1556559856,24528576
1556559859,24528576
1556559862,24566336
1556559865,24585280
1556559868,24718528
1556559871,24740288
1556559874,24742400
1556559877,24748480
1556559880,24764544
1556559883,24776960
1556559886,24777536
1556559889,24844544
1556559892,24859776
1556559895,24905344
1556559898,24914624
1556559901,24946304
1556559904,24946304
1556559907,24951680
1556559910,25000832
1556559913,25003456
1556559916,25006528
1556559919,25006528
1556559922,25027072
1556559925,25107072
1556559928,25107072
1556559931,25130560
1556559934,25152448
1556559937,25157568
1556559940,25193792
1556559943,25194304
1556559946,25226240
1556559949,25279104
1556559952,25285312
1556559955,25287040
1556559958,25295808
1556559961,25309312
1556559964,25309312
1556559967,25321024
1556559970,25419200
1556559973,25420480
1556559976,25421760
1556559979,25425472
1556559982,25436672
1556559985,25441152
1556559988,25409024
1556559991,25479424
1556559994,25483072
1556559997,25520256
1556560000,25527488
1556560003,25528192
1556560006,25578432
1556560009,25578432
1556560012,25731584
1556560015,25735744
1556560018,25773504
1556560021,25773632
1556560024,25840768
1556560027,25847936
1556560030,25848640
1556560033,25933184
1556560036,25933184
1556560039,25933184
1556560042,25934400
1556560045,25934400
