t,value
1556558039,61316160
1556558042,78469904
1556558045,78480192
1556558048,78513720
1556558051,78579136
1556558054,78690792
1556558057,78696280
1556558060,78707168
1556558063,78719856
1556558066,78737464
1556558069,78750656
1556558072,78759584
1556558075,78773400
1556558078,78775984
1556558081,78785080
1556558084,78801040
1556558087,78807200
1556558090,78817808
1556558093,78832624
1556558096,78841424
1556558099,78850160
1556558102,78857312
1556558105,78863456
1556558108,78866920
1556558111,78869984
1556558114,78872072
1556558117,78878200
1556558120,78888400
1556558123,78889640
1556558126,78896856
1556558129,78905856
1556558132,78908616
1556558135,78927472
1556558138,78931728
1556558141,78950800
1556558144,78957600
1556558147,78958464
1556558150,78959288
1556558153,78959920
1556558156,78961320
1556558159,78970816
1556558162,78976336
1556558165,78980680
1556558168,78982920
1556558171,78984712
1556558174,78997272
1556558177,79000112
1556558180,79013520
1556558183,79013520
1556558186,79018952
1556558189,79025312
1556558192,79025656
1556558195,79029712
1556558198,79030208
1556558201,79030208
1556558204,79031992
1556558207,79032936
1556558210,79036528
1556558213,79036528
1556558216,79038472
1556558219,79050120
1556558222,79051568
1556558225,79053760
1556558228,79055480
1556558231,79078736
1556558234,79094680
1556558237,79099704
1556558240,79101792
1556558243,79103584
1556558246,79117960
1556558249,79129680
1556558252,79135840
1556558255,79137872
1556558258,79138160
1556558261,79138720
1556558264,79140552
1556558267,79142288
1556558270,79148512
1556558273,79150760
1556558276,79158688
1556558279,79167160
1556558282,79203072
1556558285,79220976
1556558288,79223408
1556558291,79231344
1556558294,79235424
1556558297,79244552
1556558300,79246720
1556558303,79246720
1556558306,79257088
1556558309,79262768
1556558312,79262768
1556558315,79264656
1556558318,79264656
1556558321,79280760
1556558324,79318536
1556558327,79319536
1556558330,79320544
1556558333,79326536
1556558336,82041008
1556558339,82047256
1556558342,82058032
1556558345,82066416
1556558348,82071864
1556558351,82089864
1556558354,82103304
1556558357,82104672
1556558360,82106352
1556558363,83824808
1556558366,83827264
1556558369,83838912
1556558372,83839856
1556558375,87992672
1556558378,87994816
1556558381,87997064
1556558384,88001480
1556558387,88002840
1556558390,88004896
1556558393,88043808
1556558396,88046792
1556558399,88047976
1556558402,88048512
1556558405,88057808
1556558408,88058184
1556558411,88059104
1556558414,88102944
1556558417,88102944
1556558420,88107616
1556558423,88123184
1556558426,88128008
1556558429,88133168
1556558432,88133168
1556558435,88172136
1556558438,88172136
1556558441,88180424
1556558444,88180424
1556558447,88183792
1556558450,88183792
1556558453,88207544
1556558456,88208960
1556558459,88214184
1556558462,88214496
1556558465,88214496
1556558468,88217480
1556558471,88220472
1556558474,88233200
1556558477,88233200
1556558480,88235640
1556558483,88242504
1556558486,88243512
1556558489,88252488
1556558492,88267032
1556558495,88281520
1556558498,88297664
1556558501,88303896
1556558504,88305120
1556558507,88305800
1556558510,88306240
1556558513,88306976
1556558516,88332728
1556558519,88333472
1556558522,88333472
1556558525,88340360
1556558528,88340648
1556558531,88348224
1556558534,88356672
1556558537,88368056
1556558540,88371528
1556558543,88376672
1556558546,88376672
1556558549,88380784
1556558552,88385280
1556558555,88385280
1556558558,88391328
1556558561,88391328
1556558564,88394760
1556558567,88395664
1556558570,88396824
1556558573,88397240
1556558576,88405440
1556558579,88418680
1556558582,88419040
1556558585,88419528
1556558588,88420040
1556558591,88427336
1556558594,88427768
1556558597,88428088
1556558600,88445544
1556558603,88445544
1556558606,88448272
1556558609,88451552
1556558612,90784456
1556558615,93065320
1556558618,93072520
1556558621,93072968
1556558624,93490488
1556558627,93491848
1556558630,93492288
1556558633,93492592
1556558636,93493704
1556558639,93845448
1556558642,93845448
1556558645,93845992
1556558648,93853544
1556558651,93857008
1556558654,93857384
1556558657,93865656
1556558660,93948936
1556558663,93980568
1556558666,93980960
1556558669,93991904
1556558672,93992560
1556558675,94000728
1556558678,94008256
1556558681,94008288
1556558684,94008288
1556558687,94010088
1556558690,94020456
1556558693,94021968
1556558696,94028752
1556558699,94068376
1556558702,94070000
1556558705,94072752
1556558708,94080600
1556558711,94080600
1556558714,94080600
1556558717,94080600
1556558720,94089208
1556558723,94090792
1556558726,94091168
1556558729,94097624
1556558732,94097624
1556558735,94097624
1556558738,94104024
1556558741,94108264
1556558744,94111968
1556558747,94111968
1556558750,94113472
1556558753,94113472
1556558756,94113776
1556558759,94119272
1556558762,94119272
1556558765,94119272
1556558768,94119272
1556558771,94119272
1556558774,94123120
1556558777,94123120
1556558780,94133368
1556558783,94133368
1556558786,94134528
1556558789,94140992
1556558792,94140992
1556558795,94140992
1556558798,94140992
1556558801,94153424
1556558804,94164496
1556558807,94169896
1556558810,94170632
1556558813,94170632
1556558816,94171120
1556558819,94172272
1556558822,94186824
1556558825,94186824
1556558828,94186824
1556558831,94187768
1556558834,94187768
1556558837,94187768
1556558840,94187768
1556558843,94205584
1556558846,94209200
1556558849,94217056
1556558852,94217056
1556558855,94224392
1556558858,94224392
1556558861,94241792
1556558864,94241792
1556558867,94241792
1556558870,94242480
1556558873,94242480
1556558876,94242480
1556558879,94242480
1556558882,94248320
1556558885,94248320
1556558888,94253512
1556558891,94253512
1556558894,94253512
1556558897,94253512
1556558900,94253512
1556558903,94263584
1556558906,94263584
1556558909,94278096
1556558912,94278096
1556558915,94278096
1556558918,94278096
1556558921,94361344
1556558924,94361880
1556558927,94361880
1556558930,94361880
1556558933,94361880
1556558936,94363544
1556558939,94363544
1556558942,94363544
1556558945,94367360
1556558948,94367360
1556558951,94367360
1556558954,94367360
1556558957,94370240
1556558960,94370536
1556558963,94371208
1556558966,94378048
1556558969,94378112
t,value
1556559421,75277872
1556559424,75900360
1556559427,81686736
1556559430,83994592
1556559433,84007416
1556559436,84018480
1556559439,84028048
1556559442,84031512
1556559445,84047048
1556559448,84129256
1556559451,84140712
1556559454,84145136
1556559457,84159296
1556559460,84167592
1556559463,84174600
1556559466,84191632
1556559469,84216272
1556559472,84223312
1556559475,84243008
1556559478,84245848
1556559481,84252648
1556559484,84253888
1556559487,84274168
1556559490,84325736
1556559493,84326544
1556559496,84331656
1556559499,84335080
