t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560428,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560431,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560434,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560437,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560440,131,8.052365,0.000000,0.000000,0.000000,events/second
1556560443,984,51.084360,0.000000,0.000000,0.000000,events/second
1556560446,1175,52.778880,0.000000,0.000000,0.000000,events/second
1556560449,1175,46.514855,0.000000,0.000000,0.000000,events/second
1556560452,1175,41.574414,0.000000,0.000000,0.000000,events/second
1556560455,1175,37.569279,0.000000,0.000000,0.000000,events/second
1556560458,1175,34.285832,0.000000,0.000000,0.000000,events/second
1556560461,1177,31.589379,0.000000,0.000000,0.000000,events/second
1556560464,1177,29.230509,0.000000,0.000000,0.000000,events/second
1556560467,1177,27.207663,0.000000,0.000000,0.000000,events/second
1556560470,1177,25.442964,0.000000,0.000000,0.000000,events/second
1556560473,1177,23.892966,0.000000,0.000000,0.000000,events/second
1556560476,1177,22.521628,0.000000,0.000000,0.000000,events/second
1556560479,1177,21.298667,0.000000,0.000000,0.000000,events/second
1556560482,1205,20.682488,0.000000,0.000000,0.000000,events/second
1556560485,1205,19.666384,0.000000,0.000000,0.000000,events/second
1556560488,1293,20.116977,0.000000,0.000000,0.000000,events/second
1556560491,1333,19.814379,0.000000,0.000000,0.000000,events/second
1556560494,1333,18.971856,0.000000,0.000000,0.000000,events/second
1556560497,1333,18.194940,0.000000,0.000000,0.000000,events/second
1556560500,1333,17.478230,0.000000,0.000000,0.000000,events/second
1556560503,1353,17.070049,0.000000,0.000000,0.000000,events/second
1556560506,1353,16.446910,0.000000,0.000000,0.000000,events/second
1556560509,1353,15.866415,0.000000,0.000000,0.000000,events/second
1556560512,1353,15.329404,0.000000,0.000000,0.000000,events/second
1556560515,1353,14.825410,0.000000,0.000000,0.000000,events/second
