t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560428,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560431,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560434,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560437,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560440,105,6.454076,0.000000,0.000000,0.000000,events/second
1556560443,915,47.501731,0.000000,0.000000,0.000000,events/second
1556560446,1056,47.432708,0.000000,0.000000,0.000000,events/second
1556560449,1056,41.803811,0.000000,0.000000,0.000000,events/second
1556560452,1056,37.363675,0.000000,0.000000,0.000000,events/second
1556560455,1056,33.764212,0.000000,0.000000,0.000000,events/second
1556560458,1056,30.813291,0.000000,0.000000,0.000000,events/second
1556560461,1060,28.449134,0.000000,0.000000,0.000000,events/second
1556560464,1060,26.324722,0.000000,0.000000,0.000000,events/second
1556560467,1060,24.503014,0.000000,0.000000,0.000000,events/second
1556560470,1060,22.913755,0.000000,0.000000,0.000000,events/second
1556560473,1060,21.517820,0.000000,0.000000,0.000000,events/second
1556560476,1060,20.282791,0.000000,0.000000,0.000000,events/second
1556560479,1060,19.181421,0.000000,0.000000,0.000000,events/second
1556560482,1081,18.554117,0.000000,0.000000,0.000000,events/second
1556560485,1081,17.642572,0.000000,0.000000,0.000000,events/second
1556560488,1153,17.938761,0.000000,0.000000,0.000000,events/second
1556560491,1181,17.554948,0.000000,0.000000,0.000000,events/second
1556560494,1181,16.808471,0.000000,0.000000,0.000000,events/second
1556560497,1181,16.120164,0.000000,0.000000,0.000000,events/second
1556560500,1181,15.485179,0.000000,0.000000,0.000000,events/second
1556560503,1197,15.101836,0.000000,0.000000,0.000000,events/second
1556560506,1197,14.550567,0.000000,0.000000,0.000000,events/second
1556560509,1197,14.036963,0.000000,0.000000,0.000000,events/second
1556560512,1197,13.561902,0.000000,0.000000,0.000000,events/second
1556560515,1197,13.116028,0.000000,0.000000,0.000000,events/second
