t,value
1556560425,0
1556560428,0
1556560431,0
1556560434,0
1556560437,0
1556560440,2
1556560443,3
1556560446,4
1556560449,4
1556560452,4
1556560455,4
1556560458,4
1556560461,4
1556560464,4
1556560467,4
1556560470,4
1556560473,4
1556560476,4
1556560479,4
1556560482,4
1556560485,4
1556560488,4
1556560491,4
1556560494,4
1556560497,4
1556560500,4
1556560503,4
1556560506,4
1556560509,4
1556560512,4
1556560515,4
1556560518,4
1556560521,4
1556560524,4
1556560527,4
1556560530,4
1556560533,4
1556560536,4
1556560539,4
1556560542,4
1556560545,4
1556560548,4
1556560551,4
1556560554,4
1556560557,4
1556560560,4
1556560563,4
1556560566,4
1556560569,4
1556560572,4
1556560575,4
1556560578,4
1556560581,4
1556560584,4
1556560587,4
1556560590,4
1556560593,4
1556560596,4
1556560599,4
1556560602,4
1556560605,4
1556560608,4
1556560611,4
1556560614,4
1556560617,4
1556560620,4
1556560623,4
1556560626,4
1556560629,4
1556560632,4
1556560635,4
1556560638,4
1556560641,4
1556560644,4
1556560647,4
1556560650,4
1556560653,4
1556560656,4
1556560659,4
1556560662,4
1556560665,4
1556560668,4
1556560671,4
1556560674,4
1556560677,4
1556560680,4
1556560683,4
1556560686,4
1556560689,4
1556560692,4
1556560695,4
1556560698,4
1556560701,4
1556560704,4
1556560707,4
1556560710,4
1556560713,4
1556560716,4
1556560719,4
1556560722,4
1556560725,4
1556560728,4
1556560731,4
1556560734,4
1556560737,4
1556560740,4
1556560743,4
1556560746,4
1556560749,4
1556560752,4
1556560755,4
1556560758,4
1556560761,4
1556560764,4
1556560767,4
1556560770,4
1556560773,4
1556560776,4
1556560779,4
1556560782,4
1556560785,4
1556560788,4
1556560791,4
1556560794,4
1556560797,4
1556560800,4
1556560803,4
1556560806,4
1556560809,4
1556560812,4
1556560815,4
1556560818,4
1556560821,4
1556560824,4
1556560827,4
