t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560428,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560431,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560434,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560437,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560440,4,0.245862,0.000000,0.000000,0.000000,events/second
1556560443,4,0.207654,0.000000,0.000000,0.000000,events/second
1556560446,4,0.179662,0.000000,0.000000,0.000000,events/second
1556560449,4,0.158346,0.000000,0.000000,0.000000,events/second
1556560452,4,0.141527,0.000000,0.000000,0.000000,events/second
1556560455,4,0.127894,0.000000,0.000000,0.000000,events/second
1556560458,4,0.116716,0.000000,0.000000,0.000000,events/second
1556560461,4,0.107354,0.000000,0.000000,0.000000,events/second
1556560464,4,0.099338,0.000000,0.000000,0.000000,events/second
1556560467,4,0.092464,0.000000,0.000000,0.000000,events/second
1556560470,4,0.086467,0.000000,0.000000,0.000000,events/second
1556560473,4,0.081199,0.000000,0.000000,0.000000,events/second
1556560476,4,0.076538,0.000000,0.000000,0.000000,events/second
1556560479,4,0.072382,0.000000,0.000000,0.000000,events/second
1556560482,4,0.068655,0.000000,0.000000,0.000000,events/second
1556560485,4,0.065282,0.000000,0.000000,0.000000,events/second
1556560488,4,0.062233,0.000000,0.000000,0.000000,events/second
1556560491,4,0.059458,0.000000,0.000000,0.000000,events/second
1556560494,4,0.056929,0.000000,0.000000,0.000000,events/second
1556560497,4,0.054598,0.000000,0.000000,0.000000,events/second
1556560500,4,0.052447,0.000000,0.000000,0.000000,events/second
1556560503,4,0.050465,0.000000,0.000000,0.000000,events/second
1556560506,4,0.048623,0.000000,0.000000,0.000000,events/second
1556560509,4,0.046907,0.000000,0.000000,0.000000,events/second
1556560512,4,0.045319,0.000000,0.000000,0.000000,events/second
1556560515,4,0.043830,0.000000,0.000000,0.000000,events/second
1556560518,4,0.042435,0.000000,0.000000,0.000000,events/second
