t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560428,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560431,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560434,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560437,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560440,19,1.167833,0.000000,0.000000,0.000000,events/second
1556560443,35,1.816955,0.000000,0.000000,0.000000,events/second
1556560446,51,2.290654,0.000000,0.000000,0.000000,events/second
1556560449,51,2.018910,0.000000,0.000000,0.000000,events/second
1556560452,51,1.804466,0.000000,0.000000,0.000000,events/second
1556560455,51,1.630640,0.000000,0.000000,0.000000,events/second
1556560458,51,1.488127,0.000000,0.000000,0.000000,events/second
1556560461,64,1.717668,0.000000,0.000000,0.000000,events/second
1556560464,64,1.589401,0.000000,0.000000,0.000000,events/second
1556560467,64,1.479419,0.000000,0.000000,0.000000,events/second
1556560470,64,1.383465,0.000000,0.000000,0.000000,events/second
1556560473,64,1.299179,0.000000,0.000000,0.000000,events/second
1556560476,64,1.224612,0.000000,0.000000,0.000000,events/second
1556560479,64,1.158118,0.000000,0.000000,0.000000,events/second
1556560482,77,1.321607,0.000000,0.000000,0.000000,events/second
1556560485,77,1.256679,0.000000,0.000000,0.000000,events/second
1556560488,80,1.244660,0.000000,0.000000,0.000000,events/second
1556560491,99,1.471578,0.000000,0.000000,0.000000,events/second
1556560494,99,1.408999,0.000000,0.000000,0.000000,events/second
1556560497,99,1.351302,0.000000,0.000000,0.000000,events/second
1556560500,99,1.298074,0.000000,0.000000,0.000000,events/second
1556560503,112,1.413029,0.000000,0.000000,0.000000,events/second
1556560506,112,1.361451,0.000000,0.000000,0.000000,events/second
1556560509,112,1.313388,0.000000,0.000000,0.000000,events/second
1556560512,112,1.268944,0.000000,0.000000,0.000000,events/second
1556560515,112,1.227225,0.000000,0.000000,0.000000,events/second
1556560518,112,1.188170,0.000000,0.000000,0.000000,events/second
