t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,6,4.606132,0.000000,0.000000,0.000000,events/second
1556560428,6,1.405775,0.000000,0.000000,0.000000,events/second
1556560431,6,0.825853,0.000000,0.000000,0.000000,events/second
1556560434,6,0.584629,0.000000,0.000000,0.000000,events/second
1556560437,6,0.452425,0.000000,0.000000,0.000000,events/second
1556560440,6,0.368773,0.000000,0.000000,0.000000,events/second
1556560443,6,0.311465,0.000000,0.000000,0.000000,events/second
1556560446,6,0.269478,0.000000,0.000000,0.000000,events/second
1556560449,6,0.237514,0.000000,0.000000,0.000000,events/second
1556560452,6,0.212288,0.000000,0.000000,0.000000,events/second
1556560455,6,0.191839,0.000000,0.000000,0.000000,events/second
1556560458,6,0.175073,0.000000,0.000000,0.000000,events/second
1556560461,6,0.161031,0.000000,0.000000,0.000000,events/second
1556560464,6,0.149005,0.000000,0.000000,0.000000,events/second
1556560467,6,0.138696,0.000000,0.000000,0.000000,events/second
1556560470,6,0.129700,0.000000,0.000000,0.000000,events/second
1556560473,6,0.121797,0.000000,0.000000,0.000000,events/second
1556560476,6,0.114807,0.000000,0.000000,0.000000,events/second
1556560479,6,0.108574,0.000000,0.000000,0.000000,events/second
1556560482,6,0.102982,0.000000,0.000000,0.000000,events/second
1556560485,6,0.097923,0.000000,0.000000,0.000000,events/second
1556560488,6,0.093349,0.000000,0.000000,0.000000,events/second
1556560491,6,0.089187,0.000000,0.000000,0.000000,events/second
1556560494,6,0.085393,0.000000,0.000000,0.000000,events/second
1556560497,6,0.081897,0.000000,0.000000,0.000000,events/second
1556560500,6,0.078671,0.000000,0.000000,0.000000,events/second
1556560503,6,0.075698,0.000000,0.000000,0.000000,events/second
1556560506,6,0.072935,0.000000,0.000000,0.000000,events/second
1556560509,6,0.070360,0.000000,0.000000,0.000000,events/second
1556560512,6,0.067979,0.000000,0.000000,0.000000,events/second
1556560515,6,0.065744,0.000000,0.000000,0.000000,events/second
1556560518,6,0.063652,0.000000,0.000000,0.000000,events/second
1556560521,6,0.061684,0.000000,0.000000,0.000000,events/second
1556560524,6,0.059844,0.000000,0.000000,0.000000,events/second
1556560527,6,0.058105,0.000000,0.000000,0.000000,events/second
1556560530,6,0.056464,0.000000,0.000000,0.000000,events/second
1556560533,6,0.054914,0.000000,0.000000,0.000000,events/second
1556560536,6,0.053440,0.000000,0.000000,0.000000,events/second
1556560539,6,0.052054,0.000000,0.000000,0.000000,events/second
1556560542,6,0.050735,0.000000,0.000000,0.000000,events/second
1556560545,6,0.049479,0.000000,0.000000,0.000000,events/second
1556560548,6,0.048285,0.000000,0.000000,0.000000,events/second
1556560551,6,0.047146,0.000000,0.000000,0.000000,events/second
1556560554,6,0.046059,0.000000,0.000000,0.000000,events/second
1556560557,6,0.045025,0.000000,0.000000,0.000000,events/second
1556560560,6,0.044034,0.000000,0.000000,0.000000,events/second
1556560563,6,0.043082,0.000000,0.000000,0.000000,events/second
1556560566,6,0.042173,0.000000,0.000000,0.000000,events/second
1556560569,6,0.041305,0.000000,0.000000,0.000000,events/second
1556560572,6,0.040469,0.000000,0.000000,0.000000,events/second
1556560575,6,0.039667,0.000000,0.000000,0.000000,events/second
1556560578,6,0.038895,0.000000,0.000000,0.000000,events/second
1556560581,6,0.038150,0.000000,0.000000,0.000000,events/second
1556560584,6,0.037436,0.000000,0.000000,0.000000,events/second
1556560587,6,0.036751,0.000000,0.000000,0.000000,events/second
1556560590,6,0.036086,0.000000,0.000000,0.000000,events/second
1556560593,6,0.035448,0.000000,0.000000,0.000000,events/second
1556560596,6,0.034831,0.000000,0.000000,0.000000,events/second
1556560599,6,0.034235,0.000000,0.000000,0.000000,events/second
1556560602,6,0.033657,0.000000,0.000000,0.000000,events/second
1556560605,6,0.033101,0.000000,0.000000,0.000000,events/second
1556560608,6,0.032561,0.000000,0.000000,0.000000,events/second
1556560611,6,0.032041,0.000000,0.000000,0.000000,events/second
1556560614,6,0.031536,0.000000,0.000000,0.000000,events/second
1556560617,6,0.031044,0.000000,0.000000,0.000000,events/second
1556560620,6,0.030571,0.000000,0.000000,0.000000,events/second
1556560623,6,0.030109,0.000000,0.000000,0.000000,events/second
1556560626,6,0.029664,0.000000,0.000000,0.000000,events/second
1556560629,6,0.029231,0.000000,0.000000,0.000000,events/second
1556560632,6,0.028810,0.000000,0.000000,0.000000,events/second
1556560635,6,0.028399,0.000000,0.000000,0.000000,events/second
1556560638,6,0.028003,0.000000,0.000000,0.000000,events/second
1556560641,6,0.027615,0.000000,0.000000,0.000000,events/second
1556560644,6,0.027241,0.000000,0.000000,0.000000,events/second
1556560647,6,0.026875,0.000000,0.000000,0.000000,events/second
1556560650,6,0.026517,0.000000,0.000000,0.000000,events/second
1556560653,6,0.026170,0.000000,0.000000,0.000000,events/second
1556560656,6,0.025833,0.000000,0.000000,0.000000,events/second
1556560659,6,0.025504,0.000000,0.000000,0.000000,events/second
1556560662,6,0.025182,0.000000,0.000000,0.000000,events/second
1556560665,6,0.024868,0.000000,0.000000,0.000000,events/second
1556560668,6,0.024564,0.000000,0.000000,0.000000,events/second
1556560671,6,0.024266,0.000000,0.000000,0.000000,events/second
1556560674,6,0.023975,0.000000,0.000000,0.000000,events/second
1556560677,6,0.023691,0.000000,0.000000,0.000000,events/second
1556560680,6,0.023414,0.000000,0.000000,0.000000,events/second
1556560683,6,0.023142,0.000000,0.000000,0.000000,events/second
1556560686,6,0.022877,0.000000,0.000000,0.000000,events/second
1556560689,6,0.022619,0.000000,0.000000,0.000000,events/second
1556560692,6,0.022366,0.000000,0.000000,0.000000,events/second
1556560695,6,0.022119,0.000000,0.000000,0.000000,events/second
1556560698,6,0.021877,0.000000,0.000000,0.000000,events/second
1556560701,6,0.021640,0.000000,0.000000,0.000000,events/second
1556560704,6,0.021409,0.000000,0.000000,0.000000,events/second
1556560707,6,0.021182,0.000000,0.000000,0.000000,events/second
1556560710,6,0.020960,0.000000,0.000000,0.000000,events/second
1556560713,6,0.020743,0.000000,0.000000,0.000000,events/second
1556560716,6,0.020530,0.000000,0.000000,0.000000,events/second
1556560719,6,0.020321,0.000000,0.000000,0.000000,events/second
1556560722,6,0.020117,0.000000,0.000000,0.000000,events/second
1556560725,6,0.019916,0.000000,0.000000,0.000000,events/second
1556560728,6,0.019720,0.000000,0.000000,0.000000,events/second
1556560731,6,0.019527,0.000000,0.000000,0.000000,events/second
1556560734,6,0.019339,0.000000,0.000000,0.000000,events/second
1556560737,6,0.019153,0.000000,0.000000,0.000000,events/second
1556560740,6,0.018972,0.000000,0.000000,0.000000,events/second
1556560743,6,0.018793,0.000000,0.000000,0.000000,events/second
1556560746,6,0.018619,0.000000,0.000000,0.000000,events/second
1556560749,6,0.018447,0.000000,0.000000,0.000000,events/second
1556560752,6,0.018278,0.000000,0.000000,0.000000,events/second
1556560755,6,0.018113,0.000000,0.000000,0.000000,events/second
1556560758,6,0.017950,0.000000,0.000000,0.000000,events/second
1556560761,6,0.017790,0.000000,0.000000,0.000000,events/second
1556560764,6,0.017634,0.000000,0.000000,0.000000,events/second
1556560767,6,0.017479,0.000000,0.000000,0.000000,events/second
1556560770,6,0.017328,0.000000,0.000000,0.000000,events/second
1556560773,6,0.017179,0.000000,0.000000,0.000000,events/second
1556560776,6,0.017033,0.000000,0.000000,0.000000,events/second
1556560779,6,0.016889,0.000000,0.000000,0.000000,events/second
1556560782,6,0.016748,0.000000,0.000000,0.000000,events/second
1556560785,6,0.016608,0.000000,0.000000,0.000000,events/second
1556560788,6,0.016472,0.000000,0.000000,0.000000,events/second
1556560791,6,0.016337,0.000000,0.000000,0.000000,events/second
1556560794,6,0.016205,0.000000,0.000000,0.000000,events/second
1556560797,6,0.016075,0.000000,0.000000,0.000000,events/second
1556560800,6,0.015946,0.000000,0.000000,0.000000,events/second
1556560803,6,0.015820,0.000000,0.000000,0.000000,events/second
1556560806,6,0.015696,0.000000,0.000000,0.000000,events/second
1556560809,6,0.015574,0.000000,0.000000,0.000000,events/second
1556560812,6,0.015453,0.000000,0.000000,0.000000,events/second
1556560815,6,0.015335,0.000000,0.000000,0.000000,events/second
1556560818,6,0.015218,0.000000,0.000000,0.000000,events/second
1556560821,6,0.015103,0.000000,0.000000,0.000000,events/second
1556560824,6,0.014990,0.000000,0.000000,0.000000,events/second
1556560827,6,0.014879,0.000000,0.000000,0.000000,events/second
