t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,1,0.767099,0.000000,0.000000,0.000000,events/second
1556560428,4,0.937107,0.000000,0.000000,0.000000,events/second
1556560431,7,0.963459,0.000000,0.000000,0.000000,events/second
1556560434,10,0.974350,0.000000,0.000000,0.000000,events/second
1556560437,13,0.980234,0.000000,0.000000,0.000000,events/second
1556560440,16,0.983373,0.000000,0.000000,0.000000,events/second
1556560443,19,0.986276,0.000000,0.000000,0.000000,events/second
1556560446,22,0.988071,0.000000,0.000000,0.000000,events/second
1556560449,25,0.989630,0.000000,0.000000,0.000000,events/second
1556560452,28,0.990669,0.000000,0.000000,0.000000,events/second
1556560455,31,0.991158,0.000000,0.000000,0.000000,events/second
1556560458,34,0.992074,0.000000,0.000000,0.000000,events/second
1556560461,37,0.993019,0.000000,0.000000,0.000000,events/second
1556560464,40,0.993358,0.000000,0.000000,0.000000,events/second
1556560467,43,0.993980,0.000000,0.000000,0.000000,events/second
1556560470,46,0.994360,0.000000,0.000000,0.000000,events/second
1556560473,49,0.994674,0.000000,0.000000,0.000000,events/second
1556560476,52,0.994986,0.000000,0.000000,0.000000,events/second
1556560479,55,0.995253,0.000000,0.000000,0.000000,events/second
1556560482,58,0.995485,0.000000,0.000000,0.000000,events/second
1556560485,61,0.995541,0.000000,0.000000,0.000000,events/second
1556560488,64,0.995719,0.000000,0.000000,0.000000,events/second
1556560491,67,0.995913,0.000000,0.000000,0.000000,events/second
1556560494,70,0.996253,0.000000,0.000000,0.000000,events/second
1556560497,73,0.996405,0.000000,0.000000,0.000000,events/second
1556560500,76,0.996495,0.000000,0.000000,0.000000,events/second
1556560503,79,0.996688,0.000000,0.000000,0.000000,events/second
1556560506,82,0.996771,0.000000,0.000000,0.000000,events/second
1556560509,85,0.996760,0.000000,0.000000,0.000000,events/second
1556560512,88,0.997020,0.000000,0.000000,0.000000,events/second
1556560515,91,0.997115,0.000000,0.000000,0.000000,events/second
1556560518,94,0.997207,0.000000,0.000000,0.000000,events/second
1556560521,97,0.997215,0.000000,0.000000,0.000000,events/second
1556560524,100,0.997398,0.000000,0.000000,0.000000,events/second
1556560527,103,0.997462,0.000000,0.000000,0.000000,events/second
1556560530,106,0.997536,0.000000,0.000000,0.000000,events/second
1556560533,109,0.997610,0.000000,0.000000,0.000000,events/second
1556560536,112,0.997551,0.000000,0.000000,0.000000,events/second
1556560539,115,0.997691,0.000000,0.000000,0.000000,events/second
1556560542,118,0.997789,0.000000,0.000000,0.000000,events/second
1556560545,121,0.997823,0.000000,0.000000,0.000000,events/second
1556560548,124,0.997885,0.000000,0.000000,0.000000,events/second
1556560551,127,0.997915,0.000000,0.000000,0.000000,events/second
1556560554,130,0.997942,0.000000,0.000000,0.000000,events/second
1556560557,133,0.998047,0.000000,0.000000,0.000000,events/second
1556560560,136,0.998094,0.000000,0.000000,0.000000,events/second
1556560563,139,0.998063,0.000000,0.000000,0.000000,events/second
1556560566,142,0.998092,0.000000,0.000000,0.000000,events/second
1556560569,145,0.998205,0.000000,0.000000,0.000000,events/second
1556560572,148,0.998245,0.000000,0.000000,0.000000,events/second
1556560575,151,0.998284,0.000000,0.000000,0.000000,events/second
1556560578,154,0.998298,0.000000,0.000000,0.000000,events/second
1556560581,157,0.998250,0.000000,0.000000,0.000000,events/second
1556560584,160,0.998287,0.000000,0.000000,0.000000,events/second
1556560587,163,0.998395,0.000000,0.000000,0.000000,events/second
1556560590,165,0.992373,0.000000,0.000000,0.000000,events/second
1556560593,168,0.992537,0.000000,0.000000,0.000000,events/second
1556560596,171,0.992686,0.000000,0.000000,0.000000,events/second
1556560599,174,0.992811,0.000000,0.000000,0.000000,events/second
1556560602,177,0.992880,0.000000,0.000000,0.000000,events/second
1556560605,180,0.993034,0.000000,0.000000,0.000000,events/second
1556560608,183,0.993106,0.000000,0.000000,0.000000,events/second
1556560611,186,0.993262,0.000000,0.000000,0.000000,events/second
1556560614,189,0.993371,0.000000,0.000000,0.000000,events/second
1556560617,192,0.993403,0.000000,0.000000,0.000000,events/second
1556560620,195,0.993554,0.000000,0.000000,0.000000,events/second
1556560623,198,0.993598,0.000000,0.000000,0.000000,events/second
1556560626,201,0.993759,0.000000,0.000000,0.000000,events/second
1556560629,204,0.993848,0.000000,0.000000,0.000000,events/second
1556560632,207,0.993934,0.000000,0.000000,0.000000,events/second
1556560635,210,0.993981,0.000000,0.000000,0.000000,events/second
1556560638,213,0.994101,0.000000,0.000000,0.000000,events/second
1556560641,216,0.994139,0.000000,0.000000,0.000000,events/second
1556560644,219,0.994281,0.000000,0.000000,0.000000,events/second
1556560647,222,0.994357,0.000000,0.000000,0.000000,events/second
1556560650,225,0.994378,0.000000,0.000000,0.000000,events/second
1556560653,228,0.994453,0.000000,0.000000,0.000000,events/second
1556560656,231,0.994567,0.000000,0.000000,0.000000,events/second
1556560659,234,0.994637,0.000000,0.000000,0.000000,events/second
1556560662,237,0.994672,0.000000,0.000000,0.000000,events/second
1556560665,240,0.994729,0.000000,0.000000,0.000000,events/second
1556560668,243,0.994840,0.000000,0.000000,0.000000,events/second
1556560671,246,0.994886,0.000000,0.000000,0.000000,events/second
1556560674,249,0.994948,0.000000,0.000000,0.000000,events/second
1556560677,252,0.995026,0.000000,0.000000,0.000000,events/second
1556560680,255,0.995081,0.000000,0.000000,0.000000,events/second
1556560683,258,0.995124,0.000000,0.000000,0.000000,events/second
1556560686,261,0.995142,0.000000,0.000000,0.000000,events/second
1556560689,264,0.995239,0.000000,0.000000,0.000000,events/second
1556560692,267,0.995300,0.000000,0.000000,0.000000,events/second
1556560695,270,0.995352,0.000000,0.000000,0.000000,events/second
1556560698,273,0.995402,0.000000,0.000000,0.000000,events/second
1556560701,276,0.995448,0.000000,0.000000,0.000000,events/second
1556560704,279,0.995496,0.000000,0.000000,0.000000,events/second
1556560707,282,0.995548,0.000000,0.000000,0.000000,events/second
1556560710,285,0.995588,0.000000,0.000000,0.000000,events/second
