t,value
1556560425,137
1556560428,137
1556560431,137
1556560434,137
1556560437,137
1556560440,137
1556560443,137
1556560446,137
1556560449,137
1556560452,137
1556560455,137
1556560458,137
1556560461,137
1556560464,137
1556560467,137
1556560470,137
1556560473,137
1556560476,137
1556560479,137
1556560482,137
1556560485,137
1556560488,137
1556560491,137
1556560494,137
1556560497,137
1556560500,137
1556560503,137
1556560506,137
1556560509,137
1556560512,137
1556560515,137
1556560518,137
1556560521,137
1556560524,137
1556560527,137
1556560530,137
1556560533,137
1556560536,137
1556560539,137
1556560542,137
1556560545,137
1556560548,137
1556560551,137
1556560554,137
1556560557,137
1556560560,137
1556560563,137
1556560566,137
1556560569,137
1556560572,137
1556560575,137
1556560578,137
1556560581,137
1556560584,137
1556560587,137
1556560590,137
1556560593,137
1556560596,137
1556560599,137
1556560602,137
1556560605,137
1556560608,137
1556560611,137
1556560614,137
1556560617,137
1556560620,137
1556560623,137
1556560626,137
1556560629,137
1556560632,137
1556560635,137
1556560638,137
1556560641,137
1556560644,137
1556560647,137
1556560650,137
1556560653,137
1556560656,137
1556560659,137
1556560662,137
1556560665,137
1556560668,137
1556560671,137
1556560674,137
1556560677,137
1556560680,137
1556560683,137
1556560686,137
1556560689,137
1556560692,137
1556560695,137
1556560698,137
1556560701,137
1556560704,137
1556560707,137
1556560710,137
1556560713,137
1556560716,137
1556560719,137
1556560722,137
1556560725,137
1556560728,137
1556560731,137
1556560734,137
1556560737,137
1556560740,137
1556560743,137
1556560746,137
1556560749,137
1556560752,137
1556560755,137
1556560758,137
1556560761,137
1556560764,137
1556560767,137
1556560770,137
1556560773,137
1556560776,137
1556560779,137
1556560782,137
1556560785,137
1556560788,137
1556560791,137
1556560794,137
1556560797,137
1556560800,137
1556560803,137
1556560806,137
1556560809,137
1556560812,137
1556560815,137
1556560818,137
1556560821,137
1556560824,137
1556560827,137
