t,value
1556560425,135
1556560428,135
1556560431,135
1556560434,135
1556560437,135
1556560440,135
1556560443,135
1556560446,135
1556560449,135
1556560452,135
1556560455,135
1556560458,135
1556560461,135
1556560464,135
1556560467,135
1556560470,135
1556560473,135
1556560476,135
1556560479,135
1556560482,135
1556560485,135
1556560488,135
1556560491,135
1556560494,135
1556560497,135
1556560500,135
1556560503,135
1556560506,135
1556560509,135
1556560512,135
1556560515,135
1556560518,135
1556560521,135
1556560524,135
1556560527,135
1556560530,135
1556560533,135
1556560536,135
1556560539,135
1556560542,135
1556560545,135
1556560548,135
1556560551,135
1556560554,135
1556560557,135
1556560560,135
1556560563,135
1556560566,135
1556560569,135
1556560572,135
1556560575,135
1556560578,135
1556560581,135
1556560584,135
1556560587,135
1556560590,135
1556560593,135
1556560596,135
1556560599,135
1556560602,135
1556560605,135
1556560608,135
1556560611,135
1556560614,135
1556560617,135
1556560620,135
1556560623,135
1556560626,135
1556560629,135
1556560632,135
1556560635,135
1556560638,135
1556560641,135
1556560644,135
1556560647,135
1556560650,135
1556560653,135
1556560656,135
1556560659,135
1556560662,135
1556560665,135
1556560668,135
1556560671,135
1556560674,135
1556560677,135
1556560680,135
1556560683,135
1556560686,135
1556560689,135
1556560692,135
1556560695,135
1556560698,135
1556560701,135
1556560704,135
1556560707,135
1556560710,135
1556560713,135
1556560716,135
1556560719,135
1556560722,135
1556560725,135
1556560728,135
1556560731,135
1556560734,135
1556560737,135
1556560740,135
1556560743,135
1556560746,135
1556560749,135
1556560752,135
1556560755,135
1556560758,135
1556560761,135
1556560764,135
1556560767,135
1556560770,135
1556560773,135
1556560776,135
1556560779,135
1556560782,135
1556560785,135
1556560788,135
1556560791,135
1556560794,135
1556560797,135
1556560800,135
1556560803,135
1556560806,135
1556560809,135
1556560812,135
1556560815,135
1556560818,135
1556560821,135
1556560824,135
1556560827,135
