t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,13,9.884334,0.000000,0.000000,0.000000,events/second
1556560428,13,3.043375,0.000000,0.000000,0.000000,events/second
1556560431,13,1.788681,0.000000,0.000000,0.000000,events/second
1556560434,13,1.266289,0.000000,0.000000,0.000000,events/second
1556560437,13,0.980058,0.000000,0.000000,0.000000,events/second
1556560440,13,0.798822,0.000000,0.000000,0.000000,events/second
1556560443,13,0.674723,0.000000,0.000000,0.000000,events/second
1556560446,13,0.583757,0.000000,0.000000,0.000000,events/second
1556560449,13,0.514544,0.000000,0.000000,0.000000,events/second
1556560452,13,0.459919,0.000000,0.000000,0.000000,events/second
1556560455,13,0.415611,0.000000,0.000000,0.000000,events/second
1556560458,13,0.379300,0.000000,0.000000,0.000000,events/second
1556560461,13,0.348879,0.000000,0.000000,0.000000,events/second
1556560464,13,0.322819,0.000000,0.000000,0.000000,events/second
1556560467,13,0.300491,0.000000,0.000000,0.000000,events/second
1556560470,13,0.281002,0.000000,0.000000,0.000000,events/second
1556560473,13,0.263879,0.000000,0.000000,0.000000,events/second
1556560476,13,0.248735,0.000000,0.000000,0.000000,events/second
1556560479,13,0.235233,0.000000,0.000000,0.000000,events/second
1556560482,13,0.223116,0.000000,0.000000,0.000000,events/second
1556560485,13,0.212155,0.000000,0.000000,0.000000,events/second
1556560488,13,0.202248,0.000000,0.000000,0.000000,events/second
1556560491,13,0.193231,0.000000,0.000000,0.000000,events/second
1556560494,13,0.185011,0.000000,0.000000,0.000000,events/second
1556560497,13,0.177436,0.000000,0.000000,0.000000,events/second
1556560500,13,0.170447,0.000000,0.000000,0.000000,events/second
1556560503,13,0.164008,0.000000,0.000000,0.000000,events/second
1556560506,13,0.158020,0.000000,0.000000,0.000000,events/second
1556560509,13,0.152440,0.000000,0.000000,0.000000,events/second
1556560512,13,0.147283,0.000000,0.000000,0.000000,events/second
1556560515,13,0.142441,0.000000,0.000000,0.000000,events/second
1556560518,13,0.137908,0.000000,0.000000,0.000000,events/second
1556560521,13,0.133645,0.000000,0.000000,0.000000,events/second
1556560524,13,0.129659,0.000000,0.000000,0.000000,events/second
1556560527,13,0.125891,0.000000,0.000000,0.000000,events/second
1556560530,13,0.122337,0.000000,0.000000,0.000000,events/second
1556560533,13,0.118979,0.000000,0.000000,0.000000,events/second
1556560536,13,0.115784,0.000000,0.000000,0.000000,events/second
1556560539,13,0.112780,0.000000,0.000000,0.000000,events/second
