t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,932,708.268423,0.000000,0.000000,0.000000,events/second
1556560428,933,218.410915,0.000000,0.000000,0.000000,events/second
1556560431,933,128.370362,0.000000,0.000000,0.000000,events/second
1556560434,933,90.879282,0.000000,0.000000,0.000000,events/second
1556560437,933,70.337315,0.000000,0.000000,0.000000,events/second
1556560440,933,57.330194,0.000000,0.000000,0.000000,events/second
1556560443,945,49.046874,0.000000,0.000000,0.000000,events/second
1556560446,1003,45.038626,0.000000,0.000000,0.000000,events/second
1556560449,1003,39.698795,0.000000,0.000000,0.000000,events/second
1556560452,1003,35.484412,0.000000,0.000000,0.000000,events/second
1556560455,1003,32.065861,0.000000,0.000000,0.000000,events/second
1556560458,1003,29.264355,0.000000,0.000000,0.000000,events/second
1556560461,1007,27.024603,0.000000,0.000000,0.000000,events/second
1556560464,1007,25.005984,0.000000,0.000000,0.000000,events/second
1556560467,1034,23.900557,0.000000,0.000000,0.000000,events/second
1556560470,1034,22.350432,0.000000,0.000000,0.000000,events/second
1556560473,1034,20.988485,0.000000,0.000000,0.000000,events/second
1556560476,1034,19.783949,0.000000,0.000000,0.000000,events/second
1556560479,1034,18.710011,0.000000,0.000000,0.000000,events/second
1556560482,1038,17.814886,0.000000,0.000000,0.000000,events/second
1556560485,1038,16.939740,0.000000,0.000000,0.000000,events/second
1556560488,1043,16.226490,0.000000,0.000000,0.000000,events/second
1556560491,1084,16.112465,0.000000,0.000000,0.000000,events/second
1556560494,1084,15.427019,0.000000,0.000000,0.000000,events/second
1556560497,1084,14.795378,0.000000,0.000000,0.000000,events/second
1556560500,1084,14.212655,0.000000,0.000000,0.000000,events/second
1556560503,1088,13.726164,0.000000,0.000000,0.000000,events/second
1556560506,1088,13.225023,0.000000,0.000000,0.000000,events/second
1556560509,1088,12.758005,0.000000,0.000000,0.000000,events/second
1556560512,1088,12.326408,0.000000,0.000000,0.000000,events/second
1556560515,1088,11.921197,0.000000,0.000000,0.000000,events/second
1556560518,1088,11.541801,0.000000,0.000000,0.000000,events/second
1556560521,1088,11.185009,0.000000,0.000000,0.000000,events/second
1556560524,1092,10.891345,0.000000,0.000000,0.000000,events/second
1556560527,1119,10.836276,0.000000,0.000000,0.000000,events/second
1556560530,1119,10.530382,0.000000,0.000000,0.000000,events/second
1556560533,1119,10.241315,0.000000,0.000000,0.000000,events/second
1556560536,1119,9.966344,0.000000,0.000000,0.000000,events/second
