t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,89,67.607048,0.000000,0.000000,0.000000,events/second
1556560428,89,20.833603,0.000000,0.000000,0.000000,events/second
1556560431,89,12.245213,0.000000,0.000000,0.000000,events/second
1556560434,89,8.668955,0.000000,0.000000,0.000000,events/second
1556560437,89,6.709504,0.000000,0.000000,0.000000,events/second
1556560440,89,5.468733,0.000000,0.000000,0.000000,events/second
1556560443,89,4.619186,0.000000,0.000000,0.000000,events/second
1556560446,89,3.996385,0.000000,0.000000,0.000000,events/second
1556560449,89,3.522610,0.000000,0.000000,0.000000,events/second
1556560452,89,3.148656,0.000000,0.000000,0.000000,events/second
1556560455,89,2.845315,0.000000,0.000000,0.000000,events/second
1556560458,89,2.596731,0.000000,0.000000,0.000000,events/second
1556560461,89,2.388464,0.000000,0.000000,0.000000,events/second
1556560464,89,2.210054,0.000000,0.000000,0.000000,events/second
1556560467,89,2.057199,0.000000,0.000000,0.000000,events/second
1556560470,89,1.923776,0.000000,0.000000,0.000000,events/second
1556560473,89,1.806548,0.000000,0.000000,0.000000,events/second
1556560476,89,1.702871,0.000000,0.000000,0.000000,events/second
1556560479,89,1.610433,0.000000,0.000000,0.000000,events/second
1556560482,89,1.527477,0.000000,0.000000,0.000000,events/second
1556560485,89,1.452441,0.000000,0.000000,0.000000,events/second
1556560488,89,1.384617,0.000000,0.000000,0.000000,events/second
1556560491,89,1.322885,0.000000,0.000000,0.000000,events/second
1556560494,89,1.266606,0.000000,0.000000,0.000000,events/second
1556560497,89,1.214748,0.000000,0.000000,0.000000,events/second
1556560500,89,1.166904,0.000000,0.000000,0.000000,events/second
1556560503,89,1.122819,0.000000,0.000000,0.000000,events/second
1556560506,89,1.081825,0.000000,0.000000,0.000000,events/second
1556560509,89,1.043622,0.000000,0.000000,0.000000,events/second
1556560512,89,1.008317,0.000000,0.000000,0.000000,events/second
1556560515,89,0.975170,0.000000,0.000000,0.000000,events/second
