t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,1021,775.282112,0.000000,0.000000,0.000000,events/second
1556560428,1022,239.226222,0.000000,0.000000,0.000000,events/second
1556560431,1022,140.611659,0.000000,0.000000,0.000000,events/second
1556560434,1022,99.545577,0.000000,0.000000,0.000000,events/second
1556560437,1022,77.045638,0.000000,0.000000,0.000000,events/second
1556560440,1022,62.797587,0.000000,0.000000,0.000000,events/second
1556560443,1034,53.665124,0.000000,0.000000,0.000000,events/second
1556560446,1092,49.033425,0.000000,0.000000,0.000000,events/second
1556560449,1092,43.221092,0.000000,0.000000,0.000000,events/second
1556560452,1092,38.632840,0.000000,0.000000,0.000000,events/second
1556560455,1092,34.910963,0.000000,0.000000,0.000000,events/second
1556560458,1092,31.860886,0.000000,0.000000,0.000000,events/second
1556560461,1096,29.412936,0.000000,0.000000,0.000000,events/second
1556560464,1096,27.215853,0.000000,0.000000,0.000000,events/second
1556560467,1123,25.957621,0.000000,0.000000,0.000000,events/second
1556560470,1123,24.274130,0.000000,0.000000,0.000000,events/second
1556560473,1123,22.794924,0.000000,0.000000,0.000000,events/second
1556560476,1123,21.486751,0.000000,0.000000,0.000000,events/second
1556560479,1123,20.320383,0.000000,0.000000,0.000000,events/second
1556560482,1127,19.342275,0.000000,0.000000,0.000000,events/second
1556560485,1127,18.392104,0.000000,0.000000,0.000000,events/second
1556560488,1132,17.611062,0.000000,0.000000,0.000000,events/second
1556560491,1173,17.435309,0.000000,0.000000,0.000000,events/second
1556560494,1173,16.693539,0.000000,0.000000,0.000000,events/second
1556560497,1173,16.010089,0.000000,0.000000,0.000000,events/second
1556560500,1173,15.379509,0.000000,0.000000,0.000000,events/second
1556560503,1177,14.848953,0.000000,0.000000,0.000000,events/second
1556560506,1177,14.306809,0.000000,0.000000,0.000000,events/second
1556560509,1177,13.801584,0.000000,0.000000,0.000000,events/second
1556560512,1177,13.334683,0.000000,0.000000,0.000000,events/second
1556560515,1177,12.896332,0.000000,0.000000,0.000000,events/second
1556560518,1177,12.485899,0.000000,0.000000,0.000000,events/second
1556560521,1177,12.099937,0.000000,0.000000,0.000000,events/second
1556560524,1181,11.778988,0.000000,0.000000,0.000000,events/second
1556560527,1208,11.698123,0.000000,0.000000,0.000000,events/second
1556560530,1208,11.367902,0.000000,0.000000,0.000000,events/second
1556560533,1208,11.055845,0.000000,0.000000,0.000000,events/second
1556560536,1208,10.758994,0.000000,0.000000,0.000000,events/second
1556560539,1208,10.479879,0.000000,0.000000,0.000000,events/second
1556560542,1208,10.214457,0.000000,0.000000,0.000000,events/second
