t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,1017,771.894242,0.000000,0.000000,0.000000,events/second
1556560428,1018,238.280987,0.000000,0.000000,0.000000,events/second
1556560431,1018,140.059411,0.000000,0.000000,0.000000,events/second
1556560434,1018,99.154338,0.000000,0.000000,0.000000,events/second
1556560437,1018,76.743359,0.000000,0.000000,0.000000,events/second
1556560440,1018,62.551156,0.000000,0.000000,0.000000,events/second
1556560443,1028,53.353240,0.000000,0.000000,0.000000,events/second
1556560446,1088,48.853075,0.000000,0.000000,0.000000,events/second
1556560449,1088,43.062633,0.000000,0.000000,0.000000,events/second
1556560452,1088,38.491220,0.000000,0.000000,0.000000,events/second
1556560455,1088,34.782995,0.000000,0.000000,0.000000,events/second
1556560458,1088,31.744042,0.000000,0.000000,0.000000,events/second
1556560461,1092,29.305529,0.000000,0.000000,0.000000,events/second
1556560464,1092,27.116437,0.000000,0.000000,0.000000,events/second
1556560467,1119,25.865115,0.000000,0.000000,0.000000,events/second
1556560470,1119,24.187631,0.000000,0.000000,0.000000,events/second
1556560473,1119,22.713672,0.000000,0.000000,0.000000,events/second
1556560476,1119,21.410186,0.000000,0.000000,0.000000,events/second
1556560479,1119,20.247975,0.000000,0.000000,0.000000,events/second
1556560482,1123,19.273578,0.000000,0.000000,0.000000,events/second
1556560485,1123,18.326788,0.000000,0.000000,0.000000,events/second
1556560488,1128,17.548811,0.000000,0.000000,0.000000,events/second
1556560491,1168,17.360970,0.000000,0.000000,0.000000,events/second
1556560494,1168,16.622347,0.000000,0.000000,0.000000,events/second
1556560497,1168,15.941827,0.000000,0.000000,0.000000,events/second
1556560500,1168,15.313929,0.000000,0.000000,0.000000,events/second
1556560503,1172,14.785860,0.000000,0.000000,0.000000,events/second
1556560506,1172,14.246013,0.000000,0.000000,0.000000,events/second
1556560509,1172,13.742936,0.000000,0.000000,0.000000,events/second
1556560512,1172,13.278016,0.000000,0.000000,0.000000,events/second
1556560515,1172,12.841532,0.000000,0.000000,0.000000,events/second
1556560518,1172,12.432839,0.000000,0.000000,0.000000,events/second
1556560521,1172,12.048526,0.000000,0.000000,0.000000,events/second
1556560524,1176,11.729110,0.000000,0.000000,0.000000,events/second
1556560527,1203,11.649695,0.000000,0.000000,0.000000,events/second
1556560530,1203,11.320841,0.000000,0.000000,0.000000,events/second
1556560533,1203,11.010075,0.000000,0.000000,0.000000,events/second
1556560536,1203,10.714449,0.000000,0.000000,0.000000,events/second
1556560539,1203,10.436495,0.000000,0.000000,0.000000,events/second
1556560542,1203,10.172172,0.000000,0.000000,0.000000,events/second
1556560545,1207,9.953301,0.000000,0.000000,0.000000,events/second
1556560548,1207,9.713098,0.000000,0.000000,0.000000,events/second
1556560551,1207,9.483884,0.000000,0.000000,0.000000,events/second
1556560554,1207,9.265349,0.000000,0.000000,0.000000,events/second
1556560557,1207,9.057310,0.000000,0.000000,0.000000,events/second
1556560560,1207,8.857942,0.000000,0.000000,0.000000,events/second
1556560563,1207,8.666439,0.000000,0.000000,0.000000,events/second
1556560566,1211,8.511761,0.000000,0.000000,0.000000,events/second
1556560569,1211,8.336577,0.000000,0.000000,0.000000,events/second
1556560572,1211,8.167942,0.000000,0.000000,0.000000,events/second
1556560575,1211,8.005986,0.000000,0.000000,0.000000,events/second
1556560578,1211,7.850116,0.000000,0.000000,0.000000,events/second
1556560581,1211,7.699763,0.000000,0.000000,0.000000,events/second
1556560584,1211,7.555671,0.000000,0.000000,0.000000,events/second
1556560587,1242,7.607280,0.000000,0.000000,0.000000,events/second
1556560590,1242,7.469733,0.000000,0.000000,0.000000,events/second
