t,value
1556560425,-1
1556560428,12
1556560431,12
1556560434,12
1556560437,12
1556560440,15
1556560443,15
1556560446,15
1556560449,16
1556560452,16
1556560455,16
1556560458,16
1556560461,16
1556560464,16
1556560467,16
1556560470,16
1556560473,16
1556560476,16
1556560479,16
1556560482,16
1556560485,16
1556560488,16
1556560491,16
1556560494,16
1556560497,16
1556560500,16
1556560503,16
1556560506,16
1556560509,15
1556560512,15
1556560515,15
1556560518,15
1556560521,15
1556560524,15
1556560527,15
1556560530,15
1556560533,15
1556560536,15
1556560539,15
1556560542,15
1556560545,15
1556560548,15
1556560551,15
1556560554,15
1556560557,15
1556560560,15
1556560563,15
1556560566,15
1556560569,15
1556560572,15
1556560575,15
1556560578,15
1556560581,15
1556560584,15
1556560587,15
1556560590,15
1556560593,15
1556560596,15
1556560599,15
1556560602,15
1556560605,15
1556560608,15
1556560611,15
1556560614,15
1556560617,15
1556560620,14
1556560623,14
1556560626,14
1556560629,14
1556560632,14
1556560635,14
1556560638,14
1556560641,14
1556560644,14
1556560647,14
1556560650,14
1556560653,14
1556560656,14
1556560659,14
1556560662,14
1556560665,14
1556560668,14
1556560671,14
1556560674,14
1556560677,14
1556560680,13
1556560683,13
1556560686,13
1556560689,13
1556560692,13
1556560695,13
1556560698,13
1556560701,13
1556560704,13
1556560707,13
1556560710,13
1556560713,13
1556560716,13
1556560719,13
1556560722,13
1556560725,13
1556560728,13
1556560731,13
1556560734,13
1556560737,13
1556560740,12
1556560743,12
1556560746,12
1556560749,12
1556560752,12
1556560755,12
1556560758,12
1556560761,12
1556560764,12
1556560767,12
1556560770,12
1556560773,12
1556560776,12
1556560779,12
1556560782,12
1556560785,12
1556560788,12
1556560791,12
1556560794,12
1556560797,12
1556560800,12
1556560803,12
1556560806,12
1556560809,12
1556560812,12
1556560815,12
1556560818,12
1556560821,12
1556560824,12
1556560827,12
