t,value
1556560425,-1
1556560428,2
1556560431,2
1556560434,2
1556560437,2
1556560440,4
1556560443,4
1556560446,4
1556560449,5
1556560452,5
1556560455,5
1556560458,5
1556560461,5
1556560464,5
1556560467,5
1556560470,5
1556560473,5
1556560476,5
1556560479,5
1556560482,5
1556560485,5
1556560488,5
1556560491,5
1556560494,5
1556560497,5
1556560500,5
1556560503,5
1556560506,5
1556560509,5
1556560512,5
1556560515,5
1556560518,5
1556560521,5
1556560524,5
1556560527,5
1556560530,5
1556560533,5
1556560536,5
1556560539,5
1556560542,5
1556560545,5
1556560548,5
1556560551,5
1556560554,5
1556560557,5
1556560560,5
1556560563,5
1556560566,5
1556560569,5
1556560572,5
1556560575,5
1556560578,5
1556560581,5
1556560584,5
1556560587,5
1556560590,5
1556560593,5
1556560596,5
1556560599,5
1556560602,5
1556560605,5
1556560608,5
1556560611,5
1556560614,5
1556560617,5
1556560620,4
1556560623,4
1556560626,4
1556560629,4
1556560632,4
1556560635,4
1556560638,4
1556560641,4
1556560644,4
1556560647,4
1556560650,4
1556560653,4
1556560656,4
1556560659,4
1556560662,4
1556560665,4
1556560668,4
1556560671,4
1556560674,4
1556560677,4
1556560680,3
1556560683,3
1556560686,3
1556560689,3
1556560692,3
1556560695,3
1556560698,3
1556560701,3
1556560704,3
1556560707,3
1556560710,3
1556560713,3
1556560716,3
1556560719,3
1556560722,3
1556560725,3
1556560728,3
1556560731,3
1556560734,3
1556560737,3
1556560740,2
1556560743,2
1556560746,2
1556560749,2
1556560752,2
1556560755,2
1556560758,2
1556560761,2
1556560764,2
1556560767,2
1556560770,2
1556560773,2
1556560776,2
1556560779,2
1556560782,2
1556560785,2
1556560788,2
1556560791,2
1556560794,2
1556560797,2
1556560800,2
1556560803,2
1556560806,2
1556560809,2
1556560812,2
1556560815,2
1556560818,2
1556560821,2
1556560824,2
1556560827,2
