t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560428,1,0.234055,0.000000,0.000000,0.000000,events/second
1556560431,1,0.137580,0.000000,0.000000,0.000000,events/second
1556560434,1,0.097399,0.000000,0.000000,0.000000,events/second
1556560437,1,0.075385,0.000000,0.000000,0.000000,events/second
1556560440,6,0.368665,0.000000,0.000000,0.000000,events/second
1556560443,10,0.518994,0.000000,0.000000,0.000000,events/second
1556560446,14,0.628613,0.000000,0.000000,0.000000,events/second
1556560449,14,0.554112,0.000000,0.000000,0.000000,events/second
1556560452,14,0.495289,0.000000,0.000000,0.000000,events/second
1556560455,14,0.447573,0.000000,0.000000,0.000000,events/second
1556560458,14,0.408469,0.000000,0.000000,0.000000,events/second
1556560461,17,0.456220,0.000000,0.000000,0.000000,events/second
1556560464,17,0.422140,0.000000,0.000000,0.000000,events/second
1556560467,17,0.392945,0.000000,0.000000,0.000000,events/second
1556560470,17,0.367461,0.000000,0.000000,0.000000,events/second
1556560473,17,0.345068,0.000000,0.000000,0.000000,events/second
1556560476,17,0.325266,0.000000,0.000000,0.000000,events/second
1556560479,17,0.307609,0.000000,0.000000,0.000000,events/second
1556560482,20,0.343250,0.000000,0.000000,0.000000,events/second
1556560485,20,0.326389,0.000000,0.000000,0.000000,events/second
1556560488,21,0.326706,0.000000,0.000000,0.000000,events/second
1556560491,26,0.386459,0.000000,0.000000,0.000000,events/second
1556560494,26,0.370017,0.000000,0.000000,0.000000,events/second
1556560497,26,0.354869,0.000000,0.000000,0.000000,events/second
1556560500,26,0.340891,0.000000,0.000000,0.000000,events/second
1556560503,29,0.365861,0.000000,0.000000,0.000000,events/second
1556560506,29,0.352503,0.000000,0.000000,0.000000,events/second
1556560509,29,0.340055,0.000000,0.000000,0.000000,events/second
1556560512,29,0.328551,0.000000,0.000000,0.000000,events/second
1556560515,29,0.317751,0.000000,0.000000,0.000000,events/second
1556560518,29,0.307638,0.000000,0.000000,0.000000,events/second
1556560521,29,0.298129,0.000000,0.000000,0.000000,events/second
1556560524,32,0.319159,0.000000,0.000000,0.000000,events/second
1556560527,32,0.309883,0.000000,0.000000,0.000000,events/second
1556560530,32,0.301136,0.000000,0.000000,0.000000,events/second
1556560533,32,0.292869,0.000000,0.000000,0.000000,events/second
