t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,6,4.540440,0.000000,0.000000,0.000000,events/second
1556560428,6,1.404073,0.000000,0.000000,0.000000,events/second
1556560431,6,0.825394,0.000000,0.000000,0.000000,events/second
1556560434,6,0.584355,0.000000,0.000000,0.000000,events/second
1556560437,6,0.452286,0.000000,0.000000,0.000000,events/second
1556560440,6,0.368646,0.000000,0.000000,0.000000,events/second
1556560443,6,0.311384,0.000000,0.000000,0.000000,events/second
1556560446,6,0.269391,0.000000,0.000000,0.000000,events/second
1556560449,6,0.237470,0.000000,0.000000,0.000000,events/second
1556560452,6,0.212264,0.000000,0.000000,0.000000,events/second
1556560455,6,0.191815,0.000000,0.000000,0.000000,events/second
1556560458,6,0.175056,0.000000,0.000000,0.000000,events/second
1556560461,6,0.161017,0.000000,0.000000,0.000000,events/second
1556560464,6,0.148988,0.000000,0.000000,0.000000,events/second
1556560467,6,0.138685,0.000000,0.000000,0.000000,events/second
1556560470,6,0.129691,0.000000,0.000000,0.000000,events/second
1556560473,6,0.121787,0.000000,0.000000,0.000000,events/second
1556560476,6,0.114799,0.000000,0.000000,0.000000,events/second
1556560479,6,0.108567,0.000000,0.000000,0.000000,events/second
1556560482,6,0.102974,0.000000,0.000000,0.000000,events/second
1556560485,6,0.097916,0.000000,0.000000,0.000000,events/second
1556560488,6,0.093344,0.000000,0.000000,0.000000,events/second
1556560491,6,0.089182,0.000000,0.000000,0.000000,events/second
1556560494,6,0.085388,0.000000,0.000000,0.000000,events/second
1556560497,6,0.081892,0.000000,0.000000,0.000000,events/second
1556560500,6,0.078667,0.000000,0.000000,0.000000,events/second
1556560503,6,0.075695,0.000000,0.000000,0.000000,events/second
1556560506,6,0.072931,0.000000,0.000000,0.000000,events/second
1556560509,6,0.070356,0.000000,0.000000,0.000000,events/second
1556560512,6,0.067976,0.000000,0.000000,0.000000,events/second
1556560515,6,0.065741,0.000000,0.000000,0.000000,events/second
1556560518,6,0.063649,0.000000,0.000000,0.000000,events/second
1556560521,6,0.061682,0.000000,0.000000,0.000000,events/second
1556560524,6,0.059842,0.000000,0.000000,0.000000,events/second
1556560527,6,0.058103,0.000000,0.000000,0.000000,events/second
1556560530,6,0.056463,0.000000,0.000000,0.000000,events/second
1556560533,6,0.054913,0.000000,0.000000,0.000000,events/second
