t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560428,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560431,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560434,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560437,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560440,0,0.000000,0.000000,0.000000,0.000000,events/second
1556560443,1,0.051896,0.000000,0.000000,0.000000,events/second
1556560446,2,0.089791,0.000000,0.000000,0.000000,events/second
1556560449,2,0.079155,0.000000,0.000000,0.000000,events/second
1556560452,2,0.070754,0.000000,0.000000,0.000000,events/second
1556560455,2,0.063938,0.000000,0.000000,0.000000,events/second
1556560458,2,0.058351,0.000000,0.000000,0.000000,events/second
1556560461,3,0.080508,0.000000,0.000000,0.000000,events/second
1556560464,3,0.074493,0.000000,0.000000,0.000000,events/second
1556560467,3,0.069342,0.000000,0.000000,0.000000,events/second
1556560470,3,0.064845,0.000000,0.000000,0.000000,events/second
1556560473,3,0.060893,0.000000,0.000000,0.000000,events/second
1556560476,3,0.057399,0.000000,0.000000,0.000000,events/second
1556560479,3,0.054283,0.000000,0.000000,0.000000,events/second
1556560482,4,0.068649,0.000000,0.000000,0.000000,events/second
1556560485,4,0.065277,0.000000,0.000000,0.000000,events/second
1556560488,4,0.062229,0.000000,0.000000,0.000000,events/second
1556560491,5,0.074318,0.000000,0.000000,0.000000,events/second
1556560494,5,0.071156,0.000000,0.000000,0.000000,events/second
1556560497,5,0.068243,0.000000,0.000000,0.000000,events/second
1556560500,5,0.065555,0.000000,0.000000,0.000000,events/second
1556560503,6,0.075695,0.000000,0.000000,0.000000,events/second
1556560506,6,0.072931,0.000000,0.000000,0.000000,events/second
1556560509,6,0.070355,0.000000,0.000000,0.000000,events/second
1556560512,6,0.067975,0.000000,0.000000,0.000000,events/second
1556560515,6,0.065741,0.000000,0.000000,0.000000,events/second
1556560518,6,0.063649,0.000000,0.000000,0.000000,events/second
