t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,1,0.752959,0.000000,0.000000,0.000000,events/second
1556560428,1,0.233962,0.000000,0.000000,0.000000,events/second
1556560431,1,0.137544,0.000000,0.000000,0.000000,events/second
1556560434,1,0.097384,0.000000,0.000000,0.000000,events/second
1556560437,1,0.075377,0.000000,0.000000,0.000000,events/second
1556560440,8,0.491497,0.000000,0.000000,0.000000,events/second
1556560443,12,0.622744,0.000000,0.000000,0.000000,events/second
1556560446,16,0.718297,0.000000,0.000000,0.000000,events/second
1556560449,16,0.633234,0.000000,0.000000,0.000000,events/second
1556560452,16,0.566026,0.000000,0.000000,0.000000,events/second
1556560455,16,0.511497,0.000000,0.000000,0.000000,events/second
1556560458,16,0.466807,0.000000,0.000000,0.000000,events/second
1556560461,20,0.536716,0.000000,0.000000,0.000000,events/second
1556560464,20,0.496615,0.000000,0.000000,0.000000,events/second
1556560467,20,0.462278,0.000000,0.000000,0.000000,events/second
1556560470,20,0.432297,0.000000,0.000000,0.000000,events/second
1556560473,20,0.405953,0.000000,0.000000,0.000000,events/second
1556560476,20,0.382659,0.000000,0.000000,0.000000,events/second
1556560479,20,0.361887,0.000000,0.000000,0.000000,events/second
1556560482,24,0.411893,0.000000,0.000000,0.000000,events/second
1556560485,24,0.391657,0.000000,0.000000,0.000000,events/second
1556560488,25,0.388930,0.000000,0.000000,0.000000,events/second
1556560491,31,0.460772,0.000000,0.000000,0.000000,events/second
1556560494,31,0.441165,0.000000,0.000000,0.000000,events/second
1556560497,31,0.423107,0.000000,0.000000,0.000000,events/second
1556560500,31,0.406440,0.000000,0.000000,0.000000,events/second
1556560503,35,0.441551,0.000000,0.000000,0.000000,events/second
1556560506,35,0.425428,0.000000,0.000000,0.000000,events/second
1556560509,35,0.410405,0.000000,0.000000,0.000000,events/second
1556560512,35,0.396521,0.000000,0.000000,0.000000,events/second
1556560515,35,0.383487,0.000000,0.000000,0.000000,events/second
1556560518,35,0.371283,0.000000,0.000000,0.000000,events/second
1556560521,35,0.359807,0.000000,0.000000,0.000000,events/second
1556560524,39,0.388971,0.000000,0.000000,0.000000,events/second
1556560527,39,0.377667,0.000000,0.000000,0.000000,events/second
1556560530,39,0.367007,0.000000,0.000000,0.000000,events/second
1556560533,39,0.356932,0.000000,0.000000,0.000000,events/second
1556560536,39,0.347346,0.000000,0.000000,0.000000,events/second
1556560539,39,0.338337,0.000000,0.000000,0.000000,events/second
1556560542,39,0.329769,0.000000,0.000000,0.000000,events/second
1556560545,43,0.354588,0.000000,0.000000,0.000000,events/second
1556560548,43,0.346031,0.000000,0.000000,0.000000,events/second
1556560551,43,0.337864,0.000000,0.000000,0.000000,events/second
1556560554,43,0.330080,0.000000,0.000000,0.000000,events/second
