t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,7,5.253225,0.000000,0.000000,0.000000,events/second
1556560428,10,2.339425,0.000000,0.000000,0.000000,events/second
1556560431,10,1.375378,0.000000,0.000000,0.000000,events/second
1556560434,10,0.973818,0.000000,0.000000,0.000000,events/second
1556560437,10,0.753772,0.000000,0.000000,0.000000,events/second
1556560440,10,0.614361,0.000000,0.000000,0.000000,events/second
1556560443,11,0.570846,0.000000,0.000000,0.000000,events/second
1556560446,11,0.493804,0.000000,0.000000,0.000000,events/second
1556560449,11,0.435348,0.000000,0.000000,0.000000,events/second
1556560452,11,0.389146,0.000000,0.000000,0.000000,events/second
1556560455,11,0.351653,0.000000,0.000000,0.000000,events/second
1556560458,11,0.320932,0.000000,0.000000,0.000000,events/second
1556560461,11,0.295192,0.000000,0.000000,0.000000,events/second
1556560464,11,0.273138,0.000000,0.000000,0.000000,events/second
1556560467,11,0.254254,0.000000,0.000000,0.000000,events/second
1556560470,11,0.237765,0.000000,0.000000,0.000000,events/second
1556560473,11,0.223275,0.000000,0.000000,0.000000,events/second
1556560476,11,0.210463,0.000000,0.000000,0.000000,events/second
1556560479,11,0.199039,0.000000,0.000000,0.000000,events/second
1556560482,11,0.188785,0.000000,0.000000,0.000000,events/second
1556560485,11,0.179510,0.000000,0.000000,0.000000,events/second
1556560488,11,0.171130,0.000000,0.000000,0.000000,events/second
1556560491,11,0.163500,0.000000,0.000000,0.000000,events/second
1556560494,11,0.156542,0.000000,0.000000,0.000000,events/second
1556560497,11,0.150135,0.000000,0.000000,0.000000,events/second
1556560500,11,0.144221,0.000000,0.000000,0.000000,events/second
1556560503,11,0.138774,0.000000,0.000000,0.000000,events/second
1556560506,11,0.133706,0.000000,0.000000,0.000000,events/second
1556560509,11,0.128985,0.000000,0.000000,0.000000,events/second
1556560512,11,0.124621,0.000000,0.000000,0.000000,events/second
1556560515,11,0.120524,0.000000,0.000000,0.000000,events/second
1556560518,11,0.116689,0.000000,0.000000,0.000000,events/second
1556560521,11,0.113083,0.000000,0.000000,0.000000,events/second
1556560524,11,0.109710,0.000000,0.000000,0.000000,events/second
1556560527,11,0.106522,0.000000,0.000000,0.000000,events/second
1556560530,11,0.103515,0.000000,0.000000,0.000000,events/second
1556560533,11,0.100673,0.000000,0.000000,0.000000,events/second
1556560536,11,0.097969,0.000000,0.000000,0.000000,events/second
1556560539,11,0.095429,0.000000,0.000000,0.000000,events/second
1556560542,11,0.093012,0.000000,0.000000,0.000000,events/second
1556560545,11,0.090709,0.000000,0.000000,0.000000,events/second
1556560548,11,0.088520,0.000000,0.000000,0.000000,events/second
1556560551,11,0.086430,0.000000,0.000000,0.000000,events/second
1556560554,11,0.084439,0.000000,0.000000,0.000000,events/second
1556560557,11,0.082543,0.000000,0.000000,0.000000,events/second
1556560560,11,0.080727,0.000000,0.000000,0.000000,events/second
1556560563,11,0.078980,0.000000,0.000000,0.000000,events/second
1556560566,11,0.077315,0.000000,0.000000,0.000000,events/second
1556560569,11,0.075724,0.000000,0.000000,0.000000,events/second
1556560572,11,0.074192,0.000000,0.000000,0.000000,events/second
1556560575,11,0.072721,0.000000,0.000000,0.000000,events/second
1556560578,11,0.071305,0.000000,0.000000,0.000000,events/second
1556560581,11,0.069940,0.000000,0.000000,0.000000,events/second
1556560584,11,0.068631,0.000000,0.000000,0.000000,events/second
1556560587,11,0.067375,0.000000,0.000000,0.000000,events/second
1556560590,11,0.066156,0.000000,0.000000,0.000000,events/second
1556560593,11,0.064986,0.000000,0.000000,0.000000,events/second
1556560596,11,0.063856,0.000000,0.000000,0.000000,events/second
1556560599,11,0.062763,0.000000,0.000000,0.000000,events/second
1556560602,11,0.061703,0.000000,0.000000,0.000000,events/second
1556560605,11,0.060684,0.000000,0.000000,0.000000,events/second
1556560608,11,0.059694,0.000000,0.000000,0.000000,events/second
1556560611,11,0.058740,0.000000,0.000000,0.000000,events/second
1556560614,11,0.057814,0.000000,0.000000,0.000000,events/second
1556560617,11,0.056913,0.000000,0.000000,0.000000,events/second
1556560620,11,0.056045,0.000000,0.000000,0.000000,events/second
1556560623,11,0.055199,0.000000,0.000000,0.000000,events/second
1556560626,11,0.054384,0.000000,0.000000,0.000000,events/second
1556560629,11,0.053589,0.000000,0.000000,0.000000,events/second
1556560632,11,0.052817,0.000000,0.000000,0.000000,events/second
1556560635,11,0.052065,0.000000,0.000000,0.000000,events/second
1556560638,11,0.051338,0.000000,0.000000,0.000000,events/second
1556560641,11,0.050627,0.000000,0.000000,0.000000,events/second
1556560644,11,0.049940,0.000000,0.000000,0.000000,events/second
1556560647,11,0.049269,0.000000,0.000000,0.000000,events/second
1556560650,11,0.048613,0.000000,0.000000,0.000000,events/second
