t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1556560425,46,34.482898,0.000000,0.000000,0.000000,events/second
1556560428,80,18.713732,0.000000,0.000000,0.000000,events/second
1556560431,80,11.002502,0.000000,0.000000,0.000000,events/second
1556560434,80,7.790329,0.000000,0.000000,0.000000,events/second
1556560437,80,6.030072,0.000000,0.000000,0.000000,events/second
1556560440,80,4.914776,0.000000,0.000000,0.000000,events/second
1556560443,91,4.722389,0.000000,0.000000,0.000000,events/second
1556560446,91,4.084988,0.000000,0.000000,0.000000,events/second
1556560449,91,3.601492,0.000000,0.000000,0.000000,events/second
1556560452,91,3.219277,0.000000,0.000000,0.000000,events/second
1556560455,91,2.909111,0.000000,0.000000,0.000000,events/second
1556560458,91,2.654973,0.000000,0.000000,0.000000,events/second
1556560461,91,2.442024,0.000000,0.000000,0.000000,events/second
1556560464,91,2.259575,0.000000,0.000000,0.000000,events/second
1556560467,91,2.103368,0.000000,0.000000,0.000000,events/second
1556560470,91,1.966953,0.000000,0.000000,0.000000,events/second
1556560473,91,1.847088,0.000000,0.000000,0.000000,events/second
1556560476,91,1.741098,0.000000,0.000000,0.000000,events/second
1556560479,91,1.646587,0.000000,0.000000,0.000000,events/second
1556560482,91,1.561764,0.000000,0.000000,0.000000,events/second
1556560485,91,1.485027,0.000000,0.000000,0.000000,events/second
1556560488,91,1.415708,0.000000,0.000000,0.000000,events/second
1556560491,91,1.352589,0.000000,0.000000,0.000000,events/second
1556560494,91,1.295029,0.000000,0.000000,0.000000,events/second
1556560497,91,1.242024,0.000000,0.000000,0.000000,events/second
1556560500,91,1.193094,0.000000,0.000000,0.000000,events/second
1556560503,91,1.148034,0.000000,0.000000,0.000000,events/second
1556560506,91,1.106108,0.000000,0.000000,0.000000,events/second
1556560509,91,1.067051,0.000000,0.000000,0.000000,events/second
1556560512,91,1.030951,0.000000,0.000000,0.000000,events/second
1556560515,91,0.997063,0.000000,0.000000,0.000000,events/second
1556560518,91,0.965336,0.000000,0.000000,0.000000,events/second
1556560521,91,0.935499,0.000000,0.000000,0.000000,events/second
1556560524,91,0.907600,0.000000,0.000000,0.000000,events/second
1556560527,91,0.881224,0.000000,0.000000,0.000000,events/second
1556560530,91,0.856349,0.000000,0.000000,0.000000,events/second
1556560533,91,0.832842,0.000000,0.000000,0.000000,events/second
1556560536,91,0.810472,0.000000,0.000000,0.000000,events/second
1556560539,91,0.789454,0.000000,0.000000,0.000000,events/second
1556560542,91,0.769459,0.000000,0.000000,0.000000,events/second
