t,value
1556560425,8
1556560428,8
1556560431,8
1556560434,8
1556560437,8
1556560440,30
1556560443,31
1556560446,31
1556560449,32
1556560452,32
1556560455,32
1556560458,32
1556560461,32
1556560464,32
1556560467,32
1556560470,32
1556560473,32
1556560476,32
1556560479,32
1556560482,32
1556560485,32
1556560488,32
1556560491,32
1556560494,32
1556560497,32
1556560500,32
1556560503,32
1556560506,32
1556560509,32
1556560512,32
1556560515,32
1556560518,32
1556560521,32
1556560524,32
1556560527,32
1556560530,32
1556560533,32
1556560536,32
1556560539,32
1556560542,32
1556560545,32
1556560548,32
1556560551,32
1556560554,32
1556560557,32
1556560560,32
1556560563,32
1556560566,32
1556560569,32
1556560572,32
1556560575,32
1556560578,32
1556560581,32
1556560584,32
1556560587,32
1556560590,32
1556560593,32
1556560596,32
1556560599,32
1556560602,32
1556560605,32
1556560608,32
1556560611,32
1556560614,32
1556560617,32
1556560620,32
1556560623,32
1556560626,32
1556560629,32
1556560632,32
1556560635,32
1556560638,32
1556560641,32
1556560644,32
1556560647,32
1556560650,32
1556560653,32
1556560656,32
1556560659,32
1556560662,32
1556560665,32
1556560668,32
1556560671,32
1556560674,32
1556560677,32
1556560680,32
1556560683,32
1556560686,32
1556560689,32
1556560692,28
1556560695,28
1556560698,28
1556560701,28
1556560704,28
1556560707,28
1556560710,28
1556560713,28
1556560716,28
1556560719,28
1556560722,28
1556560725,28
1556560728,28
1556560731,28
1556560734,28
1556560737,28
1556560740,28
1556560743,28
1556560746,28
1556560749,28
1556560752,28
1556560755,28
1556560758,28
1556560761,28
1556560764,28
1556560767,28
1556560770,28
1556560773,28
1556560776,28
1556560779,28
1556560782,28
1556560785,28
1556560788,28
1556560791,28
1556560794,28
1556560797,28
1556560800,28
1556560803,28
1556560806,28
1556560809,28
1556560812,28
1556560815,28
1556560818,28
1556560821,28
1556560824,28
1556560827,28
