t,value
1556560425,12593408
1556560428,15548032
1556560431,15687808
1556560434,15028864
1556560437,15022656
1556560440,17731904
1556560443,20423424
1556560446,20958720
1556560449,21017664
1556560452,21077824
1556560455,21186880
1556560458,21233408
1556560461,21481984
1556560464,21555456
1556560467,21579008
1556560470,21640832
1556560473,21709568
1556560476,21721280
1556560479,21778560
1556560482,21770880
1556560485,21446848
1556560488,21753344
1556560491,22025280
1556560494,22061504
1556560497,22086464
1556560500,22111744
1556560503,22270336
1556560506,22278272
1556560509,22255360
1556560512,22296832
1556560515,22338176
1556560518,22374720
1556560521,22391232
1556560524,22543424
1556560527,22560320
1556560530,22603648
1556560533,22667520
1556560536,22692928
1556560539,22686464
1556560542,22672128
1556560545,22770368
1556560548,22815872
1556560551,22822400
1556560554,22881664
1556560557,22888512
1556560560,22934784
1556560563,22955776
1556560566,23009088
1556560569,23017984
1556560572,23025152
1556560575,23079104
1556560578,23142336
1556560581,23176128
1556560584,23183040
1556560587,23291456
1556560590,23291200
1556560593,23250432
1556560596,23247104
1556560599,23177664
1556560602,23194176
1556560605,23209664
1556560608,23287808
1556560611,23287808
1556560614,23336576
1556560617,23347392
1556560620,23424384
1556560623,23469824
1556560626,23476224
1556560629,23647104
1556560632,23654336
1556560635,23685248
1556560638,23699008
1556560641,23723712
1556560644,23746944
1556560647,23795136
1556560650,23924800
1556560653,23930496
1556560656,23937664
1556560659,23967552
1556560662,23992448
1556560665,24046016
1556560668,24075264
1556560671,24101184
1556560674,24105216
1556560677,24110144
1556560680,24121536
1556560683,24152128
1556560686,24160192
1556560689,24179904
1556560692,24007616
1556560695,24037696
1556560698,24045888
1556560701,24045888
1556560704,24045888
1556560707,24065920
1556560710,24187200
1556560713,24320192
1556560716,24336384
1556560719,24343040
1556560722,24368384
1556560725,24419648
1556560728,24420672
1556560731,24420672
1556560734,24466560
1556560737,24466560
1556560740,24468096
1556560743,24466560
1556560746,24468288
1556560749,24468288
1556560752,24379520
1556560755,24381568
1556560758,24381568
1556560761,24381568
1556560764,24388544
1556560767,24401216
1556560770,24408832
1556560773,24559680
1556560776,24562624
1556560779,24562624
1556560782,24563264
1556560785,24580224
1556560788,24564096
1556560791,24473408
1556560794,24525760
1556560797,24525760
1556560800,24525760
1556560803,24525760
1556560806,24534592
1556560809,24592320
1556560812,24620544
1556560815,24775488
1556560818,24801792
1556560821,24802944
1556560824,24804672
1556560827,24834304
