t,value
1556560425,7104152
1556560428,10245672
1556560431,10245672
1556560434,10245672
1556560437,10245672
1556560440,11207120
1556560443,11619520
1556560446,11776472
1556560449,11777560
1556560452,11777560
1556560455,11777560
1556560458,11777560
1556560461,11779640
1556560464,11779640
1556560467,11779640
1556560470,11779640
1556560473,11779640
1556560476,11779640
1556560479,11779640
1556560482,11781816
1556560485,11781816
1556560488,11903072
1556560491,11914176
1556560494,11914176
1556560497,11914176
1556560500,11914176
1556560503,11914176
1556560506,11914176
1556560509,11914176
1556560512,11914176
1556560515,11914176
1556560518,11914176
1556560521,11914176
1556560524,11914744
1556560527,11914744
1556560530,11914744
1556560533,11914744
1556560536,11914744
1556560539,11914744
1556560542,11914744
1556560545,11914744
1556560548,11914744
1556560551,11914744
1556560554,11914744
1556560557,11914744
1556560560,11914744
1556560563,11914744
1556560566,11914744
1556560569,11914744
1556560572,11914744
1556560575,11914744
1556560578,11914744
1556560581,11914744
1556560584,11914744
1556560587,11914744
1556560590,11914744
1556560593,11914744
1556560596,11914744
1556560599,11914744
1556560602,11914744
1556560605,11914744
1556560608,11914744
1556560611,11914744
1556560614,11914744
1556560617,11914744
1556560620,11914744
1556560623,11914744
1556560626,11914744
1556560629,11914744
1556560632,11914744
1556560635,11914744
1556560638,11914744
1556560641,11914744
1556560644,11914744
1556560647,11914744
1556560650,11914744
1556560653,11914744
1556560656,11914744
1556560659,11914744
1556560662,11914744
1556560665,11914744
1556560668,11914744
1556560671,11914744
1556560674,11914744
1556560677,11914744
1556560680,11914744
1556560683,11914744
1556560686,11914744
1556560689,11914744
1556560692,11915312
1556560695,11915312
1556560698,11915312
1556560701,11915312
1556560704,11915312
1556560707,11915312
1556560710,11915312
1556560713,11926600
1556560716,11926600
1556560719,11926600
1556560722,11926600
1556560725,11926600
1556560728,11926600
1556560731,11926600
1556560734,11926600
1556560737,11926600
1556560740,11926600
1556560743,11926600
1556560746,11926600
1556560749,11926600
1556560752,11926600
1556560755,11926600
1556560758,11926600
1556560761,11926600
1556560764,11926600
1556560767,11926600
1556560770,11926600
1556560773,11926600
1556560776,11926600
1556560779,11926600
1556560782,11926600
1556560785,11926600
1556560788,11926600
1556560791,11926600
1556560794,11926600
1556560797,11926600
1556560800,11926600
1556560803,11926600
1556560806,11926600
1556560809,11926600
1556560812,11926600
1556560815,11926600
1556560818,11926600
1556560821,11926600
1556560824,11926600
1556560827,11926600
