t,value
1556560425,88080384
1556560428,9437184
1556560431,10485760
1556560434,11534336
1556560437,11534336
1556560440,111149056
1556560443,24117248
1556560446,41943040
1556560449,41943040
1556560452,42991616
1556560455,44040192
1556560458,44040192
1556560461,48234496
1556560464,49283072
1556560467,50331648
1556560470,50331648
1556560473,51380224
1556560476,51380224
1556560479,52428800
1556560482,55574528
1556560485,56623104
1556560488,71303168
1556560491,75497472
1556560494,75497472
1556560497,76546048
1556560500,77594624
1556560503,80740352
1556560506,80740352
1556560509,81788928
1556560512,81788928
1556560515,82837504
1556560518,82837504
1556560521,83886080
1556560524,87031808
1556560527,88080384
1556560530,88080384
1556560533,89128960
1556560536,89128960
1556560539,90177536
1556560542,90177536
1556560545,93323264
1556560548,94371840
1556560551,94371840
1556560554,95420416
1556560557,95420416
1556560560,96468992
1556560563,96468992
1556560566,100663296
1556560569,100663296
1556560572,101711872
1556560575,101711872
1556560578,102760448
1556560581,102760448
1556560584,103809024
1556560587,106954752
1556560590,108003328
1556560593,108003328
1556560596,109051904
1556560599,109051904
1556560602,110100480
1556560605,110100480
1556560608,113246208
1556560611,114294784
1556560614,114294784
1556560617,115343360
1556560620,115343360
1556560623,116391936
1556560626,116391936
1556560629,119537664
1556560632,120586240
1556560635,120586240
1556560638,121634816
1556560641,121634816
1556560644,122683392
1556560647,122683392
1556560650,126877696
1556560653,126877696
1556560656,127926272
1556560659,127926272
1556560662,127926272
1556560665,128974848
1556560668,128974848
1556560671,132120576
1556560674,133169152
1556560677,133169152
1556560680,134217728
1556560683,134217728
1556560686,135266304
1556560689,135266304
1556560692,0
1556560695,1048576
1556560698,2097152
1556560701,2097152
1556560704,3145728
1556560707,4194304
1556560710,4194304
1556560713,8388608
1556560716,8388608
1556560719,8388608
1556560722,9437184
1556560725,9437184
1556560728,10485760
1556560731,10485760
1556560734,14680064
1556560737,15728640
1556560740,15728640
1556560743,16777216
1556560746,16777216
1556560749,17825792
1556560752,19922944
1556560755,20971520
1556560758,22020096
1556560761,22020096
1556560764,22020096
1556560767,23068672
1556560770,23068672
1556560773,27262976
1556560776,27262976
1556560779,28311552
1556560782,28311552
1556560785,29360128
1556560788,29360128
1556560791,29360128
1556560794,32505856
1556560797,33554432
1556560800,33554432
1556560803,34603008
1556560806,34603008
1556560809,35651584
1556560812,35651584
1556560815,38797312
1556560818,39845888
1556560821,39845888
1556560824,40894464
1556560827,40894464
