t,value
1556560425,18874400
1556560428,34849304
1556560431,34849304
1556560434,34849304
1556560437,34849304
1556560440,34849304
1556560443,36422160
1556560446,36422160
1556560449,36422160
1556560452,36422160
1556560455,36422160
1556560458,36422160
1556560461,36422160
1556560464,36422160
1556560467,36422160
1556560470,36422160
1556560473,36422160
1556560476,36422160
1556560479,36422160
1556560482,36422160
1556560485,36422160
1556560488,36422160
1556560491,36422160
1556560494,36422160
1556560497,36422160
1556560500,36422160
1556560503,36422160
1556560506,36422160
1556560509,36422160
1556560512,36422160
1556560515,36422160
1556560518,36422160
1556560521,36422160
1556560524,36422160
1556560527,36422160
1556560530,36422160
1556560533,36422160
1556560536,36422160
1556560539,36422160
1556560542,36422160
1556560545,36422160
1556560548,36422160
1556560551,36422160
1556560554,36422160
1556560557,36422160
1556560560,36422160
1556560563,36422160
1556560566,36422160
1556560569,36422160
1556560572,36422160
1556560575,36422160
1556560578,36422160
1556560581,36422160
1556560584,36422160
1556560587,36422160
1556560590,36422160
1556560593,36422160
1556560596,36422160
1556560599,36422160
1556560602,36422160
1556560605,36422160
1556560608,36422160
1556560611,36422160
1556560614,36422160
1556560617,36422160
1556560620,36422160
1556560623,36422160
1556560626,36422160
1556560629,36422160
1556560632,36422160
1556560635,36422160
1556560638,36422160
1556560641,36422160
1556560644,36422160
1556560647,36422160
1556560650,36422160
1556560653,36422160
1556560656,36422160
1556560659,36422160
1556560662,36422160
1556560665,36422160
1556560668,36422160
1556560671,36422160
1556560674,36422160
1556560677,36422160
1556560680,36422160
1556560683,36422160
1556560686,36422160
1556560689,36422160
1556560692,40548376
1556560695,40548376
1556560698,40548376
1556560701,40548376
1556560704,40548376
1556560707,40548376
1556560710,40548376
1556560713,40548376
1556560716,40548376
1556560719,40548376
1556560722,40548376
1556560725,40548376
1556560728,40548376
1556560731,40548376
1556560734,40548376
1556560737,40548376
1556560740,40548376
1556560743,40548376
1556560746,40548376
1556560749,40548376
1556560752,40548376
1556560755,40548376
1556560758,40548376
1556560761,40548376
1556560764,40548376
1556560767,40548376
1556560770,40548376
1556560773,40548376
1556560776,40548376
1556560779,40548376
1556560782,40548376
1556560785,40548376
1556560788,40548376
1556560791,40548376
1556560794,40548376
1556560797,40548376
1556560800,40548376
1556560803,40548376
1556560806,40548376
1556560809,40548376
1556560812,40548376
1556560815,40548376
1556560818,40548376
1556560821,40548376
1556560824,40548376
1556560827,40548376
