t,value
1556560425,20971520
1556560428,19922944
1556560431,19922944
1556560434,19922944
1556560437,19922944
1556560440,19922944
1556560443,20971520
1556560446,20971520
1556560449,20971520
1556560452,20971520
1556560455,20971520
1556560458,20971520
1556560461,20971520
1556560464,20971520
1556560467,20971520
1556560470,20971520
1556560473,20971520
1556560476,20971520
1556560479,20971520
1556560482,20971520
1556560485,20971520
1556560488,20971520
1556560491,20971520
1556560494,20971520
1556560497,20971520
1556560500,20971520
1556560503,20971520
1556560506,20971520
1556560509,20971520
1556560512,20971520
1556560515,20971520
1556560518,20971520
1556560521,20971520
1556560524,20971520
1556560527,20971520
1556560530,20971520
1556560533,20971520
1556560536,20971520
1556560539,20971520
1556560542,20971520
1556560545,20971520
1556560548,20971520
1556560551,20971520
1556560554,20971520
1556560557,20971520
1556560560,20971520
1556560563,20971520
1556560566,20971520
1556560569,20971520
1556560572,20971520
1556560575,20971520
1556560578,20971520
1556560581,20971520
1556560584,20971520
1556560587,20971520
1556560590,20971520
1556560593,20971520
1556560596,20971520
1556560599,20971520
1556560602,20971520
1556560605,20971520
1556560608,20971520
1556560611,20971520
1556560614,20971520
1556560617,20971520
1556560620,20971520
1556560623,20971520
1556560626,20971520
1556560629,20971520
1556560632,20971520
1556560635,20971520
1556560638,20971520
1556560641,20971520
1556560644,20971520
1556560647,20971520
1556560650,20971520
1556560653,20971520
1556560656,20971520
1556560659,20971520
1556560662,20971520
1556560665,20971520
1556560668,20971520
1556560671,20971520
1556560674,20971520
1556560677,20971520
1556560680,20971520
1556560683,20971520
1556560686,20971520
1556560689,20971520
1556560692,15728640
1556560695,15728640
1556560698,15728640
1556560701,15728640
1556560704,15728640
1556560707,15728640
1556560710,15728640
1556560713,15728640
1556560716,15728640
1556560719,15728640
1556560722,15728640
1556560725,15728640
1556560728,15728640
1556560731,15728640
1556560734,15728640
1556560737,15728640
1556560740,15728640
1556560743,15728640
1556560746,15728640
1556560749,15728640
1556560752,15728640
1556560755,15728640
1556560758,15728640
1556560761,15728640
1556560764,15728640
1556560767,15728640
1556560770,15728640
1556560773,15728640
1556560776,15728640
1556560779,15728640
1556560782,15728640
1556560785,15728640
1556560788,15728640
1556560791,15728640
1556560794,15728640
1556560797,15728640
1556560800,15728640
1556560803,15728640
1556560806,15728640
1556560809,15728640
1556560812,15728640
1556560815,15728640
1556560818,15728640
1556560821,15728640
1556560824,15728640
1556560827,15728640
