t,value
1556560425,49347384
1556560428,68970240
1556560431,69002376
1556560434,69038848
1556560437,69048672
1556560440,75363424
1556560443,77940456
1556560446,78802488
1556560449,78821192
1556560452,78833056
1556560455,78853016
1556560458,78862616
1556560461,78900336
1556560464,78914016
1556560467,78918608
1556560470,78934576
1556560473,78953024
1556560476,78957088
1556560479,78970032
1556560482,79012632
1556560485,79025520
1556560488,79819824
1556560491,79911872
1556560494,79917896
1556560497,79924616
1556560500,79930704
1556560503,79953328
1556560506,79953616
1556560509,79960120
1556560512,79963888
1556560515,79974128
1556560518,79977736
1556560521,79980848
1556560524,80009680
1556560527,80012664
1556560530,80018224
1556560533,80037600
1556560536,80047696
1556560539,80056688
1556560542,80056688
1556560545,80082640
1556560548,80086624
1556560551,80088680
1556560554,80090520
1556560557,80090520
1556560560,80099424
1556560563,80102800
1556560566,80110864
1556560569,80113424
1556560572,80113424
1556560575,80131560
1556560578,80139464
1556560581,80144544
1556560584,80145688
1556560587,80179520
1556560590,80179984
1556560593,80181720
1556560596,80181720
1556560599,80183160
1556560602,80185408
1556560605,80187984
1556560608,80201752
1556560611,80201752
1556560614,80203768
1556560617,80206080
1556560620,80215152
1556560623,80220344
1556560626,80220960
1556560629,80252944
1556560632,80253736
1556560635,80255680
1556560638,80256144
1556560641,80256144
1556560644,80261840
1556560647,80275040
1556560650,80297800
1556560653,80298536
1556560656,80299312
1556560659,80300824
1556560662,80306072
1556560665,80312312
1556560668,80315408
1556560671,80316440
1556560674,80317072
1556560677,80317520
1556560680,80319440
1556560683,80326280
1556560686,80328912
1556560689,80331696
1556560692,80339976
1556560695,80344408
1556560698,80346008
1556560701,80346008
1556560704,80346232
1556560707,80349840
1556560710,80385456
1556560713,80456008
1556560716,80457896
1556560719,80466336
1556560722,80466336
1556560725,80471952
1556560728,80471952
1556560731,80471952
1556560734,80479152
1556560737,80479152
1556560740,80479152
1556560743,80479152
1556560746,80479152
1556560749,80479152
1556560752,80488800
1556560755,80488800
1556560758,80488800
1556560761,80488800
1556560764,80489200
1556560767,80492888
1556560770,80494920
1556560773,80524288
1556560776,80524288
1556560779,80524288
1556560782,80524288
1556560785,80525424
1556560788,80529408
1556560791,80534576
1556560794,80551800
1556560797,80551800
1556560800,80551800
1556560803,80551800
1556560806,80555736
1556560809,80569672
1556560812,80572016
1556560815,80597312
1556560818,80601752
1556560821,80601752
1556560824,80602328
1556560827,80608224
