t,value
1556560425,58
1556560428,72
1556560431,72
1556560434,72
1556560437,72
1556560440,81
1556560443,81
1556560446,81
1556560449,82
1556560452,82
1556560455,82
1556560458,81
1556560461,66
1556560464,66
1556560467,66
1556560470,66
1556560473,66
1556560476,65
1556560479,65
1556560482,67
1556560485,67
1556560488,68
1556560491,68
1556560494,68
1556560497,68
1556560500,68
1556560503,67
1556560506,67
1556560509,66
1556560512,66
1556560515,65
1556560518,65
1556560521,65
1556560524,65
1556560527,65
1556560530,65
1556560533,65
1556560536,65
1556560539,64
1556560542,64
1556560545,65
1556560548,65
1556560551,65
1556560554,65
1556560557,65
1556560560,64
1556560563,64
1556560566,66
1556560569,66
1556560572,66
1556560575,66
1556560578,65
1556560581,65
1556560584,65
1556560587,65
1556560590,65
1556560593,65
1556560596,65
1556560599,65
1556560602,64
1556560605,64
1556560608,65
1556560611,65
1556560614,65
1556560617,65
1556560620,64
1556560623,63
1556560626,63
1556560629,65
1556560632,65
1556560635,65
1556560638,65
1556560641,64
1556560644,64
1556560647,64
1556560650,64
1556560653,64
1556560656,64
1556560659,64
1556560662,64
1556560665,63
1556560668,63
1556560671,64
1556560674,64
1556560677,64
1556560680,63
1556560683,63
1556560686,62
1556560689,62
1556560692,63
1556560695,63
1556560698,63
1556560701,63
1556560704,63
1556560707,62
1556560710,62
1556560713,63
1556560716,63
1556560719,63
1556560722,63
1556560725,63
1556560728,62
1556560731,62
1556560734,63
1556560737,63
1556560740,62
1556560743,62
1556560746,62
1556560749,61
1556560752,62
1556560755,62
1556560758,62
1556560761,62
1556560764,62
1556560767,62
1556560770,61
1556560773,62
1556560776,62
1556560779,62
1556560782,62
1556560785,62
1556560788,61
1556560791,61
1556560794,62
1556560797,62
1556560800,62
1556560803,62
1556560806,62
1556560809,61
1556560812,61
1556560815,62
1556560818,62
1556560821,62
1556560824,62
1556560827,62
