t,value
1556560425,62
1556560428,76
1556560431,76
1556560434,76
1556560437,76
1556560440,85
1556560443,85
1556560446,85
1556560449,86
1556560452,86
1556560455,86
1556560458,85
1556560461,70
1556560464,70
1556560467,70
1556560470,70
1556560473,70
1556560476,69
1556560479,69
1556560482,71
1556560485,71
1556560488,72
1556560491,72
1556560494,72
1556560497,72
1556560500,72
1556560503,71
1556560506,71
1556560509,70
1556560512,70
1556560515,69
1556560518,69
1556560521,69
1556560524,69
1556560527,69
1556560530,69
1556560533,69
1556560536,69
1556560539,68
1556560542,68
1556560545,69
1556560548,69
1556560551,69
1556560554,69
1556560557,69
1556560560,68
1556560563,68
1556560566,70
1556560569,70
1556560572,70
1556560575,70
1556560578,69
1556560581,69
1556560584,69
1556560587,69
1556560590,69
1556560593,69
1556560596,69
1556560599,69
1556560602,68
1556560605,68
1556560608,69
1556560611,69
1556560614,69
1556560617,69
1556560620,68
1556560623,67
1556560626,67
1556560629,69
1556560632,69
1556560635,69
1556560638,69
1556560641,68
1556560644,68
1556560647,68
1556560650,68
1556560653,68
1556560656,68
1556560659,68
1556560662,68
1556560665,67
1556560668,67
1556560671,68
1556560674,68
1556560677,68
1556560680,67
1556560683,67
1556560686,66
1556560689,66
1556560692,67
1556560695,67
1556560698,67
1556560701,67
1556560704,67
1556560707,66
1556560710,66
1556560713,67
1556560716,67
1556560719,67
1556560722,67
1556560725,67
1556560728,66
1556560731,66
1556560734,67
1556560737,67
1556560740,66
1556560743,66
1556560746,66
1556560749,65
1556560752,66
1556560755,66
1556560758,66
1556560761,66
1556560764,66
1556560767,66
1556560770,65
1556560773,66
1556560776,66
1556560779,66
1556560782,66
1556560785,66
1556560788,65
1556560791,65
1556560794,66
1556560797,66
1556560800,66
1556560803,66
1556560806,66
1556560809,65
1556560812,65
1556560815,66
1556560818,66
1556560821,66
1556560824,66
1556560827,66
